date_occurred,Battles,Explosions/Remote violence,Riots,Violence against civilians
2022-02-24,51.0,19.0,0.0,8.0
2022-02-25,20.0,13.0,0.0,3.0
2022-02-26,76.0,25.0,0.0,5.0
2022-02-27,30.0,13.0,0.0,16.0
2022-02-28,14.0,92.0,0.0,10.0
2022-03-01,12.0,67.0,0.0,5.0
2022-03-02,235.0,29.0,0.0,3.0
2022-03-03,54.0,68.0,0.0,3.0
2022-03-04,28.0,44.0,0.0,4.0
2022-03-05,82.0,27.0,0.0,5.0
2022-03-06,64.0,28.0,0.0,5.0
2022-03-07,104.0,25.0,0.0,5.0
2022-03-08,109.0,57.0,0.0,3.0
2022-03-09,40.0,37.0,0.0,10.0
2022-03-10,22.0,32.0,0.0,6.0
2022-03-11,10.0,34.0,0.0,0.0
2022-03-12,25.0,18.0,0.0,5.0
2022-03-13,27.0,61.0,0.0,5.0
2022-03-14,161.0,71.0,0.0,0.0
2022-03-15,31.0,18.0,0.0,6.0
2022-03-16,20.0,40.0,0.0,0.0
2022-03-17,0.0,63.0,0.0,4.0
2022-03-18,42.0,37.0,0.0,1.0
