date,democratic,republican
2021-01-01,333901.0,344960.0
2021-01-02,275740.0,311910.0
2021-01-03,295942.0,542705.0
2021-01-04,199660.0,253300.0
2021-01-05,174023.0,232146.0
2021-01-06,331792.0,398472.0
2021-01-07,647662.0,818061.0
2021-01-08,383601.0,335755.0
2021-01-09,273742.0,264949.0
2021-01-11,257159.0,318768.0
2021-01-12,315806.0,523982.0
2021-01-13,822086.0,1478202.0
2021-01-14,424728.0,917418.0
2021-01-15,212666.0,409149.0
2021-01-16,191898.0,278802.0
2021-01-17,214825.0,298976.0
2021-01-18,172519.0,262275.0
2021-01-19,124118.0,193808.0
2021-01-21,166550.0,183966.0
2021-01-22,160268.0,305615.0
2021-01-23,156776.0,248109.0
2021-01-24,132483.0,221267.0
2021-01-25,118473.0,168675.0
2021-01-26,161290.0,161490.0
2021-01-27,111229.0,195416.0
2021-01-28,170568.0,336180.0
2021-01-29,197134.0,464936.0
2021-01-31,109159.0,280916.0
2021-02-01,818672.0,366797.0
2021-02-02,340637.0,430921.0
2021-02-03,191073.0,399452.0
2021-02-04,210059.0,583686.0
2021-02-05,238291.0,625439.0
2021-02-06,156056.0,266270.0
2021-02-07,125886.0,194881.0
2021-02-08,114217.0,161660.0
2021-02-09,386445.0,142455.0
2021-02-11,515245.0,141925.0
2021-02-12,292533.0,120229.0
2021-02-13,407837.0,281979.0
2021-02-14,192910.0,130593.0
2021-02-15,124130.0,87069.0
2021-02-16,144804.0,130998.0
2021-02-17,122749.0,97899.0
2021-02-18,178955.0,118676.0
2021-02-19,144694.0,108778.0
2021-02-21,108972.0,85393.0
2021-02-22,109492.0,81467.0
2021-02-23,108308.0,82258.0
2021-02-24,107958.0,88301.0
2021-02-25,171881.0,136020.0
2021-02-26,132870.0,140090.0
2021-02-27,106897.0,173574.0
2021-02-28,86562.0,173369.0
2021-03-01,201234.0,228444.0
2021-03-02,156045.0,212334.0
2021-03-03,139275.0,305218.0
2021-03-04,88570.0,122603.0
2021-03-05,90868.0,83622.0
2021-03-06,84763.0,71109.0
2021-03-07,74736.0,87869.0
2021-03-08,69544.0,84203.0
2021-03-09,73430.0,81252.0
2021-03-11,95791.0,104891.0
2021-03-12,87090.0,81852.0
2021-03-13,76257.0,76374.0
2021-03-14,65609.0,65532.0
2021-03-15,70052.0,64758.0
2021-03-16,74810.0,65676.0
2021-03-17,74850.0,65054.0
2021-03-18,81196.0,95648.0
2021-03-19,105381.0,112134.0
2021-03-21,62868.0,67824.0
2021-03-22,71937.0,109203.0
2021-03-23,85353.0,103374.0
2021-03-24,79469.0,74985.0
2021-03-25,71311.0,66346.0
2021-03-26,60930.0,57256.0
2021-03-27,52343.0,48076.0
2021-03-28,54473.0,47789.0
2021-03-29,58558.0,54466.0
2021-03-31,67976.0,601600.0
2021-04-01,125836.0,430957.0
2021-04-02,259152.0,465886.0
2021-04-03,131836.0,320059.0
2021-04-04,63404.0,155970.0
2021-04-05,70407.0,123627.0
2021-04-06,68645.0,125773.0
2021-04-07,62684.0,148340.0
2021-04-08,62386.0,161333.0
2021-04-09,63324.0,205156.0
2021-04-11,51509.0,109132.0
2021-04-12,56439.0,100812.0
2021-04-13,71248.0,81503.0
2021-04-14,73771.0,104259.0
2021-04-15,88112.0,116222.0
2021-04-16,82032.0,131631.0
2021-04-17,69342.0,113376.0
2021-04-18,82384.0,88633.0
2021-04-19,119935.0,82335.0
2021-04-21,135931.0,86498.0
2021-04-22,96071.0,81389.0
2021-04-23,77209.0,72747.0
2021-04-24,67436.0,62624.0
2021-04-25,88368.0,57187.0
2021-04-26,85595.0,75299.0
2021-04-27,77747.0,81372.0
2021-04-28,73950.0,68108.0
2021-04-29,93025.0,95440.0
2021-05-01,122866.0,175041.0
2021-05-02,184298.0,199159.0
2021-05-03,110452.0,137475.0
2021-05-04,93546.0,154270.0
2021-05-05,80373.0,175855.0
2021-05-06,73214.0,157346.0
2021-05-07,70524.0,105402.0
2021-05-08,63286.0,88907.0
2021-05-09,58660.0,87796.0
2021-05-11,80728.0,117544.0
2021-05-12,81053.0,490866.0
2021-05-13,79913.0,350896.0
2021-05-14,93141.0,260635.0
2021-05-15,79641.0,186863.0
2021-05-16,75784.0,156095.0
2021-05-17,72811.0,125670.0
2021-05-18,101121.0,118820.0
2021-05-19,121352.0,106410.0
2021-05-21,87725.0,90563.0
2021-05-22,69088.0,87082.0
2021-05-23,66680.0,83712.0
2021-05-24,71104.0,93963.0
2021-05-25,70160.0,96649.0
2021-05-26,66767.0,95787.0
2021-05-27,62411.0,71993.0
2021-05-28,58427.0,75450.0
2021-05-29,46762.0,61437.0
2021-05-31,49391.0,48578.0
2021-06-01,146579.0,140836.0
2021-06-02,158697.0,115143.0
2021-06-03,140265.0,170376.0
2021-06-04,59633.0,61819.0
2021-06-05,67382.0,42603.0
2021-06-06,58900.0,74071.0
2021-06-07,58182.0,59425.0
2021-06-08,71141.0,56325.0
2021-06-09,72906.0,59332.0
2021-06-11,90397.0,57538.0
2021-06-12,58462.0,46754.0
2021-06-13,56144.0,40217.0
2021-06-14,62034.0,50851.0
2021-06-15,65781.0,69139.0
2021-06-16,59221.0,77565.0
2021-06-17,62425.0,121092.0
2021-06-18,62285.0,107563.0
2021-06-19,54857.0,81063.0
2021-06-21,54604.0,51632.0
2021-06-22,57474.0,46827.0
2021-06-23,61961.0,124019.0
2021-06-24,64028.0,196159.0
2021-06-25,59185.0,87302.0
2021-06-26,48100.0,64514.0
2021-06-27,58584.0,85567.0
2021-06-28,64269.0,68269.0
2021-06-29,67186.0,73098.0
2021-07-01,132868.0,130722.0
2021-07-02,117139.0,155246.0
2021-07-03,108850.0,144452.0
2021-07-04,51247.0,54762.0
2021-07-05,66639.0,60624.0
2021-07-06,64518.0,67066.0
2021-07-07,70790.0,68145.0
2021-07-08,62361.0,59808.0
2021-07-09,49505.0,49362.0
2021-07-11,39251.0,56840.0
2021-07-12,49004.0,61935.0
2021-07-13,52095.0,57182.0
2021-07-14,51917.0,54490.0
2021-07-15,49490.0,58879.0
2021-07-16,61073.0,52068.0
2021-07-17,46363.0,47107.0
2021-07-18,42549.0,52713.0
2021-07-19,43606.0,64846.0
2021-07-21,61887.0,101923.0
2021-07-22,56518.0,114241.0
2021-07-23,49665.0,79081.0
2021-07-24,44006.0,53663.0
2021-07-25,44038.0,72923.0
