member,party,views
Tony Gonzales,Republican,244
Tracey Mann,Republican,74
Trent Kelly,Republican,56
Troy Balderson,Republican,49
Troy Carter ,Democratic,86
Troy Nehls,Republican,106
Val Hoyle,Democratic,80
Valerie Foushee,Democratic,167
Vern Buchanan,Republican,108
Veronica Escobar,Democratic,100
Vicente Gonzalez ,Democratic,113
Victoria Spartz,Republican,138
Virginia Foxx,Republican,629
Warren Davidson,Republican,148
Wesley Hunt,Republican,154
Wiley Nickel,Democratic,271
William Timmons ,Republican,75
Yadira Caraveo,Democratic,90
Young Kim,Republican,242
Yvette Clarke,Democratic,113
Zach Nunn,Republican,110
Zoe Lofgren,Democratic,200
none,Vacant,1
