id,seniority,full_name,apstate,first_name,last_name,chamber,session,state,party,dw_nominate,votes_with_party_pct
C001084,12,David Cicilline,R.I.,David,Cicilline,house,117,RI,D,-0.39,99.13
C001101,10,Katherine Clark,Mass.,Katherine,Clark,house,117,MA,D,-0.482,98.69
C001067,16,Yvette Clarke,N.Y.,Yvette,Clarke,house,117,NY,D,-0.613,98.46
C001061,18,Emanuel Cleaver,Mo.,Emanuel,Cleaver,house,117,MO,D,-0.453,99.13
C001118,4,Ben Cline,Va.,Ben,Cline,house,117,VA,R,,89.73
C001115,6,Michael Cloud,Texas,Michael,Cloud,house,117,TX,R,,89.17
C000537,30,James Clyburn,S.C.,James,Clyburn,house,117,SC,D,-0.464,98.91
C001116,2,Andrew Clyde,Ga.,Andrew,Clyde,house,117,GA,R,,87.1
C001068,16,Steve Cohen,Tenn.,Steve,Cohen,house,117,TN,D,-0.4,98.05
C001053,20,Tom Cole,Okla.,Tom,Cole,house,117,OK,R,0.332,95.37
C001108,8,James Comer,Ky.,James,Comer,house,117,KY,R,0.6,94.95
C001078,14,Gerald Connolly,Va.,Gerald,Connolly,house,117,VA,D,-0.305,99.13
C000754,20,Jim Cooper,Tenn.,Jim,Cooper,house,117,TN,D,-0.164,98.69
C001110,6,J. Correa,Calif.,J.,Correa,house,117,CA,D,-0.28,98.92
C001059,18,Jim Costa,Calif.,Jim,Costa,house,117,CA,D,-0.193,98.43
C001069,16,Joe Courtney,Conn.,Joe,Courtney,house,117,CT,D,-0.344,98.7
C001119,4,Angie Craig,Minn.,Angie,Craig,house,117,MN,D,,96.96
C001087,12,Rick Crawford,Ark.,Rick,Crawford,house,117,AR,R,0.426,97.81
C001120,4,Dan Crenshaw,Texas,Dan,Crenshaw,house,117,TX,R,,96.38
C001111,6,Charlie Crist,Fla.,Charlie,Crist,house,117,FL,D,-0.225,98.26
C001121,4,Jason Crow,Colo.,Jason,Crow,house,117,CO,D,,98.48
C001063,18,Henry Cuellar,Texas,Henry,Cuellar,house,117,TX,D,-0.228,96.76
C001114,6,John Curtis,,John,Curtis,house,117,UT,R,0.507,95.57
D000629,4,Sharice Davids,Kan.,Sharice,Davids,house,117,KS,D,,98.06
D000626,8,Warren Davidson,Ohio,Warren,Davidson,house,117,OH,R,0.678,87.67
D000619,10,Rodney Davis,Ill.,Rodney,Davis,house,117,IL,R,0.273,91.86
D000096,26,Danny Davis,Ill.,Danny,Davis,house,117,IL,D,-0.486,98.23
D000631,4,Madeleine Dean,Pa.,Madeleine,Dean,house,117,PA,D,,99.35
D000191,36,Peter DeFazio,Ore.,Peter,DeFazio,house,117,OR,D,-0.428,98.68
D000197,26,Diana DeGette,Colo.,Diana,DeGette,house,117,CO,D,-0.431,99.13
D000216,32,Rosa DeLauro,Conn.,Rosa,DeLauro,house,117,CT,D,-0.416,98.04
D000617,12,Suzan DelBene,Wash.,Suzan,DelBene,house,117,WA,D,-0.284,98.92
D000630,4,Antonio Delgado,N.Y.,Antonio,Delgado,house,117,NY,D,,97.41
D000627,6,Val Demings,Fla.,Val,Demings,house,117,FL,D,-0.336,98.06
D000623,8,Mark DeSaulnier,Calif.,Mark,DeSaulnier,house,117,CA,D,-0.532,98.25
D000616,12,Scott DesJarlais,Tenn.,Scott,DesJarlais,house,117,TN,R,0.583,95.14
D000610,14,Ted Deutch,Fla.,Ted,Deutch,house,117,FL,D,-0.4,99.12
D000600,20,Mario Diaz-Balart,Fla.,Mario,Diaz-Balart,house,117,FL,R,0.281,94.7
D000624,8,Debbie Dingell,Mich.,Debbie,Dingell,house,117,MI,D,-0.408,99.35
D000399,28,Lloyd Doggett,Texas,Lloyd,Doggett,house,117,TX,D,-0.402,99.35
D000032,2,Byron Donalds,Fla.,Byron,Donalds,house,117,FL,R,,91.4
D000482,28,Mike Doyle,Pa.,Mike,Doyle,house,117,PA,D,-0.33,98.53
D000615,12,Jeffrey Duncan,S.C.,Jeffrey,Duncan,house,117,SC,R,0.721,94.2
D000628,6,Neal Dunn,Fla.,Neal,Dunn,house,117,FL,R,0.525,97.98
E000071,2,Jake Ellzey,Texas,Jake,Ellzey,house,117,TX,R,,99.52
E000294,8,Tom Emmer,Minn.,Tom,Emmer,house,117,MN,R,0.451,96.37
E000299,4,Veronica Escobar,Texas,Veronica,Escobar,house,117,TX,D,,94.53
E000215,30,Anna Eshoo,Calif.,Anna,Eshoo,house,117,CA,D,-0.381,99.35
E000297,6,Adriano Espaillat,N.Y.,Adriano,Espaillat,house,117,NY,D,-0.615,98.26
E000298,6,Ron Estes,Kan.,Ron,Estes,house,117,KS,R,0.618,94.64
E000296,8,Dwight Evans,Pa.,Dwight,Evans,house,117,PA,D,-0.461,98.7
F000246,2,Pat Fallon,Texas,Pat,Fallon,house,117,TX,R,,93.85
F000446,2,Randy Feenstra,Iowa,Randy,Feenstra,house,117,IA,R,,97.82
F000465,6,A. Ferguson,Ga.,A.,Ferguson,house,117,GA,R,0.601,97.36
L000273,2,Teresa Fernandez,N.M.,Teresa,Fernandez,house,117,NM,D,,99.35
F000470,2,Michelle Fischbach,Minn.,Michelle,Fischbach,house,117,MN,R,,98.91
F000471,2,Scott Fitzgerald,Wis.,Scott,Fitzgerald,house,117,WI,R,,97.59
F000466,6,Brian Fitzpatrick,Pa.,Brian,Fitzpatrick,house,117,PA,R,0.166,78.38
F000459,12,Chuck Fleischmann,Tenn.,Chuck,Fleischmann,house,117,TN,R,0.457,97.39
F000468,4,Lizzie Fletcher,Texas,Lizzie,Fletcher,house,117,TX,D,,97.83
F000449,18,Jeff Fortenberry,Neb.,Jeff,Fortenberry,house,117,NE,R,0.303,93.33
F000454,10,Bill Foster,Ill.,Bill,Foster,house,117,IL,D,-0.23,99.35
F000450,16,Virginia Foxx,N.C.,Virginia,Foxx,house,117,NC,R,0.628,95.13
F000462,10,Lois Frankel,Fla.,Lois,Frankel,house,117,FL,D,-0.4,98.91
F000472,2,Scott Franklin,Fla.,Scott,Franklin,house,117,FL,R,,97.53
F000455,16,Marcia Fudge,Ohio,Marcia,Fudge,house,117,OH,D,-0.581,96.49
F000469,4,Russ Fulcher,Idaho,Russ,Fulcher,house,117,ID,R,,94.31
G000578,6,Matt Gaetz,Fla.,Matt,Gaetz,house,117,FL,R,0.624,78.83
G000579,6,Mike Gallagher,Wis.,Mike,Gallagher,house,117,WI,R,0.443,95.15
G000574,8,Ruben Gallego,Ariz.,Ruben,Gallego,house,117,AZ,D,-0.451,98.91
G000559,14,John Garamendi,Calif.,John,Garamendi,house,117,CA,D,-0.309,99.13
G000597,2,Andrew Garbarino,N.Y.,Andrew,Garbarino,house,117,NY,R,,91.15
G000586,4,Jesús García,Ill.,Jesús,García,house,117,IL,D,,95.88
G000061,4,Mike Garcia,Calif.,Mike,Garcia,house,117,CA,R,,95.16
G000587,4,Sylvia Garcia,Texas,Sylvia,Garcia,house,117,TX,D,,93.29
G000563,12,Bob Gibbs,Ohio,Bob,Gibbs,house,117,OH,R,0.479,97.73
G000593,2,Carlos Giménez,Fla.,Carlos,Giménez,house,117,FL,R,,92.81
G000552,18,Louie Gohmert,Texas,Louie,Gohmert,house,117,TX,R,0.637,83.17
G000592,4,Jared Golden,Maine,Jared,Golden,house,117,ME,D,,93.15
G000585,6,Jimmy Gomez,Calif.,Jimmy,Gomez,house,117,CA,D,-0.578,98.69
G000594,2,Tony Gonzales,Texas,Tony,Gonzales,house,117,TX,R,,94.53
G000588,4,Anthony Gonzalez,Ohio,Anthony,Gonzalez,house,117,OH,R,,90.42
G000581,6,Vicente Gonzalez,Texas,Vicente,Gonzalez,house,117,TX,D,-0.381,97.77
G000582,6,Jenniffer González-Colón,,Jenniffer,González-Colón,house,117,PR,R,,
G000595,2,Robert Good,Va.,Robert,Good,house,117,VA,R,,79.68
G000589,4,Lance Gooden,Texas,Lance,Gooden,house,117,TX,R,,87.77
G000565,12,Paul Gosar,Ariz.,Paul,Gosar,house,117,AZ,R,0.69,81.5
G000583,6,Josh Gottheimer,N.J.,Josh,Gottheimer,house,117,NJ,D,-0.148,96.72
G000377,26,Kay Granger,Texas,Kay,Granger,house,117,TX,R,0.4,95.46
G000546,22,Sam Graves,Mo.,Sam,Graves,house,117,MO,R,0.445,98.02
G000577,8,Garret Graves,La.,Garret,Graves,house,117,LA,R,0.453,97.12
G000590,4,Mark Green,Tenn.,Mark,Green,house,117,TN,R,,92.18
G000553,18,Al Green,Texas,Al,Green,house,117,TX,D,-0.438,98.91
G000596,2,Marjorie Greene,Ga.,Marjorie,Greene,house,117,GA,R,,76.11
