member,party,views
Adam Kinzinger,Republican,1431625
Alexandria Ocasio-Cortez,Democratic,3918370
Cori Bush,Democratic,741520
Eric Swalwell,Democratic,543674
Ilhan Omar,Democratic,1315468
Jamie Raskin,Democratic,1493522
Jim Jordan ,Republican,982582
Joe Neguse,Democratic,643566
Kevin McCarthy ,Republican,1248842
Lauren Boebert,Republican,2840268
Liz Cheney,Republican,3658324
Madison Cawthorn,Republican,2340889
Marjorie Taylor Greene,Republican,4875798
Matt Gaetz,Republican,4010896
Maxine Waters,Democratic,714824
Nancy Mace,Republican,794255
Paul Gosar,Republican,774234
Rashida Tlaib,Democratic,614483
Steny Hoyer,Democratic,568310
