date,member,views,party
2021-01-01,Marjorie Taylor Greene,1629,Republican
2021-01-02,Marjorie Taylor Greene,1785,Republican
2021-01-03,Marjorie Taylor Greene,9230,Republican
2021-01-04,Marjorie Taylor Greene,13623,Republican
2021-01-05,Marjorie Taylor Greene,18968,Republican
2021-01-06,Marjorie Taylor Greene,11371,Republican
2021-01-07,Marjorie Taylor Greene,22025,Republican
2021-01-08,Marjorie Taylor Greene,7402,Republican
2021-01-09,Marjorie Taylor Greene,9533,Republican
2021-01-01,Marjorie Taylor Greene,9522,Republican
2021-01-11,Marjorie Taylor Greene,7218,Republican
2021-01-12,Marjorie Taylor Greene,14386,Republican
2021-01-13,Marjorie Taylor Greene,47206,Republican
2021-01-14,Marjorie Taylor Greene,114997,Republican
2021-01-15,Marjorie Taylor Greene,39392,Republican
2021-01-16,Marjorie Taylor Greene,20789,Republican
2021-01-17,Marjorie Taylor Greene,28379,Republican
2021-01-18,Marjorie Taylor Greene,58198,Republican
2021-01-19,Marjorie Taylor Greene,15792,Republican
2021-01-02,Marjorie Taylor Greene,18444,Republican
2021-01-21,Marjorie Taylor Greene,27893,Republican
2021-01-22,Marjorie Taylor Greene,81000,Republican
2021-01-23,Marjorie Taylor Greene,37804,Republican
2021-01-24,Marjorie Taylor Greene,14962,Republican
2021-01-25,Marjorie Taylor Greene,9074,Republican
2021-01-26,Marjorie Taylor Greene,15924,Republican
2021-01-27,Marjorie Taylor Greene,83320,Republican
2021-01-28,Marjorie Taylor Greene,181279,Republican
2021-01-29,Marjorie Taylor Greene,213682,Republican
2021-01-03,Marjorie Taylor Greene,203211,Republican
2021-01-31,Marjorie Taylor Greene,144503,Republican
2021-02-01,Marjorie Taylor Greene,105906,Republican
2021-02-02,Marjorie Taylor Greene,185972,Republican
2021-02-03,Marjorie Taylor Greene,182194,Republican
2021-02-04,Marjorie Taylor Greene,272577,Republican
2021-02-05,Marjorie Taylor Greene,359265,Republican
2021-02-06,Marjorie Taylor Greene,113769,Republican
2021-02-07,Marjorie Taylor Greene,51312,Republican
2021-02-08,Marjorie Taylor Greene,28695,Republican
2021-02-09,Marjorie Taylor Greene,25666,Republican
2021-02-01,Marjorie Taylor Greene,16243,Republican
2021-02-11,Marjorie Taylor Greene,14235,Republican
2021-02-12,Marjorie Taylor Greene,13939,Republican
2021-02-13,Marjorie Taylor Greene,11714,Republican
2021-02-14,Marjorie Taylor Greene,10144,Republican
2021-02-15,Marjorie Taylor Greene,8886,Republican
2021-02-16,Marjorie Taylor Greene,7152,Republican
2021-02-17,Marjorie Taylor Greene,6624,Republican
2021-02-18,Marjorie Taylor Greene,5708,Republican
2021-02-19,Marjorie Taylor Greene,5712,Republican
2021-02-02,Marjorie Taylor Greene,5153,Republican
2021-02-21,Marjorie Taylor Greene,4425,Republican
2021-02-22,Marjorie Taylor Greene,4683,Republican
2021-02-23,Marjorie Taylor Greene,4286,Republican
2021-02-24,Marjorie Taylor Greene,6706,Republican
2021-02-25,Marjorie Taylor Greene,32907,Republican
2021-02-26,Marjorie Taylor Greene,31973,Republican
2021-02-27,Marjorie Taylor Greene,15179,Republican
2021-02-28,Marjorie Taylor Greene,20140,Republican
2021-03-01,Marjorie Taylor Greene,11981,Republican
2021-03-02,Marjorie Taylor Greene,9168,Republican
2021-03-03,Marjorie Taylor Greene,8424,Republican
2021-03-04,Marjorie Taylor Greene,7873,Republican
2021-03-05,Marjorie Taylor Greene,6320,Republican
2021-03-06,Marjorie Taylor Greene,5688,Republican
2021-03-07,Marjorie Taylor Greene,5163,Republican
2021-03-08,Marjorie Taylor Greene,4468,Republican
2021-03-09,Marjorie Taylor Greene,4913,Republican
2021-03-01,Marjorie Taylor Greene,9247,Republican
2021-03-11,Marjorie Taylor Greene,14704,Republican
2021-03-12,Marjorie Taylor Greene,11208,Republican
2021-03-13,Marjorie Taylor Greene,5686,Republican
2021-03-14,Marjorie Taylor Greene,5484,Republican
2021-03-15,Marjorie Taylor Greene,4533,Republican
2021-03-16,Marjorie Taylor Greene,6837,Republican
2021-03-17,Marjorie Taylor Greene,6595,Republican
2021-03-18,Marjorie Taylor Greene,9719,Republican
2021-03-19,Marjorie Taylor Greene,16756,Republican
2021-03-02,Marjorie Taylor Greene,8921,Republican
2021-03-21,Marjorie Taylor Greene,5737,Republican
2021-03-22,Marjorie Taylor Greene,4496,Republican
2021-03-23,Marjorie Taylor Greene,4320,Republican
2021-03-24,Marjorie Taylor Greene,4598,Republican
2021-03-25,Marjorie Taylor Greene,3664,Republican
2021-03-26,Marjorie Taylor Greene,3219,Republican
2021-03-27,Marjorie Taylor Greene,3129,Republican
2021-03-28,Marjorie Taylor Greene,3402,Republican
2021-03-29,Marjorie Taylor Greene,3325,Republican
2021-03-03,Marjorie Taylor Greene,4139,Republican
2021-03-31,Marjorie Taylor Greene,5499,Republican
2021-04-01,Marjorie Taylor Greene,8477,Republican
2021-04-02,Marjorie Taylor Greene,11777,Republican
2021-04-03,Marjorie Taylor Greene,6036,Republican
2021-04-04,Marjorie Taylor Greene,5117,Republican
2021-04-05,Marjorie Taylor Greene,5541,Republican
2021-04-06,Marjorie Taylor Greene,4628,Republican
2021-04-07,Marjorie Taylor Greene,4808,Republican
2021-04-08,Marjorie Taylor Greene,5080,Republican
2021-04-09,Marjorie Taylor Greene,3650,Republican
2021-04-01,Marjorie Taylor Greene,3444,Republican
2021-04-11,Marjorie Taylor Greene,3935,Republican
2021-04-12,Marjorie Taylor Greene,3431,Republican
2021-04-13,Marjorie Taylor Greene,3349,Republican
2021-04-14,Marjorie Taylor Greene,2884,Republican
2021-04-15,Marjorie Taylor Greene,4905,Republican
2021-04-16,Marjorie Taylor Greene,7577,Republican
2021-04-17,Marjorie Taylor Greene,18592,Republican
2021-04-18,Marjorie Taylor Greene,13477,Republican
2021-04-19,Marjorie Taylor Greene,11176,Republican
2021-04-02,Marjorie Taylor Greene,8861,Republican
2021-04-21,Marjorie Taylor Greene,6593,Republican
2021-04-22,Marjorie Taylor Greene,12148,Republican
2021-04-23,Marjorie Taylor Greene,8918,Republican
2021-04-24,Marjorie Taylor Greene,6338,Republican
2021-04-25,Marjorie Taylor Greene,5783,Republican
2021-04-26,Marjorie Taylor Greene,4473,Republican
2021-04-27,Marjorie Taylor Greene,3847,Republican
2021-04-28,Marjorie Taylor Greene,3483,Republican
2021-04-29,Marjorie Taylor Greene,5543,Republican
2021-04-03,Marjorie Taylor Greene,4568,Republican
2021-05-01,Marjorie Taylor Greene,4344,Republican
2021-05-02,Marjorie Taylor Greene,3651,Republican
2021-05-03,Marjorie Taylor Greene,4043,Republican
2021-05-04,Marjorie Taylor Greene,5235,Republican
2021-05-05,Marjorie Taylor Greene,11212,Republican
2021-05-06,Marjorie Taylor Greene,11043,Republican
2021-05-07,Marjorie Taylor Greene,6427,Republican
2021-05-08,Marjorie Taylor Greene,9626,Republican
2021-05-09,Marjorie Taylor Greene,5862,Republican
2021-05-01,Marjorie Taylor Greene,5157,Republican
2021-05-11,Marjorie Taylor Greene,5022,Republican
2021-05-12,Marjorie Taylor Greene,5391,Republican
2021-05-13,Marjorie Taylor Greene,26791,Republican
2021-05-14,Marjorie Taylor Greene,54840,Republican
2021-05-15,Marjorie Taylor Greene,42396,Republican
2021-05-16,Marjorie Taylor Greene,19501,Republican
2021-05-17,Marjorie Taylor Greene,10833,Republican
2021-05-18,Marjorie Taylor Greene,8987,Republican
2021-05-19,Marjorie Taylor Greene,8218,Republican
2021-05-02,Marjorie Taylor Greene,6985,Republican
2021-05-21,Marjorie Taylor Greene,7407,Republican
2021-05-22,Marjorie Taylor Greene,13603,Republican
2021-05-23,Marjorie Taylor Greene,19091,Republican
2021-05-24,Marjorie Taylor Greene,28388,Republican
2021-05-25,Marjorie Taylor Greene,36707,Republican
2021-05-26,Marjorie Taylor Greene,40102,Republican
2021-05-27,Marjorie Taylor Greene,17901,Republican
2021-05-28,Marjorie Taylor Greene,16951,Republican
2021-05-29,Marjorie Taylor Greene,14551,Republican
2021-05-03,Marjorie Taylor Greene,10883,Republican
2021-05-31,Marjorie Taylor Greene,7439,Republican
2021-06-01,Marjorie Taylor Greene,8755,Republican
2021-06-02,Marjorie Taylor Greene,5217,Republican
2021-06-03,Marjorie Taylor Greene,5281,Republican
2021-06-04,Marjorie Taylor Greene,4504,Republican
2021-06-05,Marjorie Taylor Greene,3974,Republican
2021-06-06,Marjorie Taylor Greene,4434,Republican
2021-06-07,Marjorie Taylor Greene,4162,Republican
2021-06-08,Marjorie Taylor Greene,4040,Republican
2021-06-09,Marjorie Taylor Greene,4742,Republican
2021-06-01,Marjorie Taylor Greene,4356,Republican
2021-06-11,Marjorie Taylor Greene,3672,Republican
2021-06-12,Marjorie Taylor Greene,3606,Republican
2021-06-13,Marjorie Taylor Greene,3982,Republican
2021-06-14,Marjorie Taylor Greene,7280,Republican
2021-06-15,Marjorie Taylor Greene,18289,Republican
2021-06-16,Marjorie Taylor Greene,10979,Republican
2021-06-17,Marjorie Taylor Greene,6844,Republican
2021-06-18,Marjorie Taylor Greene,5363,Republican
2021-06-19,Marjorie Taylor Greene,4342,Republican
2021-06-02,Marjorie Taylor Greene,4605,Republican
2021-06-21,Marjorie Taylor Greene,3974,Republican
2021-06-22,Marjorie Taylor Greene,3247,Republican
2021-06-23,Marjorie Taylor Greene,2952,Republican
2021-06-24,Marjorie Taylor Greene,3781,Republican
2021-06-25,Marjorie Taylor Greene,8820,Republican
2021-06-26,Marjorie Taylor Greene,6358,Republican
2021-06-27,Marjorie Taylor Greene,20688,Republican
2021-06-28,Marjorie Taylor Greene,10023,Republican
2021-06-29,Marjorie Taylor Greene,6799,Republican
2021-06-03,Marjorie Taylor Greene,6116,Republican
2021-07-01,Marjorie Taylor Greene,5678,Republican
2021-07-02,Marjorie Taylor Greene,5167,Republican
2021-07-03,Marjorie Taylor Greene,4183,Republican
2021-07-04,Marjorie Taylor Greene,3986,Republican
2021-07-05,Marjorie Taylor Greene,3701,Republican
2021-07-06,Marjorie Taylor Greene,4394,Republican
2021-07-07,Marjorie Taylor Greene,8778,Republican
2021-07-08,Marjorie Taylor Greene,10612,Republican
2021-07-09,Marjorie Taylor Greene,6052,Republican
2021-07-01,Marjorie Taylor Greene,5007,Republican
2021-07-11,Marjorie Taylor Greene,4859,Republican
2021-07-12,Marjorie Taylor Greene,4201,Republican
2021-07-13,Marjorie Taylor Greene,3847,Republican
2021-07-14,Marjorie Taylor Greene,3419,Republican
2021-07-15,Marjorie Taylor Greene,3215,Republican
2021-07-16,Marjorie Taylor Greene,2933,Republican
2021-07-17,Marjorie Taylor Greene,4031,Republican
2021-07-18,Marjorie Taylor Greene,6260,Republican
2021-07-19,Marjorie Taylor Greene,4851,Republican
2021-07-02,Marjorie Taylor Greene,18414,Republican
2021-07-21,Marjorie Taylor Greene,14763,Republican
2021-07-22,Marjorie Taylor Greene,9572,Republican
2021-07-23,Marjorie Taylor Greene,7391,Republican
2021-07-24,Marjorie Taylor Greene,6326,Republican
2021-07-25,Marjorie Taylor Greene,4466,Republican
2021-07-26,Marjorie Taylor Greene,4918,Republican
2021-07-27,Marjorie Taylor Greene,6981,Republican
2021-07-28,Marjorie Taylor Greene,6952,Republican
2021-07-29,Marjorie Taylor Greene,6099,Republican
