state_fips,county_fips,year,county_name,state_name,ap_name,population
01,001,2000,Autauga County,Alabama,Ala.,43671
01,003,2000,Baldwin County,Alabama,Ala.,140415
01,005,2000,Barbour County,Alabama,Ala.,29038
01,007,2000,Bibb County,Alabama,Ala.,20826
01,009,2000,Blount County,Alabama,Ala.,51024
01,011,2000,Bullock County,Alabama,Ala.,11714
01,013,2000,Butler County,Alabama,Ala.,21399
01,015,2000,Calhoun County,Alabama,Ala.,112249
01,017,2000,Chambers County,Alabama,Ala.,36583
01,019,2000,Cherokee County,Alabama,Ala.,23988
01,021,2000,Chilton County,Alabama,Ala.,39593
01,023,2000,Choctaw County,Alabama,Ala.,15922
01,025,2000,Clarke County,Alabama,Ala.,27867
01,027,2000,Clay County,Alabama,Ala.,14254
01,029,2000,Cleburne County,Alabama,Ala.,14123
01,031,2000,Coffee County,Alabama,Ala.,43615
01,033,2000,Colbert County,Alabama,Ala.,54984
01,035,2000,Conecuh County,Alabama,Ala.,14089
01,037,2000,Coosa County,Alabama,Ala.,12202
01,039,2000,Covington County,Alabama,Ala.,37631
01,041,2000,Crenshaw County,Alabama,Ala.,13665
01,043,2000,Cullman County,Alabama,Ala.,77483
01,045,2000,Dale County,Alabama,Ala.,49129
01,047,2000,Dallas County,Alabama,Ala.,46365
01,049,2000,DeKalb County,Alabama,Ala.,64452
01,051,2000,Elmore County,Alabama,Ala.,65874
01,053,2000,Escambia County,Alabama,Ala.,38440
01,055,2000,Etowah County,Alabama,Ala.,103459
01,057,2000,Fayette County,Alabama,Ala.,18495
01,059,2000,Franklin County,Alabama,Ala.,31223
01,061,2000,Geneva County,Alabama,Ala.,25764
01,063,2000,Greene County,Alabama,Ala.,9974
01,065,2000,Hale County,Alabama,Ala.,17185
01,067,2000,Henry County,Alabama,Ala.,16310
01,069,2000,Houston County,Alabama,Ala.,88787
01,071,2000,Jackson County,Alabama,Ala.,53926
01,073,2000,Jefferson County,Alabama,Ala.,662047
01,075,2000,Lamar County,Alabama,Ala.,15904
01,077,2000,Lauderdale County,Alabama,Ala.,87966
01,079,2000,Lawrence County,Alabama,Ala.,34803
01,081,2000,Lee County,Alabama,Ala.,115092
01,083,2000,Limestone County,Alabama,Ala.,65676
01,085,2000,Lowndes County,Alabama,Ala.,13473
01,087,2000,Macon County,Alabama,Ala.,24105
01,089,2000,Madison County,Alabama,Ala.,276700
01,091,2000,Marengo County,Alabama,Ala.,22539
01,093,2000,Marion County,Alabama,Ala.,31214
01,095,2000,Marshall County,Alabama,Ala.,82231
01,097,2000,Mobile County,Alabama,Ala.,399843
01,099,2000,Monroe County,Alabama,Ala.,24324
01,101,2000,Montgomery County,Alabama,Ala.,223510
01,103,2000,Morgan County,Alabama,Ala.,111064
01,105,2000,Perry County,Alabama,Ala.,11861
01,107,2000,Pickens County,Alabama,Ala.,20949
01,109,2000,Pike County,Alabama,Ala.,29605
01,111,2000,Randolph County,Alabama,Ala.,22380
01,113,2000,Russell County,Alabama,Ala.,49756
01,115,2000,St. Clair County,Alabama,Ala.,64742
01,117,2000,Shelby County,Alabama,Ala.,143293
01,119,2000,Sumter County,Alabama,Ala.,14798
01,121,2000,Talladega County,Alabama,Ala.,80321
01,123,2000,Tallapoosa County,Alabama,Ala.,41475
01,125,2000,Tuscaloosa County,Alabama,Ala.,164875
01,127,2000,Walker County,Alabama,Ala.,70713
01,129,2000,Washington County,Alabama,Ala.,18097
01,131,2000,Wilcox County,Alabama,Ala.,13183
01,133,2000,Winston County,Alabama,Ala.,24843
02,013,2000,Aleutians East Borough,Alaska,Alaska,2697
02,016,2000,Aleutians West Census Area,Alaska,Alaska,5465
02,020,2000,Anchorage Municipality,Alaska,Alaska,260283
02,050,2000,Bethel Census Area,Alaska,Alaska,16006
02,060,2000,Bristol Bay Borough,Alaska,Alaska,1258
02,068,2000,Denali Borough,Alaska,Alaska,1893
02,070,2000,Dillingham Census Area,Alaska,Alaska,4922
02,090,2000,Fairbanks North Star Borough,Alaska,Alaska,82840
02,100,2000,Haines Borough,Alaska,Alaska,2392
02,110,2000,Juneau City and Borough,Alaska,Alaska,30711
02,122,2000,Kenai Peninsula Borough,Alaska,Alaska,49691
02,130,2000,Ketchikan Gateway Borough,Alaska,Alaska,14070
02,150,2000,Kodiak Island Borough,Alaska,Alaska,13913
02,164,2000,Lake and Peninsula Borough,Alaska,Alaska,1823
02,170,2000,Matanuska-Susitna Borough,Alaska,Alaska,59322
02,180,2000,Nome Census Area,Alaska,Alaska,9196
02,185,2000,North Slope Borough,Alaska,Alaska,7385
02,188,2000,Northwest Arctic Borough,Alaska,Alaska,7208
02,201,2000,Prince of Wales-Outer Ketchikan Census Area,Alaska,Alaska,6146
02,220,2000,Sitka City and Borough,Alaska,Alaska,8835
02,232,2000,Skagway-Hoonah-Angoon Census Area,Alaska,Alaska,3436
02,240,2000,Southeast Fairbanks Census Area,Alaska,Alaska,6174
02,261,2000,Valdez-Cordova Census Area,Alaska,Alaska,10195
02,270,2000,Wade Hampton Census Area,Alaska,Alaska,7028
02,280,2000,Wrangell-Petersburg Census Area,Alaska,Alaska,6684
02,282,2000,Yakutat City and Borough,Alaska,Alaska,808
02,290,2000,Yukon-Koyukuk Census Area,Alaska,Alaska,6551
04,001,2000,Apache County,Arizona,Ariz.,69423
04,003,2000,Cochise County,Arizona,Ariz.,117755
04,005,2000,Coconino County,Arizona,Ariz.,116320
04,007,2000,Gila County,Arizona,Ariz.,51335
04,009,2000,Graham County,Arizona,Ariz.,33489
04,011,2000,Greenlee County,Arizona,Ariz.,8547
04,012,2000,La Paz County,Arizona,Ariz.,19715
04,013,2000,Maricopa County,Arizona,Ariz.,3072149
04,015,2000,Mohave County,Arizona,Ariz.,155032
04,017,2000,Navajo County,Arizona,Ariz.,97470
04,019,2000,Pima County,Arizona,Ariz.,843746
04,021,2000,Pinal County,Arizona,Ariz.,179727
04,023,2000,Santa Cruz County,Arizona,Ariz.,38381
