zip,donation_amount_sum,donation_amount_count,city,state,geometry,x,y
94062,95192.0,6,Redwood City,CA,POINT (-122.29 37.4),-122.29,37.4
75024,20595.0,14,Plano,TX,POINT (-96.74 33.04),-96.74,33.04
83814,19030.0,26,Coeur D Alene,ID,POINT (-116.91 47.59),-116.91,47.59
91752,10300.0,8,Mira Loma,CA,POINT (-117.53 33.99),-117.53,33.99
78701,10150.0,4,Austin,TX,POINT (-97.74 30.26),-97.74,30.26
48844,10000.0,2,Howell,MI,POINT (-83.93 42.6),-83.93,42.6
91362,9855.0,16,Thousand Oaks,CA,POINT (-118.81 34.19),-118.81,34.19
98034,7895.0,19,Kirkland,WA,POINT (-122.2 47.72),-122.2,47.72
90024,6710.0,11,Los Angeles,CA,POINT (-118.43 34.06),-118.43,34.06
92592,6630.0,23,Temecula,CA,POINT (-117.04 33.53),-117.04,33.53
89012,6294.0,16,Henderson,NV,POINT (-115.04 36),-115.04,36.0
85749,5836.0,17,Tucson,AZ,POINT (-110.73 32.28),-110.73,32.28
46077,5625.0,12,Zionsville,IN,POINT (-86.27 39.95),-86.27,39.95
33602,5510.0,9,Tampa,FL,POINT (-82.48 27.95),-82.48,27.95
91307,5250.0,6,West Hills,CA,POINT (-118.69 34.2),-118.69,34.2
95662,5165.0,16,Orangevale,CA,POINT (-121.22 38.68),-121.22,38.68
74331,5100.0,2,Afton,OK,POINT (-94.96 36.69),-94.96,36.69
30264,5000.0,1,Newnan,GA,POINT (-84.78 33.37),-84.78,33.37
33672,5000.0,1,Tampa,FL,POINT (-82.48 27.95),-82.48,27.95
98826,4846.0,5,Leavenworth,WA,POINT (-120.86 47.81),-120.86,47.81
