zip,donation_amount_sum,donation_amount_count,zip3
!3343,25.0,1,!33
&9770,10.0,1,&97
0000!,25.0,1,000
00000,190.0,3,000
00008,25.0,1,000
0000I,100.0,1,000
000Mi,50.0,1,000
00100,15.0,1,001
00101,100.0,1,001
00130,100.0,1,001
00149,10.0,1,001
00191,50.0,1,001
00203,20.0,1,002
00257,50.0,1,002
00605,5.0,1,006
00613,20.0,1,006
00646,100.0,1,006
00677,20.0,1,006
00690,25.0,1,006
00801,100.0,1,008
00802,50.0,1,008
00907,1075.0,3,009
00927,20.0,1,009
00933,25.0,1,009
00966,200.0,1,009
00969,25.0,1,009
00984,20.0,1,009
00N0G,200.0,1,00N
00P7B,100.0,1,00P
00USA,25.0,1,00U
00h4w,100.0,1,00h
01000,20.0,1,010
01001,295.0,3,010
01002,275.0,4,010
01005,30.0,1,010
01007,100.0,1,010
01008,10.0,1,010
01009,30.0,2,010
01010,10.0,1,010
01011,30.0,1,010
01013,150.0,2,010
01020,195.0,5,010
01022,10.0,1,010
01027,153.0,4,010
01028,100.0,1,010
01030,225.0,4,010
01031,25.0,1,010
01034,50.0,1,010
01035,50.0,1,010
01036,50.0,1,010
01037,10.0,1,010
01040,100.0,1,010
01050,25.0,1,010
01054,50.0,1,010
01056,203.0,6,010
01062,25.0,1,010
01071,25.0,1,010
01075,70.0,2,010
01077,80.0,2,010
01085,315.0,9,010
01089,75.0,2,010
01094,26.0,1,010
01095,250.0,4,010
01096,5.0,1,010
01103,10.0,1,011
01105,100.0,1,011
01106,80.0,3,011
01108,150.0,2,011
01109,70.0,2,011
01119,200.0,1,011
01128,25.0,1,011
01129,30.0,2,011
01201,70.0,3,012
01202,20.0,1,012
01220,95.0,2,012
01226,77.0,1,012
01236,13.0,1,012
01254,125.0,2,012
01256,50.0,1,012
01267,25.0,1,012
01301,60.0,2,013
01331,20.0,1,013
01344,100.0,1,013
01349,25.0,1,013
01354,15.0,1,013
01360,50.0,1,013
01364,25.0,1,013
01366,150.0,2,013
01373,575.0,4,013
01420,75.0,2,014
01430,270.0,4,014
01431,10.0,1,014
01432,119.0,3,014
01434,30.0,1,014
01440,325.0,5,014
01450,181.0,5,014
01451,1300.0,2,014
01452,500.0,1,014
01453,85.0,4,014
01460,196.0,5,014
01462,200.0,2,014
01463,360.0,3,014
01464,225.0,3,014
01468,25.0,1,014
01469,100.0,1,014
01475,125.0,2,014
01501,155.0,5,015
01504,100.0,1,015
01507,225.0,3,015
01508,25.0,1,015
01510,100.0,2,015
01516,75.0,2,015
01518,75.0,1,015
01519,100.0,1,015
01521,70.0,2,015
01522,20.0,1,015
01524,120.0,2,015
01527,60.0,3,015
01528374,25.0,1,015
01531,110.0,2,015
01532,225.0,6,015
01535,365.0,5,015
01536,55.0,3,015
01540,100.0,1,015
01543,35.0,2,015
01545,315.0,9,015
01550,215.0,3,015
01560,6.0,1,015
01562,170.0,2,015
01564,210.0,4,015
01566,25.0,1,015
01568,100.0,1,015
01569,500.0,10,015
01570,100.0,2,015
01571,90.0,3,015
01581,210.0,2,015
01583,250.0,4,015
01588,100.0,1,015
01590,120.0,3,015
01602,75.0,2,016
01603,100.0,1,016
01604,259.0,6,016
01605,434.0,4,016
01606,105.0,4,016
01607,25.0,1,016
01612,25.0,1,016
01701,447.0,7,017
01702,470.0,8,017
01719,220.0,3,017
01720,415.0,9,017
01721,175.0,4,017
01730,308.0,7,017
01740,310.0,4,017
01741,220.0,4,017
01742,400.0,5,017
