display,count_specific_word,count_total_words
Jackson (2022),128,1195752
Barrett (2020),0,1186625
Kavanaugh (2018),0,4110358
Gorsuch (2017),0,1451495
Kagan (2010),4,1317413
Sotomayor (2009),11,1426628
Alito (2006),1,1818889
Roberts (2005),6,1648775
Breyer (1994),6,1867001
Ginsburg (1993),0,1901236
Thomas (1991),0,6787590
Souter (1990),0,2874966
Kennedy (1987),0,2110430
Rehnquist-Chief (1986),0,2598813
Scalia (1986),0,914566
Oconnor (1986),0,1119577
Rehnquist-Powell (1971),0,1708549
