,n_number,name,last_action_date,city,county
32151,184SD,COUNTY OF ORANGE - AIR SUPPORT                    ,20170110,COSTA MESA        ,059
44307,213PF,LAPD AIR SUPPORT DIVISION                         ,20180825,LOS ANGELES       ,037
45957,21844,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION      ,20181012,LOS ANGELES       ,037
47577,221LA,LAPD AIR SUPPORT DIVISION                         ,20180123,LOS ANGELES       ,037
48424,223LA,LAPD AIR SUPPORT DIVISION                         ,20190329,LOS ANGELES       ,037
63489,267LA,LAPD AIR SUPPORT DIVISION                         ,20170721,LOS ANGELES       ,037
130467,472LA,LAPD AIR SUPPORT DIVISION                         ,20190506,LOS ANGELES       ,037
186859,661PD,LAPD AIR SUPPORT DIVISION                         ,20170824,LOS ANGELES       ,037
187102,662PD,LAPD AIR SUPPORT DIVISION                         ,20180508,LOS ANGELES       ,037
187815,665PD,LAPD AIR SUPPORT DIVISION                         ,20200120,LOS ANGELES       ,037
188591,668PD,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION      ,20170824,LOS ANGELES       ,037
265258,913WB,LAPD AIR SUPPORT DIVISION                         ,20190227,LOS ANGELES       ,037
