,n_number,name,expiration_date,city,county
4920,110LA,CONSOLIDATED FIRE PROTECTION                      ,20200531,PACOIMA           ,037
9439,120LA,COUNTY OF LOS ANGELES FIRE DEPT                   ,20220831,PACOIMA           ,037
20201,14LA ,COUNTY OF LOS ANGELES                             ,20200831,PACOIMA           ,037
23761,15LA ,COUNTY OF LOS ANGELES                             ,20220930,PACOIMA           ,037
24194,160LA,COUNTY OF LOS ANGELES FIRE DEPT AIR OPERATIONS    ,20200731,LOS ANGELES       ,037
30063,17LA ,COUNTY OF LOS ANGELES FIRE DEPARTMENT             ,20201130,PACOIMA           ,037
33871,18LA ,COUNTY OF LOS ANGELES FIRE DEPARTMENT             ,20210228,PACOIMA           ,037
34282,190LA,COUNTY OF LOS ANGELES FIRE DEPARTMENT             ,20211031,LOS ANGELES       ,037
44307,213PF,LAPD AIR SUPPORT DIVISION                         ,20210831,LOS ANGELES       ,037
45957,21844,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION      ,20200831,LOS ANGELES       ,037
47577,221LA,LAPD AIR SUPPORT DIVISION                         ,20210630,LOS ANGELES       ,037
48424,223LA,LAPD AIR SUPPORT DIVISION                         ,20220131,LOS ANGELES       ,037
50114,228LA,CITY OF LOS ANGELES                               ,20220630,LOS ANGELES       ,037
50428,229LA,CITY OF LOS ANGELES                               ,20230531,LOS ANGELES       ,037
51831,232LA,CITY OF LOS ANGELES                               ,20200731,LOS ANGELES       ,037
52156,233LA,CITY OF LOS ANGELES                               ,20200731,LOS ANGELES       ,037
63489,267LA,LAPD AIR SUPPORT DIVISION                         ,20200731,LOS ANGELES       ,037
75632,304FD,CITY OF LOS ANGELES                               ,20200731,VAN NUYS          ,037
76001,305FD,CITY OF LOS ANGELES                               ,20210831,VAN NUYS          ,037
76394,306FD,CITY OF LOS ANGELES                               ,20220430,VAN NUYS          ,037
81489,3202Q,CITY OF LOS ANGELES                               ,20221031,LOS ANGELES       ,037
130467,472LA,LAPD AIR SUPPORT DIVISION                         ,20220531,LOS ANGELES       ,037
168593,601CC,CITY OF LOS ANGELES                               ,20230430,VAN NUYS          ,037
186859,661PD,LAPD AIR SUPPORT DIVISION                         ,20210131,LOS ANGELES       ,037
187102,662PD,LAPD AIR SUPPORT DIVISION                         ,20211031,LOS ANGELES       ,037
187561,664PD,CITY OF LOS ANGELES                               ,20201031,LOS ANGELES       ,037
187815,665PD,LAPD AIR SUPPORT DIVISION                         ,20230630,LOS ANGELES       ,037
188591,668PD,LOS ANGELES POLICE DEPT AIR SUPPORT DIVISION      ,20210131,LOS ANGELES       ,037
198206,703WP,CITY OF LOS ANGELES                               ,20200831,VAN NUYS          ,037
198670,704WP,CITY OF LOS ANGELES                               ,20201031,VAN NUYS          ,037
211749,73985,CITY OF LOS ANGELES                               ,20210831,VAN NUYS          ,037
238252,821LA,CONSOLIDATED FIRE PROTECTION DISTRICT OF LA COUNTY,20210131,LOS ANGELES       ,037
238592,822LA,CONSOLIDATED FIRE PROTECTION DIST OF LOS ANGELES  ,20210131,LOS ANGELES       ,037
265258,913WB,LAPD AIR SUPPORT DIVISION                         ,20220731,LOS ANGELES       ,037
276288,950LA,COUNTY OF LOS ANGELES                             ,20210731,LONG BEACH        ,037
276322,950SG,COUNTY OF LOS ANGELES                             ,20200731,LONG BEACH        ,037
276566,951LA,COUNTY OF LOS ANGELES                             ,20230331,LONG BEACH        ,037
276567,951LB,COUNTY OF LOS ANGELES                             ,20200731,LONG BEACH        ,037
276827,952JH,COUNTY OF LOS ANGELES                             ,20200731,LONG BEACH        ,037
277103,953LA,COUNTY OF LOS ANGELES                             ,20221231,LONG BEACH        ,037
277364,954LA,COUNTY OF LOS ANGELES                             ,20221031,LONG BEACH        ,037
277628,955LA,COUNTY OF LOS ANGELES                             ,20221130,LONG BEACH        ,037
277898,956LA,COUNTY OF LOS ANGELES                             ,20230131,LONG BEACH        ,037
278169,957LA,COUNTY OF LOS ANGELES                             ,20230430,LONG BEACH        ,037
278395,958LA,COUNTY OF LOS ANGELES                             ,20230430,LONG BEACH        ,037
278635,959LA,COUNTY OF LOS ANGELES                             ,20230430,LONG BEACH        ,037
279105,960LA,COUNTY OF LOS ANGELES                             ,20230531,LONG BEACH        ,037
279349,961LA,COUNTY OF LOS ANGELES                             ,20230531,LONG BEACH        ,037
279372,961SD,COUNTY OF LOS ANGELES SHERIFFS DEPARTMENT         ,20220228,LONG BEACH        ,037
279573,962LA,COUNTY OF LOS ANGELES                             ,20230630,LONG BEACH        ,037
279809,963SD,COUNTY OF LOS ANGELES                             ,20230430,LONG BEACH        ,037
280499,966SD,COUNTY OF LOS ANGELES                             ,20200930,LONG BEACH        ,037
