n_number,name,street,city,type,mfr,model,no_seats
N409DF,USDA FOREST SERVICE FEPP,5500 PRICE AVE                   ,MCCLELLAN         ,Fixed wing multi engine,NORTH AMERICAN                ,OV-10A              ,2
N415DF,USDA FOREST SERVICE FEPP,5500 PRICE AVE                   ,MCCLELLAN         ,Fixed wing multi engine,NORTH AMERICAN                ,OV-10A              ,2
N463DF,STATE OF CALIFORNIA - CAL FIRE,5500 PRICE AVE                   ,MCCLELLAN         ,Fixed wing multi engine,RAYTHEON AIRCRAFT COMPANY     ,A200CT              ,15
N110LA,CONSOLIDATED FIRE PROTECTION,12605 OSBORNE ST                 ,PACOIMA           ,Rotorcraft,BELL                          ,412EP               ,15
N436DF,USDA FOREST SERVICE - FEPP,5500 PRICE AVE                   ,MCCLELLAN         ,Fixed wing multi engine,MARSH AVIATION                ,S-2F3AT             ,5
N437DF,USDA FOREST SERVICE FEPP,5500 PRICE AVE                   ,MCCLELLAN         ,Fixed wing multi engine,MARSH AVIATION                ,S-2F3AT             ,5
N137CG,DELAWARE TRUST CO TRUSTEE,251 LITTLE FALLS DR              ,WILMINGTON        ,Fixed wing multi engine,BOEING                        ,737-3H4             ,149
N261CG,COULSON AVIATION (USA) INC,610 SW ALDER ST STE 910          ,PORTLAND          ,Rotorcraft,SIKORSKY                      ,S-61N               ,28
N839AC,AERO-FLITE INC,8520 W ELECTRIC AVE              ,SPOKANE           ,Fixed wing multi engine,BAE SYSTEMS PLC               ,AVRO 146-RJ85A      ,110
N295EA,CORSAIR TWO LLC,2050 NE 25TH AVE                 ,HILLSBORO         ,Fixed wing multi engine,MCDONNELL DOUGLAS             ,DC-9-87             ,172
N954LA,COUNTY OF LOS ANGELES,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,Rotorcraft,AMERICAN EUROCOPTER CORP      ,AS350B2             ,7
N951LB,COUNTY OF LOS ANGELES,3235 N LAKEWOOD BLVD             ,LONG BEACH        ,Rotorcraft,EUROCOPTER                    ,AS332L1             ,26
N491DF,USDA FOREST SERVICE FEPP,CA DEPT FORESTRY/FIRE PROTECTION ,MCCELLAN          ,Rotorcraft,BELL                          ,EH-1H               ,6
