county,area,confirmed_cases,cases_rate,confirmed_deaths,deaths_rate,county_date
Los Angeles,City of Lancaster*,20232,12522,213,132,2021-02-09
Los Angeles,City of Lawndale,3203,9529,36,107,2021-02-09
Los Angeles,City of Lomita,1256,6059,19,92,2021-02-09
Los Angeles,City of Lynwood*,12536,17400,189,262,2021-02-09
Los Angeles,City of Malibu,321,2477,6,46,2021-02-09
Los Angeles,City of Manhattan Beach,1136,3156,14,39,2021-02-09
Los Angeles,City of Maywood,4945,17630,71,253,2021-02-09
Los Angeles,City of Monrovia,2974,7665,58,149,2021-02-09
Los Angeles,City of Montebello,9635,14967,150,233,2021-02-09
Los Angeles,City of Monterey Park,4483,7200,146,234,2021-02-09
Los Angeles,City of Norwalk,15075,14007,244,227,2021-02-09
Los Angeles,City of Palmdale,22878,14392,248,156,2021-02-09
Los Angeles,City of Palos Verdes Estates,363,2685,5,37,2021-02-09
Los Angeles,City of Paramount,9361,16709,98,175,2021-02-09
Los Angeles,City of Pico Rivera,10457,16267,200,311,2021-02-09
Los Angeles,City of Pomona,23131,14834,334,214,2021-02-09
Los Angeles,City of Rancho Palos Verdes,1180,2760,42,98,2021-02-09
Los Angeles,City of Redondo Beach,2389,3478,26,38,2021-02-09
Los Angeles,City of Rolling Hills,44,2268,0,0,2021-02-09
Los Angeles,City of Rolling Hills Estates,231,2847,7,86,2021-02-09
Los Angeles,City of Rosemead,4575,8266,99,179,2021-02-09
Los Angeles,City of San Dimas*,2945,8532,68,197,2021-02-09
Los Angeles,City of San Fernando,4907,19937,49,199,2021-02-09
Los Angeles,City of San Gabriel,2963,7235,162,396,2021-02-09
Los Angeles,City of San Marino,345,2598,10,75,2021-02-09
Los Angeles,City of Santa Clarita,18169,8243,205,93,2021-02-09
Los Angeles,City of Santa Fe Springs,2645,14403,31,169,2021-02-09
Los Angeles,City of Santa Monica,4076,4409,127,137,2021-02-09
Los Angeles,City of Sierra Madre,433,3940,10,91,2021-02-09
Los Angeles,City of Signal Hill,1048,8884,9,76,2021-02-09
Los Angeles,City of South El Monte,3250,15561,44,211,2021-02-09
Los Angeles,City of South Gate,17654,17986,172,175,2021-02-09
Los Angeles,City of South Pasadena,1224,4698,37,142,2021-02-09
Los Angeles,City of Temple City,2198,6029,89,244,2021-02-09
Los Angeles,City of Torrance,6350,4254,155,104,2021-02-09
Los Angeles,City of Vernon,123,58852,1,478,2021-02-09
Los Angeles,City of Walnut,1629,5335,28,92,2021-02-09
Los Angeles,City of West Covina,11994,11081,176,163,2021-02-09
Los Angeles,City of West Hollywood,2017,5459,25,68,2021-02-09
Los Angeles,City of Westlake Village,97,1160,0,0,2021-02-09
Los Angeles,City of Whittier,10354,11842,185,212,2021-02-09
Los Angeles,Los Angeles,466621,11537,7532,186,2021-02-09
Los Angeles,Los Angeles - Adams-Normandie,1118,13631,15,183,2021-02-09
Los Angeles,Los Angeles - Alsace,1486,11941,16,129,2021-02-09
Los Angeles,Los Angeles - Angeles National Forest,5,12500,0,0,2021-02-09
Los Angeles,Los Angeles - Angelino Heights,257,10272,5,200,2021-02-09
Los Angeles,Los Angeles - Arleta,6640,19319,82,239,2021-02-09
Los Angeles,Los Angeles - Atwater Village,1321,9007,18,123,2021-02-09
Los Angeles,Los Angeles - Baldwin Hills,2506,8051,48,154,2021-02-09
Los Angeles,Los Angeles - Bel Air,342,4057,2,24,2021-02-09
Los Angeles,Los Angeles - Beverly Crest,554,4423,4,32,2021-02-09
Los Angeles,Los Angeles - Beverlywood,779,5914,1,8,2021-02-09
Los Angeles,Los Angeles - Boyle Heights*,16732,19258,240,276,2021-02-09
Los Angeles,Los Angeles - Brentwood,1327,4287,14,45,2021-02-09
Los Angeles,Los Angeles - Brookside,31,5336,2,344,2021-02-09
Los Angeles,Los Angeles - Cadillac-Corning,643,9030,7,98,2021-02-09
Los Angeles,Los Angeles - Canoga Park,8697,13321,125,191,2021-02-09
Los Angeles,Los Angeles - Carthay,846,5890,49,341,2021-02-09
Los Angeles,Los Angeles - Central,7121,18263,100,256,2021-02-09
Los Angeles,Los Angeles - Century City,546,4268,12,94,2021-02-09
Los Angeles,Los Angeles - Century Palms/Cove,5852,17331,61,181,2021-02-09
Los Angeles,Los Angeles - Chatsworth,3324,8969,63,170,2021-02-09
Los Angeles,Los Angeles - Cheviot Hills,405,4416,8,87,2021-02-09
Los Angeles,Los Angeles - Chinatown,678,8453,12,150,2021-02-09
Los Angeles,Los Angeles - Cloverdale/Cochran,1481,10177,18,124,2021-02-09
Los Angeles,Los Angeles - Country Club Park,1436,9477,62,409,2021-02-09
Los Angeles,Los Angeles - Crenshaw District,1356,9805,19,137,2021-02-09
Los Angeles,Los Angeles - Crestview,891,7838,38,334,2021-02-09
Los Angeles,Los Angeles - Del Rey,1825,6096,19,63,2021-02-09
Los Angeles,Los Angeles - Downtown*,3611,13128,41,149,2021-02-09
Los Angeles,Los Angeles - Eagle Rock,3459,8737,81,205,2021-02-09
Los Angeles,Los Angeles - East Hollywood,3000,10243,99,338,2021-02-09
Los Angeles,Los Angeles - Echo Park,1258,8824,17,119,2021-02-09
Los Angeles,Los Angeles - El Sereno,5941,14210,87,208,2021-02-09
Los Angeles,Los Angeles - Elysian Park,480,8403,3,53,2021-02-09
Los Angeles,Los Angeles - Elysian Valley,1227,12064,20,197,2021-02-09
Los Angeles,Los Angeles - Encino,3093,6847,44,97,2021-02-09
Los Angeles,Los Angeles - Exposition,338,10162,5,150,2021-02-09
Los Angeles,Los Angeles - Exposition Park,5763,12830,65,145,2021-02-09
Los Angeles,Los Angeles - Faircrest Heights,218,6056,2,56,2021-02-09
Los Angeles,Los Angeles - Figueroa Park Square,1286,14746,16,183,2021-02-09
Los Angeles,Los Angeles - Florence-Firestone,8830,18611,95,200,2021-02-09
Los Angeles,Los Angeles - Glassell Park,3246,10271,40,127,2021-02-09
Los Angeles,Los Angeles - Gramercy Place,1229,11418,20,186,2021-02-09
Los Angeles,Los Angeles - Granada Hills,5969,10258,145,249,2021-02-09
Los Angeles,Los Angeles - Green Meadows,3701,17210,37,172,2021-02-09
Los Angeles,Los Angeles - Hancock Park,931,5464,9,53,2021-02-09
Los Angeles,Los Angeles - Harbor City,2222,7644,29,100,2021-02-09
Los Angeles,Los Angeles - Harbor Gateway,4512,10349,51,117,2021-02-09
Los Angeles,Los Angeles - Harbor Pines,155,6434,0,0,2021-02-09
Los Angeles,Los Angeles - Harvard Heights,2443,13546,58,322,2021-02-09
Los Angeles,Los Angeles - Harvard Park,6700,17662,70,185,2021-02-09
Los Angeles,Los Angeles - Highland Park,5456,11275,79,163,2021-02-09
Los Angeles,Los Angeles - Historic Filipinotown,1884,13583,70,505,2021-02-09
Los Angeles,Los Angeles - Hollywood,4962,7270,54,79,2021-02-09
Los Angeles,Los Angeles - Hollywood Hills,1321,4488,19,65,2021-02-09
Los Angeles,Los Angeles - Hyde Park,3399,11909,51,179,2021-02-09
Los Angeles,Los Angeles - Jefferson Park,1099,13613,9,111,2021-02-09
Los Angeles,Los Angeles - Koreatown,5205,10069,102,197,2021-02-09
Los Angeles,Los Angeles - Lafayette Square,497,10902,7,154,2021-02-09
Los Angeles,Los Angeles - Lake Balboa,5017,11887,52,123,2021-02-09
Los Angeles,Los Angeles - Lakeview Terrace,2194,16706,34,259,2021-02-09
Los Angeles,Los Angeles - Leimert Park,1457,9564,17,112,2021-02-09
Los Angeles,Los Angeles - Lincoln Heights,4903,15041,135,414,2021-02-09
Los Angeles,Los Angeles - Little Armenia,1073,13371,72,897,2021-02-09
Los Angeles,Los Angeles - Little Bangladesh,2587,9127,27,95,2021-02-09
Los Angeles,Los Angeles - Little Tokyo,364,11618,10,319,2021-02-09
Los Angeles,Los Angeles - Longwood,546,12686,6,139,2021-02-09
Los Angeles,Los Angeles - Los Feliz,962,4452,21,97,2021-02-09
Los Angeles,Los Angeles - Manchester Square,861,10087,10,117,2021-02-09
Los Angeles,Los Angeles - Mandeville Canyon,121,3873,0,0,2021-02-09
Los Angeles,Los Angeles - Mar Vista,1799,4236,26,61,2021-02-09
Los Angeles,Los Angeles - Marina Peninsula,124,2844,1,23,2021-02-09
Los Angeles,Los Angeles - Melrose,7481,9629,175,225,2021-02-09
Los Angeles,Los Angeles - Mid-city,1103,7339,32,213,2021-02-09
Los Angeles,Los Angeles - Miracle Mile,848,4715,14,78,2021-02-09
Los Angeles,Los Angeles - Mission Hills,3993,16552,108,448,2021-02-09
Los Angeles,Los Angeles - Mt. Washington,2731,11311,51,211,2021-02-09
Los Angeles,Los Angeles - North Hills,8697,14124,111,180,2021-02-09
Los Angeles,Los Angeles - North Hollywood,19101,12614,267,176,2021-02-09
Los Angeles,Los Angeles - Northridge,6986,10009,120,172,2021-02-09
Los Angeles,Los Angeles - Pacific Palisades,691,3246,16,75,2021-02-09
Los Angeles,Los Angeles - Pacoima,16252,21112,175,227,2021-02-09
Los Angeles,Los Angeles - Palisades Highlands,125,3250,1,26,2021-02-09
Los Angeles,Los Angeles - Palms,2386,5438,47,107,2021-02-09
Los Angeles,Los Angeles - Panorama City,12647,16807,203,270,2021-02-09
Los Angeles,Los Angeles - Park La Brea,529,3895,1,7,2021-02-09
