rank,place,population,type
1,Los Angeles,"10,105,518",COUNTY
2,San Diego,"3,343,364",COUNTY
3,Orange,"3,185,968",COUNTY
4,Riverside,"2,450,758",COUNTY
5,San Bernardino,"2,171,603",COUNTY
6,Santa Clara,"1,937,570",COUNTY
7,Alameda,"1,666,753",COUNTY
8,Sacramento,"1,540,975",COUNTY
9,Contra Costa,"1,150,215",COUNTY
10,Fresno,"994,400",COUNTY
11,Kern,"896,764",COUNTY
12,San Francisco,"883,305",COUNTY
13,Ventura,"850,967",COUNTY
14,San Mateo,"769,545",COUNTY
15,San Joaquin,"752,660",COUNTY
16,Stanislaus,"549,815",COUNTY
17,Sonoma,"499,942",COUNTY
18,Tulare,"465,861",COUNTY
19,Solano,"446,610",COUNTY
20,Santa Barbara,"446,527",COUNTY
1,Los Angeles,"3,990,456",CITY
2,San Diego,"1,425,976",CITY
3,San Jose,"1,030,119",CITY
4,San Francisco,"883,305",CITY
5,Fresno,"530,093",CITY
6,Sacramento,"508,529",CITY
7,Long Beach,"467,354",CITY
8,Oakland,"429,082",CITY
9,Bakersfield,"383,579",CITY
10,Anaheim,"352,005",CITY
11,Santa Ana,"332,725",CITY
12,Riverside,"330,063",CITY
13,Stockton,"311,178",CITY
14,Irvine,"282,572",CITY
15,Chula Vista,"271,651",CITY
16,Fremont,"237,807",CITY
17,San Bernardino,"215,941",CITY
18,Modesto,"215,030",CITY
19,Fontana,"213,739",CITY
20,Santa Clarita,"210,089",CITY
