zip,donation_amount_sum,donation_amount_count,city,state,x,y
10001,615.0,8,New York,NY,-73.99,40.71
10002,305.0,5,New York,NY,-73.99,40.71
10003,705.0,11,New York,NY,-73.99,40.71
10005,520.0,2,New York,NY,-73.99,40.71
10006,100.0,1,New York,NY,-73.99,40.71
10007,100.0,1,New York,NY,-73.99,40.71
10009,300.0,4,New York,NY,-73.99,40.71
10010,230.0,2,New York,NY,-73.99,40.71
10011,135.0,3,New York,NY,-73.99,40.71
10012,525.0,9,New York,NY,-73.99,40.71
10013,80.0,3,New York,NY,-73.99,40.71
10014,200.0,2,New York,NY,-73.99,40.71
10016,410.0,7,New York,NY,-73.99,40.71
10017,485.0,5,New York,NY,-73.99,40.71
10018,130.0,2,New York,NY,-73.99,40.71
10019,660.0,5,New York,NY,-73.99,40.71
10021,1475.0,7,New York,NY,-73.95,40.77
10022,4151.0,13,New York,NY,-73.99,40.71
10023,1605.0,11,New York,NY,-73.99,40.71
10024,574.0,8,New York,NY,-73.99,40.71
10025,1126.0,16,New York,NY,-73.99,40.71
10026,200.0,2,New York,NY,-73.99,40.71
10027,100.0,2,New York,NY,-73.99,40.71
10028,787.0,9,New York,NY,-73.99,40.71
10029,75.0,2,New York,NY,-73.99,40.71
10030,195.0,4,New York,NY,-73.99,40.71
10031,110.0,2,New York,NY,-73.99,40.71
10032,195.0,5,New York,NY,-73.99,40.71
10033,60.0,3,New York,NY,-73.99,40.71
10034,250.0,1,New York,NY,-73.99,40.71
10035,25.0,1,New York,NY,-73.99,40.71
10036,475.0,8,New York,NY,-73.99,40.71
10037,60.0,2,New York,NY,-73.99,40.71
10043,20.0,1,New York,NY,-73.99,40.71
10044,220.0,4,New York,NY,-73.99,40.71
10065,393.0,5,New York,NY,-73.96,40.76
10069,370.0,3,New York,NY,-73.99,40.71
10075,50.0,1,New York,NY,-73.95,40.77
10128,2095.0,20,New York,NY,-73.99,40.71
10159,20.0,1,New York,NY,-73.99,40.71
10162,25.0,1,New York,NY,-73.99,40.71
10280,20.0,1,New York,NY,-73.99,40.71
10282,300.0,2,New York,NY,-73.99,40.71
10301,125.0,4,Staten Island,NY,-74.14,40.58
10304,410.0,5,Staten Island,NY,-74.14,40.58
10305,40.0,3,Staten Island,NY,-74.14,40.58
10306,502.0,12,Staten Island,NY,-74.14,40.58
10308,190.0,4,Staten Island,NY,-74.14,40.58
10309,170.0,4,Staten Island,NY,-74.14,40.58
10310,209.0,3,Staten Island,NY,-74.14,40.58
10312,527.0,12,Staten Island,NY,-74.14,40.58
10314,395.0,11,Staten Island,NY,-74.14,40.58
10455,100.0,1,Bronx,NY,-73.87,40.84
10458,35.0,2,Bronx,NY,-73.87,40.84
