Series ID,Year,Period,Label,Value
LASST060000000000003,1976,M01,1976 Jan,9.1
LASST060000000000003,1976,M02,1976 Feb,9.1
LASST060000000000003,1976,M03,1976 Mar,9.0
LASST060000000000003,1976,M04,1976 Apr,9.0
LASST060000000000003,1976,M05,1976 May,8.9
LASST060000000000003,1976,M06,1976 Jun,8.9
LASST060000000000003,1976,M07,1976 Jul,9.0
LASST060000000000003,1976,M08,1976 Aug,9.1
LASST060000000000003,1976,M09,1976 Sep,9.2
LASST060000000000003,1976,M10,1976 Oct,9.3
LASST060000000000003,1976,M11,1976 Nov,9.4
LASST060000000000003,1976,M12,1976 Dec,9.3
LASST060000000000003,1977,M01,1977 Jan,9.2
LASST060000000000003,1977,M02,1977 Feb,9.1
LASST060000000000003,1977,M03,1977 Mar,8.9
LASST060000000000003,1977,M04,1977 Apr,8.7
LASST060000000000003,1977,M05,1977 May,8.5
LASST060000000000003,1977,M06,1977 Jun,8.3
LASST060000000000003,1977,M07,1977 Jul,8.2
LASST060000000000003,1977,M08,1977 Aug,8.1
LASST060000000000003,1977,M09,1977 Sep,7.9
LASST060000000000003,1977,M10,1977 Oct,7.8
LASST060000000000003,1977,M11,1977 Nov,7.7
LASST060000000000003,1977,M12,1977 Dec,7.6
LASST060000000000003,1978,M01,1978 Jan,7.6
LASST060000000000003,1978,M02,1978 Feb,7.5
LASST060000000000003,1978,M03,1978 Mar,7.5
LASST060000000000003,1978,M04,1978 Apr,7.5
LASST060000000000003,1978,M05,1978 May,7.4
LASST060000000000003,1978,M06,1978 Jun,7.3
LASST060000000000003,1978,M07,1978 Jul,7.1
LASST060000000000003,1978,M08,1978 Aug,7.0
LASST060000000000003,1978,M09,1978 Sep,6.9
LASST060000000000003,1978,M10,1978 Oct,6.8
LASST060000000000003,1978,M11,1978 Nov,6.7
LASST060000000000003,1978,M12,1978 Dec,6.6
LASST060000000000003,1979,M01,1979 Jan,6.5
LASST060000000000003,1979,M02,1979 Feb,6.4
LASST060000000000003,1979,M03,1979 Mar,6.3
LASST060000000000003,1979,M04,1979 Apr,6.2
LASST060000000000003,1979,M05,1979 May,6.2
