population,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average Daily Population,545,540,507,382,362,305,304,304,311,327,330,314
Black,197,205,193,134,118,90,96,99,110,103,116,123
Caucasian,30,25,20,13,10,11,19,19,12,8,7,5
Hispanic,310,302,288,228,228,200,186,182,188,213,207,185
Other,8,8,6,7,5,4,3,4,1,3,0,1
