Gender,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Male,460,462,438,330,313,257,256,258,263,277,276,265
Female,85,78,69,52,49,48,48,46,48,50,54,49
