age,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,5,2,5,2,0,1,4,1,0,0,2,3
13,15,16,16,10,7,8,3,6,2,4,3,2
14,29,36,30,32,21,19,13,17,20,28,23,21
15,81,85,90,52,44,43,46,46,59,50,50,42
16,148,136,118,83,81,78,82,73,64,64,83,74
17,177,178,168,131,126,90,79,93,97,106,100,101
18,74,69,62,57,65,51,62,53,55,58,49,50
19,14,16,16,13,14,12,13,13,11,13,16,18
20,2,2,2,2,4,3,2,2,3,4,4,3
21,0,0,0,0,0,0,0,0,0,0,0,0
