,flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved,date,month,day,weekday,year
0,652714535,4960644,TCLLD,B789,THY9,TK9,IST,LAX,LAX,,2021-02-25,2,25,Thursday,2021
1,652728084,7785910,9VSMV,A359,SIA38,SQ38,SIN,LAX,LAX,,2021-02-25,2,25,Thursday,2021
2,652722286,7701797,RPC3501,A359,PAL102,PR102,MNL,LAX,LAX,,2021-02-25,2,25,Thursday,2021
3,652743424,4344683,MLWCW,GL7T,MLWCW,,ZRH,LAX,LAX,,2021-02-25,2,25,Thursday,2021
4,652733465,9015460,B18772,B77L,CAL5155,CI5155,LAX,KIX,KIX,,2021-02-25,2,25,Thursday,2021
5,652743849,7454249,HL7629,B748,KAL213,KE213,ICN,LAX,LAX,,2021-02-25,2,25,Thursday,2021
6,652740344,7455586,HL8362,A359,AAR2067,OZ2067,ICN,LAX,LAX,,2021-02-25,2,25,Thursday,2021
7,652744326,3754506,FGSQK,B77W,AFR5392,AF5392,CDG,LAX,LAX,,2021-02-25,2,25,Thursday,2021
8,652744189,7867320,B2097,B77L,CAO1060,CAO1060,LAX,PVG,PVG,,2021-02-25,2,25,Thursday,2021
9,652740192,11125073,N728AN,B77W,AAL2289,AA2289,MIA,LAX,LAX,,2021-02-25,2,25,Thursday,2021
10,652741059,4221768,GVAHH,B789,VIR681B,,LHR,LAX,LAX,,2021-02-25,2,25,Thursday,2021
11,652749380,10844880,N452PA,B744,PAC717,PO717,LAX,NRT,NRT,,2021-02-25,2,25,Thursday,2021
12,652754569,9015320,B18052,B77W,CAL008,CI8,TPE,LAX,LAX,,2021-02-25,2,25,Thursday,2021
13,652752811,4222328,GZBKB,B789,BAW269,BA269,LHR,LAX,LAX,,2021-02-25,2,25,Thursday,2021
14,652756949,7453728,HL7420,B744,AAR284,OZ284,ICN,LAX,LAX,,2021-02-25,2,25,Thursday,2021
15,652750203,7867188,B5931,A332,CES7809,MU7809,SZX,LAX,LAX,,2021-02-25,2,25,Thursday,2021
