,tract,geoid,black_alone10,black_alone17,black_change,white_change,latino_change,black_significant
11,228410,06037228410,187,43,-77,283,12,True
12,228500,06037228500,527,897,70,0,-12,False
16,239802,06037239802,1077,1533,42,0,4,False
17,239702,06037239702,941,1120,19,0,0,False
18,241202,06037241202,2165,1957,-9,-40,34,False
19,543903,06037543903,98,228,132,-17,-5,False
20,543701,06037543701,99,0,-100,0,53,False
21,602105,06037602105,752,663,-11,-24,25,False
23,601700,06037601700,481,317,-34,-56,12,False
24,601700,06081601700,85,35,-58,2,27,False
25,601801,06037601801,132,122,-7,-88,-9,False
26,601802,06037601802,198,8,-95,-65,0,True
27,601900,06037601900,1033,1059,2,34,-11,False
28,602104,06037602104,1469,1185,-19,107,3,False
29,600801,06037600801,2351,2535,7,0,138,False
30,602700,06037602700,2690,2086,-22,-44,183,True
31,602700,06081602700,226,251,11,-1,-10,False
32,601100,06081601100,159,207,30,-16,92,False
33,601100,06037601100,2277,1873,-17,-45,9,False
34,600601,06037600601,1938,2238,15,170,-19,False
47,228600,06037228600,752,306,-59,0,6,True
48,229200,06037229200,1261,737,-41,-52,7,True
49,228800,06037228800,565,512,-9,-100,-3,False
50,228900,06037228900,231,290,25,-100,5,False
51,231400,06037231400,1341,954,-28,6,55,False
52,231220,06037231220,916,790,-13,200,28,False
53,231500,06037231500,2211,1847,-16,-16,64,False
54,231710,06037231710,963,451,-53,0,-11,True
55,232120,06037232120,881,857,-2,0,39,False
56,236400,06037236400,4201,3557,-15,385,318,True
57,236202,06037236202,3193,2279,-28,73,32,True
58,234200,06037234200,2442,1801,-26,374,-24,True
60,241002,06037241002,1890,1528,-19,-66,35,False
61,241001,06037241001,1682,1132,-32,0,36,False
62,240402,06037240402,1634,1278,-21,0,-5,False
63,602507,06037602507,2031,2054,1,-41,-6,False
64,602506,06037602506,1704,1529,-10,17,40,False
65,602505,06037602505,1802,1477,-18,1,15,False
66,602504,06037602504,1871,1661,-11,102,-13,False
67,600303,06037600303,1292,1620,25,-5,9,False
69,702600,06037702600,173,626,261,-21,15,True
70,600202,06037600202,3210,2911,-9,10,24,False
71,600501,06037600501,1875,1680,-10,-42,202,False
72,600400,06037600400,3928,3155,-19,32,74,True
73,600702,06037600702,2715,3497,28,57,182,True
78,239701,06037239701,1103,807,-26,-90,15,False
79,239602,06037239602,618,689,11,153,7,False
80,239601,06037239601,830,444,-46,0,9,True
81,239502,06037239502,568,779,37,-66,35,False
82,239501,06037239501,1026,761,-25,173,35,False
89,540700,06037540700,1415,1016,-28,198,52,True
90,540901,06037540901,2272,1345,-40,-48,26,True
