,geoid,tract,state,county,place_name,state_name,universe,white_alone,white_pct,black_alone,black_pct,asian_alone,asian_pct,latino_alone,latino_pct
3560,06059052511,052511,06,059,Orange County,California,6025,3295,54.689,112,1.859,1827,30.324,383,6.357
3561,06107001400,001400,06,107,Tulare County,California,5721,2098,36.672,4,0.07,52,0.909,3546,61.982
3562,06037127520,127520,06,037,Los Angeles County,California,4455,198,4.444,185,4.153,480,10.774,3557,79.843
3563,06071000824,000824,06,071,San Bernardino County,California,5281,1641,31.074,472,8.938,315,5.965,2738,51.846
3564,06067008113,008113,06,067,Sacramento County,California,3776,2692,71.292,52,1.377,43,1.139,824,21.822
3565,06029003400,003400,06,029,Kern County,California,4398,1596,36.289,0,0.0,56,1.273,2721,61.869
3566,06095252910,252910,06,095,Solano County,California,5896,3120,52.917,493,8.362,356,6.038,1413,23.965
3567,06013367100,367100,06,013,Contra Costa County,California,5127,440,8.582,1764,34.406,696,13.575,2015,39.302
3568,06013347000,347000,06,013,Contra Costa County,California,6226,4743,76.181,36,0.578,585,9.396,511,8.208
3569,06037407301,407301,06,037,Los Angeles County,California,4859,269,5.536,55,1.132,484,9.961,3974,81.786
3570,06073008358,008358,06,073,San Diego County,California,7384,2075,28.101,608,8.234,2774,37.568,1178,15.953
3571,06037651101,651101,06,037,Los Angeles County,California,5414,2191,40.469,46,0.85,2367,43.72,639,11.803
3572,06087101200,101200,06,087,Santa Cruz County,California,3109,2330,74.944,34,1.094,111,3.57,550,17.691
3573,06071000808,000808,06,071,San Bernardino County,California,6201,2627,42.364,180,2.903,455,7.338,2705,43.622
3574,06037532900,532900,06,037,Los Angeles County,California,7094,77,1.085,449,6.329,0,0.0,6568,92.585
3575,06081602800,602800,06,081,San Mateo County,California,4829,1456,30.151,160,3.313,1891,39.159,1005,20.812
3576,06037219800,219800,06,037,Los Angeles County,California,3042,89,2.926,545,17.916,97,3.189,2297,75.51
3577,06037189600,189600,06,037,Los Angeles County,California,3721,2523,67.804,187,5.026,120,3.225,639,17.173
