,geoid,tract,state,county,place_name,state_name,universe,white_alone,white_pct,black_alone,black_pct,asian_alone,asian_pct,latino_alone,latino_pct
3562,06037127520,127520,06,037,Los Angeles County,California,4455,198,4.444,185,4.153,480,10.774,3557,79.843
3569,06037407301,407301,06,037,Los Angeles County,California,4859,269,5.536,55,1.132,484,9.961,3974,81.786
3571,06037651101,651101,06,037,Los Angeles County,California,5414,2191,40.469,46,0.85,2367,43.72,639,11.803
3574,06037532900,532900,06,037,Los Angeles County,California,7094,77,1.085,449,6.329,0,0.0,6568,92.585
3576,06037219800,219800,06,037,Los Angeles County,California,3042,89,2.926,545,17.916,97,3.189,2297,75.51
3577,06037189600,189600,06,037,Los Angeles County,California,3721,2523,67.804,187,5.026,120,3.225,639,17.173
3579,06037232600,232600,06,037,Los Angeles County,California,6423,85,1.323,1722,26.81,40,0.623,4576,71.244
3580,06037127603,127603,06,037,Los Angeles County,California,3034,411,13.546,70,2.307,120,3.955,2427,79.993
3585,06037530003,530003,06,037,Los Angeles County,California,3389,606,17.881,74,2.184,625,18.442,2067,60.991
3586,06037404402,404402,06,037,Los Angeles County,California,4752,507,10.669,10,0.21,637,13.405,3472,73.064
3587,06037400204,400204,06,037,Los Angeles County,California,6001,3876,64.589,170,2.833,482,8.032,1339,22.313
3591,06037530901,530901,06,037,Los Angeles County,California,3631,12,0.33,0,0.0,4,0.11,3615,99.559
3595,06037910605,910605,06,037,Los Angeles County,California,4613,583,12.638,489,10.6,273,5.918,3206,69.499
3596,06037501803,501803,06,037,Los Angeles County,California,4450,410,9.213,81,1.82,100,2.247,3802,85.438
3603,06037111302,111302,06,037,Los Angeles County,California,5330,2345,43.996,303,5.685,1351,25.347,1201,22.533
3605,06037204600,204600,06,037,Los Angeles County,California,4148,120,2.893,62,1.495,30,0.723,3927,94.672
3606,06037910201,910201,06,037,Los Angeles County,California,3863,1191,30.831,594,15.377,106,2.744,1870,48.408
3610,06037139503,139503,06,037,Los Angeles County,California,5956,4258,71.491,407,6.833,271,4.55,820,13.768
3611,06037650502,650502,06,037,Los Angeles County,California,4299,2056,47.825,222,5.164,1124,26.146,731,17.004
3613,06037532101,532101,06,037,Los Angeles County,California,6524,128,1.962,0,0.0,187,2.866,6068,93.01
3616,06037106111,106111,06,037,Los Angeles County,California,4714,1212,25.711,154,3.267,330,7.0,2821,59.843
3622,06037212306,212306,06,037,Los Angeles County,California,3051,100,3.278,27,0.885,1569,51.426,1302,42.675
3623,06037276604,276604,06,037,Los Angeles County,California,4431,2182,49.244,620,13.992,781,17.626,608,13.722
3630,06037209403,209403,06,037,Los Angeles County,California,3737,180,4.817,223,5.967,738,19.748,2584,69.146
3633,06037134306,134306,06,037,Los Angeles County,California,3981,1117,28.058,171,4.295,514,12.911,2019,50.716
3639,06037401202,401202,06,037,Los Angeles County,California,4789,2067,43.161,14,0.292,479,10.002,1948,40.677
3644,06037191500,191500,06,037,Los Angeles County,California,5663,831,14.674,21,0.371,1432,25.287,3344,59.05
3648,06037430701,430701,06,037,Los Angeles County,California,5435,1627,29.936,103,1.895,2842,52.291,630,11.592
3649,06037406102,406102,06,037,Los Angeles County,California,6225,1387,22.281,219,3.518,580,9.317,3861,62.024
3650,06037267800,267800,06,037,Los Angeles County,California,2791,1953,69.975,31,1.111,556,19.921,167,5.984
3656,06037542800,542800,06,037,Los Angeles County,California,3043,70,2.3,1594,52.383,55,1.807,1310,43.05
3659,06037535606,535606,06,037,Los Angeles County,California,2106,62,2.944,14,0.665,0,0.0,2006,95.252
3664,06037143902,143902,06,037,Los Angeles County,California,2931,2364,80.655,26,0.887,238,8.12,280,9.553
3665,06037534404,534404,06,037,Los Angeles County,California,3681,237,6.438,26,0.706,0,0.0,3368,91.497
3672,06037119001,119001,06,037,Los Angeles County,California,4195,407,9.702,1,0.024,705,16.806,2971,70.822
3675,06037121600,121600,06,037,Los Angeles County,California,2423,1082,44.655,44,1.816,486,20.058,765,31.572
3688,06037311400,311400,06,037,Los Angeles County,California,2299,1622,70.552,65,2.827,183,7.96,346,15.05
3690,06037577602,577602,06,037,Los Angeles County,California,3239,2314,71.442,120,3.705,322,9.941,296,9.139
3691,06037119900,119900,06,037,Los Angeles County,California,5173,606,11.715,16,0.309,1249,24.145,3280,63.406
3694,06037271701,271701,06,037,Los Angeles County,California,5543,2971,53.599,561,10.121,980,17.68,887,16.002
3697,06037620521,620521,06,037,Los Angeles County,California,4132,2000,48.403,190,4.598,693,16.772,702,16.989
3701,06037542200,542200,06,037,Los Angeles County,California,7422,73,0.984,1566,21.099,0,0.0,5720,77.068
3704,06037800203,800203,06,037,Los Angeles County,California,5586,4402,78.804,0,0.0,507,9.076,494,8.844
3707,06037218500,218500,06,037,Los Angeles County,California,2668,195,7.309,938,35.157,101,3.786,1329,49.813
3716,06037534203,534203,06,037,Los Angeles County,California,3385,80,2.363,7,0.207,21,0.62,3277,96.809
3719,06037533107,533107,06,037,Los Angeles County,California,3574,10,0.28,18,0.504,26,0.727,3520,98.489
3721,06037134423,134423,06,037,Los Angeles County,California,3525,2311,65.56,324,9.191,420,11.915,348,9.872
3728,06037104103,104103,06,037,Los Angeles County,California,3902,360,9.226,574,14.71,343,8.79,2597,66.556
3729,06037119700,119700,06,037,Los Angeles County,California,5046,1360,26.952,169,3.349,1100,21.799,2322,46.017
3731,06037910715,910715,06,037,Los Angeles County,California,6517,620,9.514,1021,15.667,105,1.611,4525,69.434
3741,06037574800,574800,06,037,Los Angeles County,California,2918,2010,68.883,297,10.178,243,8.328,285,9.767
3743,06037121210,121210,06,037,Los Angeles County,California,3095,283,9.144,83,2.682,482,15.574,2183,70.533
3748,06037123204,123204,06,037,Los Angeles County,California,3262,552,16.922,101,3.096,117,3.587,2486,76.211
3756,06037231600,231600,06,037,Los Angeles County,California,7110,245,3.446,2365,33.263,21,0.295,4303,60.52
3758,06037532304,532304,06,037,Los Angeles County,California,4160,137,3.293,327,7.861,10,0.24,3520,84.615
3761,06037400304,400304,06,037,Los Angeles County,California,7489,3625,48.404,186,2.484,1585,21.164,1840,24.569
3762,06037267600,267600,06,037,Los Angeles County,California,2755,1269,46.062,70,2.541,583,21.162,710,25.771
3767,06037275311,275311,06,037,Los Angeles County,California,5851,2362,40.369,80,1.367,1297,22.167,1864,31.858
3769,06037291210,291210,06,037,Los Angeles County,California,5717,382,6.682,569,9.953,1053,18.419,3562,62.305
3778,06037535605,535605,06,037,Los Angeles County,California,4654,25,0.537,0,0.0,40,0.859,4589,98.603
3779,06037460800,460800,06,037,Los Angeles County,California,2999,2065,68.856,206,6.869,392,13.071,278,9.27
3780,06037433102,433102,06,037,Los Angeles County,California,4664,36,0.772,0,0.0,1871,40.116,2729,58.512
3788,06037405500,405500,06,037,Los Angeles County,California,6766,951,14.056,180,2.66,1414,20.899,3992,59.001
3794,06037262200,262200,06,037,Los Angeles County,California,4758,3485,73.245,188,3.951,425,8.932,393,8.26
3795,06037208904,208904,06,037,Los Angeles County,California,4025,94,2.335,124,3.081,279,6.932,3524,87.553
3798,06037123103,123103,06,037,Los Angeles County,California,4025,1055,26.211,202,5.019,484,12.025,2180,54.161
3799,06037402600,402600,06,037,Los Angeles County,California,7279,1578,21.679,238,3.27,520,7.144,4771,65.545
3800,06037601801,601801,06,037,Los Angeles County,California,3395,10,0.295,122,3.594,5,0.147,3258,95.965
3801,06037186404,186404,06,037,Los Angeles County,California,2802,203,7.245,6,0.214,372,13.276,2190,78.158
3805,06037920112,920112,06,037,Los Angeles County,California,4354,2546,58.475,328,7.533,349,8.016,950,21.819
3808,06037123510,123510,06,037,Los Angeles County,California,4876,1889,38.741,102,2.092,293,6.009,2442,50.082
3809,06037195600,195600,06,037,Los Angeles County,California,3354,929,27.698,55,1.64,398,11.866,1835,54.711
3810,06037106641,106641,06,037,Los Angeles County,California,2314,1402,60.588,3,0.13,489,21.132,267,11.538
3817,06037208620,208620,06,037,Los Angeles County,California,4325,249,5.757,355,8.208,1561,36.092,1976,45.688
3818,06037310702,310702,06,037,Los Angeles County,California,7161,4873,68.049,179,2.5,685,9.566,1290,18.014
3822,06037702600,702600,06,037,Los Angeles County,California,5990,2602,43.439,626,10.451,1078,17.997,1081,18.047
3830,06037602402,602402,06,037,Los Angeles County,California,6344,971,15.306,790,12.453,531,8.37,3861,60.861
3831,06037301501,301501,06,037,Los Angeles County,California,1924,1604,83.368,5,0.26,146,7.588,137,7.121
3834,06037602002,602002,06,037,Los Angeles County,California,3101,144,4.644,273,8.804,167,5.385,2425,78.201
3835,06037572301,572301,06,037,Los Angeles County,California,4216,210,4.981,341,8.088,803,19.046,2687,63.733
3841,06037131400,131400,06,037,Los Angeles County,California,6244,1567,25.096,402,6.438,1194,19.122,2954,47.309
3842,06037267700,267700,06,037,Los Angeles County,California,3141,1175,37.408,78,2.483,984,31.328,737,23.464
3850,06037670001,670001,06,037,Los Angeles County,California,3468,1528,44.06,186,5.363,622,17.935,987,28.46
3851,06037480903,480903,06,037,Los Angeles County,California,2942,127,4.317,43,1.462,1743,59.245,965,32.801
3852,06037502302,502302,06,037,Los Angeles County,California,3167,123,3.884,54,1.705,48,1.516,2937,92.738
3854,06037501400,501400,06,037,Los Angeles County,California,4021,697,17.334,113,2.81,128,3.183,3083,76.672
3856,06037430102,430102,06,037,Los Angeles County,California,4939,451,9.131,84,1.701,452,9.152,3911,79.186
3858,06037183220,183220,06,037,Los Angeles County,California,3996,465,11.637,26,0.651,635,15.891,2555,63.939
3860,06037231100,231100,06,037,Los Angeles County,California,3429,215,6.27,876,25.547,41,1.196,2252,65.675
3865,06037570301,570301,06,037,Los Angeles County,California,7567,632,8.352,910,12.026,578,7.638,4914,64.94
3868,06037401002,401002,06,037,Los Angeles County,California,3822,2289,59.89,58,1.518,415,10.858,859,22.475
3871,06037123901,123901,06,037,Los Angeles County,California,4250,1639,38.565,128,3.012,213,5.012,2188,51.482
3879,06037117510,117510,06,037,Los Angeles County,California,4171,148,3.548,126,3.021,227,5.442,3635,87.149
3884,06037531701,531701,06,037,Los Angeles County,California,5627,226,4.016,37,0.658,0,0.0,5352,95.113
3885,06037238000,238000,06,037,Los Angeles County,California,5607,51,0.91,4126,73.587,20,0.357,1253,22.347
3892,06037481714,481714,06,037,Los Angeles County,California,2711,83,3.062,0,0.0,2389,88.122,176,6.492
3893,06037275602,275602,06,037,Los Angeles County,California,9596,4715,49.135,960,10.004,2392,24.927,1209,12.599
3897,06037407601,407601,06,037,Los Angeles County,California,4473,43,0.961,54,1.207,274,6.126,4079,91.192
3898,06037575901,575901,06,037,Los Angeles County,California,3562,688,19.315,647,18.164,172,4.829,1952,54.801
3899,06037197410,197410,06,037,Los Angeles County,California,4501,2069,45.968,124,2.755,499,11.086,1579,35.081
3901,06037550500,550500,06,037,Los Angeles County,California,7957,1281,16.099,338,4.248,622,7.817,5701,71.648
3913,06037226410,226410,06,037,Los Angeles County,California,3541,8,0.226,17,0.48,30,0.847,3486,98.447
3925,06037901008,901008,06,037,Los Angeles County,California,2841,980,34.495,314,11.052,292,10.278,1121,39.458
3926,06037433503,433503,06,037,Los Angeles County,California,3176,43,1.354,0,0.0,684,21.537,2449,77.11
