,geoid,tract,state,county,place_name,state_name,universe,white_alone,white_pct,black_alone,black_pct,asian_alone,asian_pct,latino_alone,latino_pct,white_alone_moe,black_alone_moe,asian_alone_moe,latino_alone_moe
6265,06065030103,030103,06,065,Riverside County,California,2431,421,17.318,191,7.857,53,2.18,1766,72.645,183.0,257.0,67.0,638.0
6266,06037297120,297120,06,037,Los Angeles County,California,3307,630,19.05,149,4.506,138,4.173,2324,70.275,212.0,96.0,95.0,343.0
6267,06085512314,512314,06,085,Santa Clara County,California,7066,1919,27.158,104,1.472,646,9.142,4285,60.643,405.0,118.0,376.0,803.0
6268,06007001000,001000,06,007,Butte County,California,5450,4109,75.394,273,5.009,0,0.0,868,15.927,681.0,200.0,132.0,347.0
6269,06037461600,461600,06,037,Los Angeles County,California,5628,510,9.062,1260,22.388,348,6.183,3354,59.595,179.0,364.0,225.0,569.0
6270,06013302006,302006,06,013,Contra Costa County,California,3726,1735,46.565,228,6.119,174,4.67,1567,42.056,407.0,180.0,80.0,347.0
6271,06037530204,530204,06,037,Los Angeles County,California,3918,221,5.641,53,1.353,153,3.905,3450,88.055,105.0,65.0,156.0,574.0
6272,06065043401,043401,06,065,Riverside County,California,6100,1973,32.344,88,1.443,7,0.115,3773,61.852,417.0,61.0,12.0,823.0
6273,06071003611,003611,06,071,San Bernardino County,California,4589,374,8.15,1260,27.457,436,9.501,2183,47.57,164.0,546.0,245.0,503.0
6274,06007003002,003002,06,007,Butte County,California,4520,2406,53.23,442,9.779,792,17.522,765,16.925,622.0,309.0,503.0,337.0
6275,06099000202,000202,06,099,Stanislaus County,California,5985,3617,60.434,0,0.0,375,6.266,1902,31.779,402.0,132.0,285.0,315.0
6276,06037190700,190700,06,037,Los Angeles County,California,2870,1309,45.61,107,3.728,309,10.767,981,34.181,153.0,71.0,208.0,271.0
6277,06097151310,151310,06,097,Sonoma County,California,4920,3113,63.272,151,3.069,359,7.297,1102,22.398,400.0,108.0,181.0,319.0
6278,06019005520,005520,06,019,Fresno County,California,2423,1489,61.453,0,0.0,244,10.07,677,27.941,227.0,132.0,70.0,148.0
6279,06059062619,062619,06,059,Orange County,California,4232,3623,85.61,0,0.0,165,3.899,366,8.648,396.0,132.0,114.0,190.0
6280,06023000300,000300,06,023,Humboldt County,California,5543,4332,78.153,51,0.92,112,2.021,593,10.698,486.0,51.0,122.0,262.0
6281,06037403407,403407,06,037,Los Angeles County,California,2090,238,11.388,46,2.201,1552,74.258,219,10.478,126.0,57.0,206.0,117.0
6282,06059062639,062639,06,059,Orange County,California,6928,4443,64.131,292,4.215,1175,16.96,712,10.277,395.0,206.0,269.0,201.0
6283,06037111202,111202,06,037,Los Angeles County,California,5070,2621,51.696,144,2.84,732,14.438,1392,27.456,290.0,83.0,183.0,398.0
6284,06067008905,008905,06,067,Sacramento County,California,4635,2260,48.759,520,11.219,253,5.458,1154,24.898,429.0,291.0,104.0,533.0
6285,06065045608,045608,06,065,Riverside County,California,2715,2412,88.84,42,1.547,54,1.989,189,6.961,392.0,50.0,61.0,115.0
6286,06073010501,010501,06,073,San Diego County,California,1405,789,56.157,23,1.637,0,0.0,500,35.587,161.0,37.0,132.0,210.0
6287,06099002002,002002,06,099,Stanislaus County,California,4010,1908,47.581,0,0.0,0,0.0,1946,48.529,365.0,132.0,132.0,413.0
6288,06037406500,406500,06,037,Los Angeles County,California,6737,935,13.879,452,6.709,828,12.29,4477,66.454,138.0,275.0,252.0,679.0
6289,06085505202,505202,06,085,Santa Clara County,California,6106,1896,31.051,283,4.635,1474,24.14,2269,37.16,471.0,246.0,328.0,672.0
6290,06037261200,261200,06,037,Los Angeles County,California,4031,3457,85.76,0,0.0,234,5.805,150,3.721,274.0,132.0,112.0,114.0
6291,06037502901,502901,06,037,Los Angeles County,California,5215,1012,19.406,0,0.0,445,8.533,3691,70.777,229.0,132.0,360.0,445.0
6292,06037575401,575401,06,037,Los Angeles County,California,5257,216,4.109,480,9.131,322,6.125,4095,77.896,123.0,231.0,175.0,614.0
6293,06037600400,600400,06,037,Los Angeles County,California,4511,59,1.308,3928,87.076,0,0.0,446,9.887,38.0,384.0,132.0,168.0
6294,06073019806,019806,06,073,San Diego County,California,10554,7409,70.201,171,1.62,684,6.481,1723,16.326,499.0,133.0,275.0,508.0
6295,06037460301,460301,06,037,Los Angeles County,California,5196,1702,32.756,2001,38.51,231,4.446,1046,20.131,242.0,310.0,118.0,247.0
6296,06053011400,011400,06,053,Monterey County,California,3069,2074,67.579,15,0.489,0,0.0,910,29.651,222.0,23.0,132.0,246.0
6297,06037980015,980015,06,037,Los Angeles County,California,647,26,4.019,0,0.0,0,0.0,541,83.617,2.0,132.0,132.0,431.0
6298,06071004004,004004,06,071,San Bernardino County,California,5435,1206,22.19,403,7.415,314,5.777,3417,62.87,356.0,338.0,222.0,560.0
6299,06037203800,203800,06,037,Los Angeles County,California,4588,46,1.003,0,0.0,21,0.458,4509,98.278,44.0,132.0,38.0,607.0
6300,06037401701,401701,06,037,Los Angeles County,California,3977,2795,70.279,210,5.28,167,4.199,697,17.526,308.0,135.0,97.0,167.0
6301,06037553503,553503,06,037,Los Angeles County,California,2814,289,10.27,495,17.591,0,0.0,2030,72.139,209.0,234.0,132.0,322.0
6302,06019007500,007500,06,019,Fresno County,California,5423,1008,18.587,98,1.807,100,1.844,4096,75.53,277.0,96.0,125.0,700.0
6303,06037119342,119342,06,037,Los Angeles County,California,3152,47,1.491,88,2.792,296,9.391,2721,86.326,39.0,99.0,179.0,424.0
6304,06059110010,110010,06,059,Orange County,California,4740,2969,62.637,75,1.582,1203,25.38,402,8.481,538.0,78.0,223.0,197.0
6305,06019006700,006700,06,019,Fresno County,California,6879,2877,41.823,0,0.0,247,3.591,3554,51.664,918.0,132.0,106.0,444.0
6306,06037208610,208610,06,037,Los Angeles County,California,4297,209,4.864,93,2.164,1687,39.26,2246,52.269,102.0,69.0,239.0,383.0
6307,06037404702,404702,06,037,Los Angeles County,California,6183,209,3.38,148,2.394,919,14.863,4870,78.764,103.0,230.0,183.0,511.0
6308,06045010300,010300,06,045,Mendocino County,California,3803,3291,86.537,58,1.525,37,0.973,344,9.045,353.0,40.0,37.0,145.0
6309,06059074901,074901,06,059,Orange County,California,8215,38,0.463,0,0.0,170,2.069,7986,97.212,43.0,132.0,68.0,734.0
6310,06013392300,392300,06,013,Contra Costa County,California,2620,179,6.832,488,18.626,1441,55.0,211,8.053,96.0,132.0,238.0,145.0
6311,06037301205,301205,06,037,Los Angeles County,California,2349,1850,78.757,35,1.49,145,6.173,187,7.961,317.0,44.0,140.0,152.0
6312,06059099404,099404,06,059,Orange County,California,4586,3902,85.085,11,0.24,245,5.342,359,7.828,352.0,17.0,123.0,151.0
6313,06067009606,009606,06,067,Sacramento County,California,6714,1241,18.484,1873,27.897,1194,17.784,2226,33.155,381.0,561.0,364.0,629.0
6314,06075061100,061100,06,075,San Francisco County,California,4364,242,5.545,36,0.825,4001,91.682,43,0.985,70.0,46.0,373.0,43.0
6315,06001436100,436100,06,001,Alameda County,California,4769,1529,32.061,543,11.386,980,20.549,1511,31.684,258.0,222.0,289.0,279.0
6316,06037242600,242600,06,037,Los Angeles County,California,3615,22,0.609,1569,43.402,0,0.0,1948,53.887,36.0,322.0,132.0,543.0
6317,06085503210,503210,06,085,Santa Clara County,California,4302,251,5.834,160,3.719,1666,38.726,2225,51.72,172.0,179.0,445.0,293.0
6318,06037134720,134720,06,037,Los Angeles County,California,4810,1584,32.931,274,5.696,686,14.262,2134,44.366,309.0,176.0,235.0,485.0
6319,06067009616,009616,06,067,Sacramento County,California,5416,2860,52.806,332,6.13,800,14.771,1034,19.092,294.0,149.0,186.0,323.0
6320,06111005700,005700,06,111,Ventura County,California,1449,921,63.561,45,3.106,29,2.001,417,28.778,236.0,47.0,39.0,269.0
6321,06013320001,320001,06,013,Contra Costa County,California,3520,2046,58.125,173,4.915,276,7.841,882,25.057,284.0,117.0,219.0,305.0
6322,06065047000,047000,06,065,Riverside County,California,1626,888,54.613,226,13.899,0,0.0,499,30.689,339.0,172.0,132.0,246.0
6323,06079010002,010002,06,079,San Luis Obispo County,California,2947,2474,83.95,0,0.0,0,0.0,429,14.557,326.0,132.0,132.0,218.0
6324,06037576401,576401,06,037,Los Angeles County,California,4623,159,3.439,398,8.609,946,20.463,3048,65.931,130.0,126.0,304.0,547.0
6325,06073020307,020307,06,073,San Diego County,California,6921,3983,57.549,0,0.0,686,9.912,2039,29.461,567.0,132.0,248.0,360.0
6326,06037264302,264302,06,037,Los Angeles County,California,5950,4796,80.605,15,0.252,622,10.454,328,5.513,503.0,24.0,381.0,196.0
6327,06073010013,010013,06,073,San Diego County,California,4525,154,3.403,0,0.0,0,0.0,4371,96.597,103.0,132.0,132.0,443.0
6328,06007002300,002300,06,007,Butte County,California,5115,4264,83.363,33,0.645,42,0.821,432,8.446,375.0,41.0,63.0,202.0
6329,06077004703,004703,06,077,San Joaquin County,California,3403,2158,63.415,0,0.0,147,4.32,1051,30.885,305.0,132.0,150.0,399.0
6330,06095252106,252106,06,095,Solano County,California,4282,2654,61.98,315,7.356,364,8.501,585,13.662,266.0,148.0,127.0,203.0
6331,06059099250,099250,06,059,Orange County,California,3034,1395,45.979,211,6.955,784,25.84,352,11.602,258.0,209.0,289.0,163.0
6332,06073002705,002705,06,073,San Diego County,California,3683,551,14.961,629,17.078,1271,34.51,1096,29.758,157.0,192.0,259.0,322.0
6333,06067004001,004001,06,067,Sacramento County,California,6186,2105,34.028,1127,18.219,1487,24.038,1033,16.699,268.0,628.0,198.0,340.0
6334,06073013206,013206,06,073,San Diego County,California,5987,963,16.085,224,3.741,750,12.527,3974,66.377,272.0,211.0,454.0,546.0
6335,06073020811,020811,06,073,San Diego County,California,5969,4469,74.87,34,0.57,156,2.614,964,16.15,436.0,52.0,101.0,357.0
6336,06007002200,002200,06,007,Butte County,California,5035,4697,93.287,0,0.0,0,0.0,288,5.72,353.0,132.0,132.0,169.0
6337,06013313203,313203,06,013,Contra Costa County,California,3266,984,30.129,272,8.328,337,10.318,1621,49.633,341.0,267.0,169.0,518.0
6338,06067001800,001800,06,067,Sacramento County,California,4883,2017,41.307,747,15.298,243,4.976,1508,30.883,343.0,280.0,134.0,413.0
6339,06047001402,001402,06,047,Merced County,California,4159,1996,47.992,201,4.833,120,2.885,1722,41.404,407.0,179.0,94.0,403.0
6340,06055200505,200505,06,055,Napa County,California,2701,1020,37.764,0,0.0,412,15.254,1195,44.243,223.0,132.0,583.0,394.0
6341,06085504318,504318,06,085,Santa Clara County,California,4831,793,16.415,127,2.629,2529,52.349,1140,23.598,253.0,84.0,365.0,440.0
6342,06097152000,152000,06,097,Sonoma County,California,2054,1468,71.47,5,0.243,51,2.483,379,18.452,290.0,9.0,66.0,161.0
6343,06013352101,352101,06,013,Contra Costa County,California,4186,2704,64.596,227,5.423,417,9.962,604,14.429,276.0,122.0,131.0,138.0
6344,06037195803,195803,06,037,Los Angeles County,California,2745,936,34.098,148,5.392,457,16.648,1086,39.563,258.0,189.0,129.0,310.0
6345,06037302003,302003,06,037,Los Angeles County,California,3514,2562,72.908,47,1.338,556,15.822,306,8.708,342.0,45.0,252.0,254.0
6346,06065044200,044200,06,065,Riverside County,California,5205,1378,26.475,772,14.832,69,1.326,2764,53.103,309.0,226.0,63.0,462.0
6347,06037552100,552100,06,037,Los Angeles County,California,6173,540,8.748,552,8.942,1056,17.107,3951,64.005,200.0,245.0,193.0,539.0
6348,06037401500,401500,06,037,Los Angeles County,California,4837,2213,45.751,47,0.972,282,5.83,2115,43.725,347.0,49.0,226.0,269.0
6349,06037530301,530301,06,037,Los Angeles County,California,2276,21,0.923,0,0.0,55,2.417,2200,96.661,25.0,132.0,66.0,544.0
6350,06005000500,000500,06,005,Amador County,California,2782,2328,83.681,0,0.0,17,0.611,380,13.659,284.0,132.0,26.0,170.0
6351,06037269906,269906,06,037,Los Angeles County,California,2840,901,31.725,294,10.352,754,26.549,752,26.479,216.0,156.0,177.0,167.0
6352,06037533602,533602,06,037,Los Angeles County,California,5305,160,3.016,0,0.0,0,0.0,5143,96.946,121.0,132.0,132.0,533.0
6353,06041123000,123000,06,041,Marin County,California,2141,1927,90.005,8,0.374,24,1.121,136,6.352,230.0,14.0,25.0,121.0
6354,06073020108,020108,06,073,San Diego County,California,5509,1100,19.967,204,3.703,72,1.307,4047,73.462,276.0,233.0,79.0,733.0
6355,06065051200,051200,06,065,Riverside County,California,2977,1667,55.996,92,3.09,134,4.501,1057,35.506,366.0,99.0,108.0,368.0
6356,06095251100,251100,06,095,Solano County,California,3224,916,28.412,424,13.151,147,4.56,1572,48.759,230.0,156.0,145.0,429.0
6357,06111006700,006700,06,111,Ventura County,California,2956,2178,73.681,16,0.541,203,6.867,438,14.817,256.0,26.0,113.0,253.0
6358,06029000903,000903,06,029,Kern County,California,3815,1840,48.231,212,5.557,60,1.573,1545,40.498,302.0,197.0,58.0,534.0
6359,06095252313,252313,06,095,Solano County,California,4836,2098,43.383,796,16.46,690,14.268,814,16.832,317.0,341.0,185.0,245.0
6360,06037237101,237101,06,037,Los Angeles County,California,3910,77,1.969,1270,32.481,0,0.0,2487,63.606,95.0,315.0,132.0,535.0
6361,06037576601,576601,06,037,Los Angeles County,California,4555,2265,49.726,489,10.735,376,8.255,1259,27.64,282.0,191.0,167.0,348.0
6362,06059087801,087801,06,059,Orange County,California,5147,1772,34.428,150,2.914,886,17.214,1985,38.566,263.0,90.0,234.0,439.0
6363,06059074408,074408,06,059,Orange County,California,5532,532,9.617,183,3.308,647,11.696,4099,74.096,229.0,105.0,226.0,639.0
6364,06071025000,025000,06,071,San Bernardino County,California,9107,4298,47.194,1412,15.505,385,4.228,2542,27.913,925.0,687.0,251.0,787.0
6365,06085507905,507905,06,085,Santa Clara County,California,6286,1123,17.865,225,3.579,4616,73.433,212,3.373,274.0,218.0,581.0,157.0
6366,06065042706,042706,06,065,Riverside County,California,8796,859,9.766,875,9.948,442,5.025,6387,72.613,360.0,373.0,183.0,667.0
6367,06065043272,043272,06,065,Riverside County,California,3973,3146,79.184,0,0.0,126,3.171,549,13.818,410.0,132.0,92.0,229.0
6368,06077005210,005210,06,077,San Joaquin County,California,10508,3873,36.858,704,6.7,1703,16.207,3211,30.558,444.0,237.0,292.0,605.0
6369,06019004405,004405,06,019,Fresno County,California,3951,2761,69.881,22,0.557,413,10.453,620,15.692,191.0,25.0,120.0,168.0
6370,06037404600,404600,06,037,Los Angeles County,California,1443,79,5.475,14,0.97,17,1.178,1333,92.377,70.0,17.0,17.0,129.0
6371,06037300701,300701,06,037,Los Angeles County,California,5817,4648,79.904,14,0.241,556,9.558,464,7.977,406.0,23.0,236.0,207.0
6372,06073018514,018514,06,073,San Diego County,California,7323,4608,62.925,409,5.585,629,8.589,1218,16.633,412.0,185.0,196.0,475.0
6373,06097152905,152905,06,097,Sonoma County,California,3405,2110,61.968,37,1.087,44,1.292,1156,33.95,309.0,61.0,48.0,432.0
6374,06111008500,008500,06,111,Ventura County,California,8137,5748,70.64,0,0.0,627,7.706,1568,19.27,472.0,132.0,201.0,353.0
6375,06059087405,087405,06,059,Orange County,California,6038,605,10.02,0,0.0,435,7.204,4954,82.047,213.0,132.0,273.0,499.0
6376,06073013908,013908,06,073,San Diego County,California,3458,953,27.559,668,19.318,90,2.603,1663,48.091,255.0,286.0,75.0,345.0
6377,06085507702,507702,06,085,Santa Clara County,California,6366,2008,31.543,0,0.0,4159,65.331,13,0.204,251.0,132.0,296.0,22.0
6378,06029001101,001101,06,029,Kern County,California,4024,1206,29.97,81,2.013,79,1.963,2505,62.251,232.0,116.0,103.0,395.0
6379,06017031302,031302,06,017,El Dorado County,California,5046,4245,84.126,0,0.0,30,0.595,722,14.308,426.0,132.0,48.0,431.0
6380,06037115404,115404,06,037,Los Angeles County,California,2885,818,28.354,259,8.977,333,11.542,1437,49.809,140.0,175.0,283.0,397.0
6381,06023990100,990100,06,023,Humboldt County,California,0,0,,0,,0,,0,,132.0,132.0,132.0,132.0
6382,06037187300,187300,06,037,Los Angeles County,California,3653,1725,47.221,139,3.805,635,17.383,918,25.13,246.0,90.0,135.0,208.0
6383,06037603001,603001,06,037,Los Angeles County,California,6856,238,3.471,1519,22.156,1421,20.726,3305,48.206,122.0,347.0,304.0,590.0
6384,06037651402,651402,06,037,Los Angeles County,California,5792,3117,53.816,101,1.744,1998,34.496,347,5.991,495.0,110.0,437.0,157.0
6385,06073008512,008512,06,073,San Diego County,California,4413,3035,68.774,128,2.901,420,9.517,662,15.001,396.0,135.0,147.0,251.0
6386,06013313205,313205,06,013,Contra Costa County,California,1884,415,22.028,84,4.459,335,17.781,1050,55.732,203.0,121.0,164.0,286.0
6387,06037920018,920018,06,037,Los Angeles County,California,2181,1335,61.21,133,6.098,269,12.334,417,19.12,180.0,138.0,157.0,150.0
6388,06061020805,020805,06,061,Placer County,California,3725,2719,72.993,83,2.228,195,5.235,594,15.946,413.0,133.0,157.0,276.0
6389,06059075703,075703,06,059,Orange County,California,4020,3205,79.726,0,0.0,297,7.388,309,7.687,354.0,132.0,97.0,152.0
6390,06037123520,123520,06,037,Los Angeles County,California,2534,662,26.125,26,1.026,124,4.893,1722,67.956,182.0,41.0,105.0,352.0
6391,06037234501,234501,06,037,Los Angeles County,California,2582,38,1.472,1279,49.535,42,1.627,980,37.955,36.0,243.0,45.0,209.0
6392,06037570901,570901,06,037,Los Angeles County,California,5652,2864,50.672,356,6.299,506,8.953,1624,28.733,296.0,238.0,257.0,427.0
6393,06097150702,150702,06,097,Sonoma County,California,4410,3987,90.408,0,0.0,211,4.785,186,4.218,296.0,132.0,181.0,132.0
6394,06085502800,502800,06,085,Santa Clara County,California,4130,2626,63.584,7,0.169,424,10.266,761,18.426,208.0,13.0,168.0,198.0
6395,06037481401,481401,06,037,Los Angeles County,California,5970,410,6.868,0,0.0,4458,74.673,872,14.606,110.0,132.0,480.0,305.0
6396,06085506304,506304,06,085,Santa Clara County,California,4397,1624,36.934,223,5.072,1328,30.202,864,19.65,357.0,161.0,436.0,331.0
6397,06037553200,553200,06,037,Los Angeles County,California,7057,1832,25.96,422,5.98,599,8.488,4055,57.461,356.0,135.0,198.0,394.0
6398,06059021810,021810,06,059,Orange County,California,3495,2453,70.186,107,3.062,184,5.265,676,19.342,243.0,105.0,87.0,212.0
6399,06095251702,251702,06,095,Solano County,California,2334,254,10.883,729,31.234,901,38.603,276,11.825,99.0,280.0,330.0,155.0
6400,06015000102,000102,06,015,Del Norte County,California,3527,2197,62.291,0,0.0,47,1.333,630,17.862,332.0,132.0,44.0,230.0
6401,06073015703,015703,06,073,San Diego County,California,7099,3154,44.429,392,5.522,222,3.127,2793,39.344,539.0,221.0,140.0,606.0
6402,06001404400,404400,06,001,Alameda County,California,5391,3510,65.109,168,3.116,948,17.585,330,6.121,323.0,131.0,169.0,184.0
6403,06037910208,910208,06,037,Los Angeles County,California,6590,2544,38.604,788,11.958,527,7.997,2583,39.196,570.0,430.0,153.0,617.0
6404,06083002306,002306,06,083,Santa Barbara County,California,7868,2162,27.478,237,3.012,564,7.168,4769,60.613,276.0,198.0,233.0,707.0
6405,06029000400,000400,06,029,Kern County,California,4714,3713,78.765,9,0.191,11,0.233,923,19.58,465.0,16.0,18.0,221.0
6406,06085503305,503305,06,085,Santa Clara County,California,5678,188,3.311,17,0.299,2947,51.902,2431,42.814,71.0,23.0,489.0,432.0
6407,06013324001,324001,06,013,Contra Costa County,California,4431,3175,71.654,65,1.467,580,13.09,411,9.276,445.0,85.0,211.0,193.0
6408,06083002303,002303,06,083,Santa Barbara County,California,6156,566,9.194,0,0.0,236,3.834,5311,86.274,259.0,132.0,125.0,703.0
6409,06037402200,402200,06,037,Los Angeles County,California,6928,1780,25.693,1198,17.292,435,6.279,3253,46.954,260.0,400.0,159.0,391.0
6410,06099000101,000101,06,099,Stanislaus County,California,4811,4030,83.766,8,0.166,35,0.727,677,14.072,325.0,13.0,28.0,305.0
6411,06101050402,050402,06,101,Sutter County,California,3434,2371,69.045,291,8.474,343,9.988,225,6.552,426.0,263.0,196.0,143.0
6412,06087122400,122400,06,087,Santa Cruz County,California,7090,5113,72.116,33,0.465,172,2.426,1612,22.736,474.0,45.0,189.0,620.0
6413,06037211922,211922,06,037,Los Angeles County,California,3928,154,3.921,127,3.233,1580,40.224,2055,52.317,71.0,96.0,373.0,463.0
6414,06037554204,554204,06,037,Los Angeles County,California,4223,603,14.279,1269,30.05,227,5.375,1954,46.27,234.0,557.0,258.0,493.0
6415,06037204300,204300,06,037,Los Angeles County,California,4845,106,2.188,16,0.33,134,2.766,4589,94.716,60.0,25.0,81.0,486.0
6416,06073020021,020021,06,073,San Diego County,California,6220,1607,25.836,106,1.704,649,10.434,3551,57.09,306.0,113.0,227.0,490.0
