geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,alaska native regional corporation
0201570,"Aleut Alaska Native Regional Corporation, Alaska",9175.0,,13.0,,02,01570
0209040,"Bristol Bay Alaska Native Regional Corporation, Alaska",7089.0,,299.0,,02,09040
0200590,"Ahtna Alaska Native Regional Corporation, Alaska",2249.0,,285.0,,02,00590
0209800,"Calista Alaska Native Regional Corporation, Alaska",26238.0,,17.0,,02,09800
0220010,"Doyon Alaska Native Regional Corporation, Alaska",113917.0,,454.0,,02,20010
0206370,"Bering Straits Alaska Native Regional Corporation, Alaska",9925.0,,-555555555.0,*****,02,06370
0252120,"NANA Alaska Native Regional Corporation, Alaska",7734.0,,-555555555.0,*****,02,52120
0267940,"Sealaska Alaska Native Regional Corporation, Alaska",71826.0,,158.0,,02,67940
0217140,"Cook Inlet Alaska Native Regional Corporation, Alaska",453080.0,,412.0,,02,17140
0241640,"Koniag Alaska Native Regional Corporation, Alaska",13649.0,,15.0,,02,41640
0203950,"Arctic Slope Alaska Native Regional Corporation, Alaska",9797.0,,13.0,,02,03950
0214410,"Chugach Alaska Native Regional Corporation, Alaska",12202.0,,468.0,,02,14410
