geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,american indian area/alaska native area/hawaiian home land
2595,"Osage Reservation, OK",47311.0,,-555555555.0,*****,2595
4255,"Torres-Martinez Reservation, CA",2511.0,,310.0,,4255
9150,"Hassanamisco Reservation (state), MA",0.0,,12.0,,9150
9850,"Ramapough (state) SDTSA, NJ",994.0,,167.0,,9850
7650,"Twin Hills ANVSA, AK",63.0,,22.0,,7650
9560,"Cherokee Tribe of Northeast Alabama (state) SDTSA, AL",14453.0,,719.0,,9560
5820,"Sac and Fox OTSA, OK",58194.0,,706.0,,5820
7520,"Stevens Village ANVSA, AK",11.0,,6.0,,7520
2070,"Lummi Reservation, WA",5583.0,,392.0,,2070
9825,"Meherrin (state) SDTSA, NC",7630.0,,459.0,,9825
3480,"Santa Ana Pueblo, NM",695.0,,102.0,,3480
4075,"Swinomish Reservation and Off-Reservation Trust Land, WA",2915.0,,133.0,,4075
4595,"White Earth Reservation and Off-Reservation Trust Land, MN",9845.0,,165.0,,4595
5011,"Hanapepe Hawaiian Home Land, HI",11.0,,8.0,,5011
5950,"Kaw/Ponca joint-use OTSA, OK",26375.0,,198.0,,5950
6255,"Cantwell ANVSA, AK",183.0,,65.0,,6255
1160,"Fort Berthold Reservation, ND",7260.0,,322.0,,1160
2430,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",172875.0,,2223.0,,2430
3165,"Rincon Reservation and Off-Reservation Trust Land, CA",932.0,,166.0,,3165
2715,"Pauma and Yuima Reservation, CA",242.0,,87.0,,2715
3525,"Santa Rosa Reservation, CA",73.0,,26.0,,3525
7025,"Nelson Lagoon ANVSA, AK",74.0,,28.0,,7025
7560,"Tazlina ANVSA, AK",354.0,,139.0,,7560
2400,"Nambe Pueblo and Off-Reservation Trust Land, NM",1613.0,,122.0,,2400
4635,"Winnemucca Indian Colony, NV",29.0,,17.0,,4635
6070,"Allakaket ANVSA, AK",170.0,,30.0,,6070
0185,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",109.0,,55.0,,0185
2510,"Ohkay Owingeh, NM",6541.0,,495.0,,2510
