geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,public use microdata area
00400,"DeKalb & Jackson Counties PUMA, Alabama",123294.0,,-555555555.0,*****,01,00400
00600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",152293.0,,-555555555.0,*****,01,00600
00700,"Cullman & Winston Counties PUMA, Alabama",106188.0,,-555555555.0,*****,01,00700
00900,"Etowah County PUMA, Alabama",102939.0,,-555555555.0,*****,01,00900
01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",157308.0,,-555555555.0,*****,01,01000
01100,"Calhoun County PUMA, Alabama",115098.0,,-555555555.0,*****,01,01100
01200,"Shelby County PUMA, Alabama",211261.0,,-555555555.0,*****,01,01200
01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",127878.0,,-555555555.0,*****,01,01700
01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",129247.0,,-555555555.0,*****,01,01800
01900,"Lee County--Auburn City PUMA, Alabama",159287.0,,-555555555.0,*****,01,01900
02200,"Southwest Alabama PUMA, Alabama",136268.0,,-555555555.0,*****,01,02200
02300,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",122529.0,,-555555555.0,*****,01,02300
02400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",146804.0,,-555555555.0,*****,01,02400
02500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",197222.0,,-555555555.0,*****,01,02500
02600,"Baldwin County PUMA, Alabama",208107.0,,-555555555.0,*****,01,02600
00200,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",161684.0,,-555555555.0,*****,02,00200
00300,"Navajo & Apache Counties PUMA, Arizona",180227.0,,-555555555.0,*****,04,00300
00400,"Coconino County--Flagstaff City PUMA, Arizona",140217.0,,-555555555.0,*****,04,00400
00500,"Yavapai County PUMA, Arizona",224645.0,,-555555555.0,*****,04,00500
00600,"Mohave & La Paz Counties--Lake Havasu City PUMA, Arizona",226765.0,,-555555555.0,*****,04,00600
00700,"Yuma County--Yuma City PUMA, Arizona",207829.0,,-555555555.0,*****,04,00700
00900,"Cochise & Santa Cruz Counties--Sierra Vista City PUMA, Arizona",172863.0,,-555555555.0,*****,04,00900
00100,"Benton County PUMA, Arkansas",258980.0,,-555555555.0,*****,05,00100
00200,"Washington County PUMA, Arkansas",228529.0,,-555555555.0,*****,05,00200
00300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA; Arkansas",154679.0,,-555555555.0,*****,05,00300
00400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA; Arkansas",134365.0,,-555555555.0,*****,05,00400
