geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state
27,Minnesota,5527358.0,,-555555555.0,*****,27
28,Mississippi,2988762.0,,-555555555.0,*****,28
29,Missouri,6090062.0,,-555555555.0,*****,29
30,Montana,1041732.0,,-555555555.0,*****,30
31,Nebraska,1904760.0,,-555555555.0,*****,31
32,Nevada,2922849.0,,-555555555.0,*****,32
33,New Hampshire,1343622.0,,-555555555.0,*****,33
34,New Jersey,8881845.0,,-555555555.0,*****,34
35,New Mexico,2092434.0,,-555555555.0,*****,35
36,New York,19618453.0,,-555555555.0,*****,36
37,North Carolina,10155624.0,,-555555555.0,*****,37
38,North Dakota,752201.0,,-555555555.0,*****,38
39,Ohio,11641879.0,,-555555555.0,*****,39
40,Oklahoma,3918137.0,,-555555555.0,*****,40
41,Oregon,4081943.0,,-555555555.0,*****,41
42,Pennsylvania,12791181.0,,-555555555.0,*****,42
44,Rhode Island,1056611.0,,-555555555.0,*****,44
45,South Carolina,4955925.0,,-555555555.0,*****,45
46,South Dakota,864289.0,,-555555555.0,*****,46
47,Tennessee,6651089.0,,-555555555.0,*****,47
48,Texas,27885195.0,,-555555555.0,*****,48
49,Utah,3045350.0,,-555555555.0,*****,49
50,Vermont,624977.0,,-555555555.0,*****,50
51,Virginia,8413774.0,,-555555555.0,*****,51
54,West Virginia,1829054.0,,-555555555.0,*****,54
53,Washington,7294336.0,,-555555555.0,*****,53
55,Wisconsin,5778394.0,,-555555555.0,*****,55
56,Wyoming,581836.0,,-555555555.0,*****,56
72,Puerto Rico,3386941.0,,-555555555.0,*****,72
01,Alabama,4864680.0,,-555555555.0,*****,01
02,Alaska,738516.0,,-555555555.0,*****,02
04,Arizona,6946685.0,,-555555555.0,*****,04
05,Arkansas,2990671.0,,-555555555.0,*****,05
06,California,39148760.0,,-555555555.0,*****,06
08,Colorado,5531141.0,,-555555555.0,*****,08
09,Connecticut,3581504.0,,-555555555.0,*****,09
10,Delaware,949495.0,,-555555555.0,*****,10
11,District of Columbia,684498.0,,-555555555.0,*****,11
12,Florida,20598139.0,,-555555555.0,*****,12
13,Georgia,10297484.0,,-555555555.0,*****,13
16,Idaho,1687809.0,,-555555555.0,*****,16
15,Hawaii,1422029.0,,-555555555.0,*****,15
17,Illinois,12821497.0,,-555555555.0,*****,17
18,Indiana,6637426.0,,-555555555.0,*****,18
19,Iowa,3132499.0,,-555555555.0,*****,19
20,Kansas,2908776.0,,-555555555.0,*****,20
21,Kentucky,4440204.0,,-555555555.0,*****,21
22,Louisiana,4663616.0,,-555555555.0,*****,22
23,Maine,1332813.0,,-555555555.0,*****,23
24,Maryland,6003435.0,,-555555555.0,*****,24
25,Massachusetts,6830193.0,,-555555555.0,*****,25
26,Michigan,9957488.0,,-555555555.0,*****,26
