geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,urban area
49582,"Lexington-Fayette, KY Urbanized Area (2010)",311989.0,,869.0,,49582
23500,"Denton--Lewisville, TX Urbanized Area (2010)",407602.0,,1648.0,,23500
71074,"Porterville, CA Urbanized Area (2010)",71814.0,,1577.0,,71074
05410,"Basalt--El Jebel, CO Urban Cluster (2010)",9884.0,,758.0,,05410
85195,"Strasburg, VA Urban Cluster (2010)",6786.0,,144.0,,85195
50365,"Littlefield, TX Urban Cluster (2010)",5326.0,,225.0,,50365
50257,"Litchfield, MN Urban Cluster (2010)",6491.0,,89.0,,50257
60139,"Mount Pleasant, TN Urban Cluster (2010)",3995.0,,348.0,,60139
14401,"Casa Grande, AZ Urbanized Area (2010)",57810.0,,1350.0,,14401
94753,"Whitefish, MT Urban Cluster (2010)",7487.0,,539.0,,94753
34975,"Greenfield, MA Urban Cluster (2010)",22686.0,,465.0,,34975
54874,"Marquette, MI Urban Cluster (2010)",27171.0,,454.0,,54874
44074,"Kaufman, TX Urban Cluster (2010)",6072.0,,395.0,,44074
54064,"Mansfield, LA Urban Cluster (2010)",5977.0,,309.0,,54064
17236,"Clarksburg, WV Urban Cluster (2010)",43293.0,,857.0,,17236
03358,"Asheville, NC Urbanized Area (2010)",300441.0,,2784.0,,03358
26362,"Elberton, GA Urban Cluster (2010)",5157.0,,417.0,,26362
18760,"Collinsville, OK Urban Cluster (2010)",4491.0,,297.0,,18760
18181,"Cloverdale, CA Urban Cluster (2010)",9223.0,,284.0,,18181
50419,"Littlestown, PA Urban Cluster (2010)",6386.0,,167.0,,50419
76582,"Royston, GA Urban Cluster (2010)",3507.0,,473.0,,76582
69632,"Pittsboro, NC Urban Cluster (2010)",3884.0,,285.0,,69632
57250,"Millen, GA Urban Cluster (2010)",2781.0,,56.0,,57250
57277,"Millersburg, OH Urban Cluster (2010)",2986.0,,120.0,,57277
75880,"Rock Springs, WY Urban Cluster (2010)",27758.0,,569.0,,75880
95833,"Wilmington, NC Urbanized Area (2010)",246706.0,,1356.0,,95833
35326,"Greenville, MI Urban Cluster (2010)",9548.0,,282.0,,35326
73963,"Red Wing, MN Urban Cluster (2010)",13988.0,,343.0,,73963
37864,"Hazel Green, AL Urban Cluster (2010)",2322.0,,435.0,,37864
55198,"Martinsburg, PA Urban Cluster (2010)",2668.0,,270.0,,55198
11593,"Burkburnett, TX Urban Cluster (2010)",9881.0,,352.0,,11593
42427,"Jacksonville, TX Urban Cluster (2010)",14250.0,,282.0,,42427
67213,"Palmyra, MO Urban Cluster (2010)",3499.0,,157.0,,67213
58087,"Monahans, TX Urban Cluster (2010)",8296.0,,222.0,,58087
58033,"Molalla, OR Urban Cluster (2010)",9693.0,,354.0,,58033
01306,"Alexandria, MN Urban Cluster (2010)",17509.0,,473.0,,01306
05958,"Bealeton, VA Urban Cluster (2010)",6960.0,,630.0,,05958
32707,"Gatesville, TX Urban Cluster (2010)",15684.0,,533.0,,32707
58303,"Monroe, GA Urban Cluster (2010)",15757.0,,910.0,,58303
14752,"Cedar Rapids, IA Urbanized Area (2010)",186689.0,,723.0,,14752
89029,"Tupelo, MS Urban Cluster (2010)",41003.0,,786.0,,89029
59910,"Mount Holly Springs, PA Urban Cluster (2010)",4304.0,,421.0,,59910
65917,"Orosi, CA Urban Cluster (2010)",15148.0,,1395.0,,65917
72244,"Priceville, AL Urban Cluster (2010)",4276.0,,529.0,,72244
56116,"Memphis, TN--MS--AR Urbanized Area (2010)",1076097.0,,2228.0,,56116
64486,"Oakland City, IN Urban Cluster (2010)",2324.0,,257.0,,64486
03395,"Ashland, PA Urban Cluster (2010)",7110.0,,428.0,,03395
75718,"Rockford, IL Urbanized Area (2010)",288165.0,,1216.0,,75718
64135,"Norwich--New London, CT--RI Urbanized Area (2010)",205232.0,,1498.0,,64135
76177,"Romancoke, MD Urban Cluster (2010)",3193.0,,388.0,,76177
08434,"Bloomsburg--Berwick, PA Urbanized Area (2010)",53023.0,,590.0,,08434
89650,"Uniontown--Connellsville, PA Urbanized Area (2010)",50089.0,,778.0,,89650
95563,"Williamstown, PA Urban Cluster (2010)",4404.0,,215.0,,95563
00145,"Aberdeen, SD Urban Cluster (2010)",28109.0,,121.0,,00145
53713,"Manchester, KY Urban Cluster (2010)",3676.0,,349.0,,53713
92296,"Washington, IN Urban Cluster (2010)",13431.0,,214.0,,92296
10351,"Bristol--Bristol, TN--VA Urbanized Area (2010)",67680.0,,928.0,,10351
79957,"Schuyler, NE Urban Cluster (2010)",6473.0,,122.0,,79957
84925,"Stewartstown, PA Urban Cluster (2010)",4604.0,,452.0,,84925
58573,"Montezuma, GA Urban Cluster (2010)",6246.0,,421.0,,58573
29510,"Fearrington Village, NC Urban Cluster (2010)",3000.0,,314.0,,29510
91918,"Warrenton, MO Urban Cluster (2010)",9430.0,,527.0,,91918
49366,"Lewistown, MT Urban Cluster (2010)",6096.0,,261.0,,49366
49636,"Liberal, KS Urban Cluster (2010)",19921.0,,329.0,,49636
34381,"Grandview, WA Urban Cluster (2010)",19821.0,,890.0,,34381
39403,"Holdrege, NE Urban Cluster (2010)",5270.0,,142.0,,39403
50122,"Lindstrom--Chisago City, MN Urban Cluster (2010)",8135.0,,343.0,,50122
33798,"Golden Gate Estates, FL Urban Cluster (2010)",4698.0,,1494.0,,33798
38863,"Hillsboro, IL Urban Cluster (2010)",7921.0,,412.0,,38863
52930,"McRae, GA Urban Cluster (2010)",8566.0,,185.0,,52930
57466,"Milwaukee, WI Urbanized Area (2010)",1389224.0,,1594.0,,57466
97696,"Yoakum, TX Urban Cluster (2010)",5968.0,,471.0,,97696
49312,"Lewiston, ID--WA Urbanized Area (2010)",53125.0,,486.0,,49312
64243,"Nyssa, OR Urban Cluster (2010)",3386.0,,142.0,,64243
86315,"Tabor City, NC--SC Urban Cluster (2010)",3937.0,,252.0,,86315
63851,"North Shore, CA Urban Cluster (2010)",2707.0,,675.0,,63851
29575,"Fergus Falls, MN Urban Cluster (2010)",11825.0,,333.0,,29575
16615,"Chisholm, MN Urban Cluster (2010)",4549.0,,228.0,,16615
25813,"East Quincy, CA Urban Cluster (2010)",2976.0,,562.0,,25813
50446,"Littleton, NH Urban Cluster (2010)",3646.0,,422.0,,50446
56656,"Michigan City--La Porte, IN--MI Urbanized Area (2010)",65418.0,,865.0,,56656
26750,"Elizabethtown--Radcliff, KY Urbanized Area (2010)",74338.0,,1170.0,,26750
15616,"Charlevoix, MI Urban Cluster (2010)",3884.0,,257.0,,15616
90298,"Vergennes, VT Urban Cluster (2010)",2575.0,,37.0,,90298
90703,"Vincennes, IN Urban Cluster (2010)",20304.0,,461.0,,90703
48205,"Laurium, MI Urban Cluster (2010)",7150.0,,398.0,,48205
67321,"Paola, KS Urban Cluster (2010)",5361.0,,163.0,,67321
91351,"Walkerton, IN Urban Cluster (2010)",2975.0,,254.0,,91351
88462,"Trenton, NJ Urbanized Area (2010)",295437.0,,1260.0,,88462
90784,"Vinita, OK Urban Cluster (2010)",5502.0,,147.0,,90784
82927,"Somerset, PA Urban Cluster (2010)",12066.0,,373.0,,82927
84277,"Stanford, KY Urban Cluster (2010)",3975.0,,193.0,,84277
28495,"Excelsior Springs, MO Urban Cluster (2010)",11586.0,,264.0,,28495
04465,"Avenal, CA Urban Cluster (2010)",12923.0,,25.0,,04465
37972,"Hearne, TX Urban Cluster (2010)",4023.0,,458.0,,37972
56494,"Metter, GA Urban Cluster (2010)",3523.0,,238.0,,56494
84763,"Stephenville, TX Urban Cluster (2010)",19895.0,,274.0,,84763
46774,"Lake Isabella, CA Urban Cluster (2010)",2991.0,,636.0,,46774
36838,"Harlan, IA Urban Cluster (2010)",4646.0,,144.0,,36838
61786,"New Bedford, MA Urbanized Area (2010)",149205.0,,1126.0,,61786
22447,"Dawson, GA Urban Cluster (2010)",4125.0,,144.0,,22447
64783,"Oconto Falls, WI Urban Cluster (2010)",2658.0,,89.0,,64783
49285,"Lewisburg, WV Urban Cluster (2010)",7124.0,,451.0,,49285
66079,"Osawatomie, KS Urban Cluster (2010)",4327.0,,102.0,,66079
96049,"Winchester, KY Urban Cluster (2010)",26024.0,,478.0,,96049
45112,"King George, VA Urban Cluster (2010)",4628.0,,528.0,,45112
13618,"Carey, OH Urban Cluster (2010)",3417.0,,208.0,,13618
58006,"Modesto, CA Urbanized Area (2010)",376966.0,,1717.0,,58006
26524,"El Dorado, KS Urban Cluster (2010)",14758.0,,264.0,,26524
84142,"Springville, NY Urban Cluster (2010)",3893.0,,204.0,,84142
