geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,school district (secondary)
0400082,"Colorado River Union High School District, Arizona",65496.0,,963.0,,04,00082
0400450,"Agua Fria Union High School District, Arizona",142974.0,,2023.0,,04,00450
0400720,"Antelope Union High School District, Arizona",6621.0,,634.0,,04,00720
0401160,"Bicentennial Union High School District, Arizona",9614.0,,406.0,,04,01160
0401410,"Buckeye Union High School District, Arizona",79340.0,,1738.0,,04,01410
0401740,"Casa Grande Union High School District, Arizona",93977.0,,2062.0,,04,01740
0403450,"Glendale Union High School District, Arizona",354145.0,,3832.0,,04,03450
0405070,"Mingus Union High School District, Arizona",35614.0,,1150.0,,04,05070
0406030,"Patagonia Union High School District, Arizona",3023.0,,312.0,,04,06030
0406330,"Phoenix Union High School District, Arizona",726465.0,,5344.0,,04,06330
0407530,"Santa Cruz Valley Union High School District, Arizona",20773.0,,914.0,,04,07530
0408340,"Tempe Union High School District, Arizona",323978.0,,2586.0,,04,08340
0408520,"Tolleson Union High School District, Arizona",201239.0,,2996.0,,04,08520
0408910,"Valley Union High School District, Arizona",3820.0,,442.0,,04,08910
0409630,"Yuma Union High School District, Arizona",201208.0,,634.0,,04,09630
0499999,"Remainder of Arizona, Arizona",4678398.0,,5518.0,,04,99999
0602820,"Antelope Valley Union Joint High School District, California",381076.0,,2424.0,,06,02820
0606018,"Washington Unified School District (9-12), California",9657.0,,823.0,,06,06018
0606019,"Santa Barbara Unified School District (7-12), California",105853.0,,1450.0,,06,06019
0606020,"Lammersville Joint Unified School District (9-12), California",295.0,,139.0,,06,06020
0619540,"Kern High School District, California",636879.0,,2139.0,,06,19540
0606001,"Yosemite Unified School District (9-12), California",13463.0,,932.0,,06,06001
0606003,"Twin Rivers Unified School District (9-12), California",3248.0,,504.0,,06,06003
0606004,"Twin Rivers Unified School District (7-12), California",19684.0,,1136.0,,06,06004
0606005,"Scott Valley Unified School District (9-12), California",166.0,,55.0,,06,06005
0606006,"Trinity Alps Unified School District (9-12), California",4393.0,,363.0,,06,06006
0606013,"Turlock Unified School District (9-12), California",9970.0,,962.0,,06,06013
0606015,"Santa Cruz City High School District (9-12), California",51794.0,,1331.0,,06,06015
0606016,"Dinuba Unified School District (9-12), California",4816.0,,587.0,,06,06016
0606021,"Bishop Unified School District (9-12), California",1285.0,,177.0,,06,06021
0606022,"Santa Paula Unified School District (9-12), California",5009.0,,607.0,,06,06022
0606025,"Hamilton Unified School District (9-12), California",589.0,,105.0,,06,06025
0606034,"Perris Union High School District (9-12), California",136042.0,,2008.0,,06,06034
0606026,"Woodlake Unified School District (9-12), California",3309.0,,452.0,,06,06026
0606028,"Exeter Unified School District (9-12), California",2679.0,,564.0,,06,06028
0606031,"Tracy Unified School District (9-12), California",21202.0,,1185.0,,06,06031
0606037,"Alhambra Unified School District (9-12), California",53106.0,,1601.0,,06,06037
0606038,"Healdsburg Unified School District (7-12), California",1843.0,,287.0,,06,06038
0606053,"Gonzales Unified School District (9-12), California",2886.0,,497.0,,06,06053
0606107,"Porterville Unified School District (9-12), California",47959.0,,2017.0,,06,06107
0619650,"South Monterey County Joint Union High School District, California",40243.0,,1346.0,,06,19650
0699001,"Gridley Unified School District (9-12), California",1325.0,,315.0,,06,99001
0699002,"Caruthers Unified School District (9-12), California",3409.0,,489.0,,06,99002
0699003,"Riverdale Joint Unified School District (9-12), California",1741.0,,252.0,,06,99003
0699004,"Sierra Unified School District (9-12), California",1111.0,,159.0,,06,99004
0699005,"Orland Joint Unified School District (9-12), California",879.0,,163.0,,06,99005
0699006,"Eureka City Unified School District (7-12), California",15407.0,,936.0,,06,99006
0699007,"Eureka City Unified School District (9-12), California",407.0,,91.0,,06,99007
0699008,"Upper Lake Unified School District (9-12), California",3316.0,,549.0,,06,99008
0699009,"Coast Unified School District (9-12), California",2844.0,,361.0,,06,99009
0699010,"Paso Robles Joint Unified School District (9-12), California",7756.0,,1084.0,,06,99010
0699011,"Santa Cruz City High School District (6-12), California",66522.0,,485.0,,06,99011
0699012,"Hughson Unified School District (9-12), California",2481.0,,306.0,,06,99012
0699013,"Oakdale Joint Unified School District (9-12), California",2115.0,,251.0,,06,99013
0699014,"Nevada Joint Union High School District (9-12), California",504.0,,112.0,,06,99014
0643410,"Yreka Union High School District, California",17816.0,,535.0,,06,43410
0699999,"Remainder of California, California",28351717.0,,11349.0,,06,99999
0601650,"Acalanes Union High School District, California",118688.0,,1540.0,,06,01650
0602630,"Anaheim Union High School District, California",401295.0,,2607.0,,06,02630
0602670,"West Sonoma County Union High School District, California",52012.0,,1332.0,,06,02670
0602700,"Anderson Union High School District, California",39264.0,,1011.0,,06,02700
0603030,"Northern Humboldt Union High School District, California",46511.0,,1085.0,,06,03030
0605820,"Brawley Union High School District, California",29974.0,,382.0,,06,05820
0605940,"Bret Harte Union High School District, California",17833.0,,852.0,,06,05940
0607230,"Campbell Union High School District, California",230015.0,,2286.0,,06,07230
0607920,"Centinela Valley Union High School District, California",149731.0,,1643.0,,06,07920
0608010,"Central Union High School District, California",60669.0,,976.0,,06,08010
0608160,"Chaffey Joint Union High School District, California",422515.0,,2012.0,,06,08160
0608550,"Chowchilla Union High School District, California",23477.0,,477.0,,06,08550
0609810,"Corning Union High School District, California",17118.0,,976.0,,06,09810
0610860,"Delano Joint Union High School District, California",68883.0,,993.0,,06,10860
0611700,"Dunsmuir Joint Union High School District, California",2114.0,,177.0,,06,11700
0611780,"East Nicolaus Joint Union High School District, California",2661.0,,216.0,,06,11780
0611820,"East Side Union High School District, California",559227.0,,3294.0,,06,11820
0613530,"Fallbrook Union High School District, California",66713.0,,2285.0,,06,13530
0612070,"El Dorado Union High School District, California",142359.0,,1267.0,,06,12070
0612120,"El Monte Union High School District, California",177207.0,,1560.0,,06,12120
0612910,"Escondido Union High School District, California",172249.0,,1369.0,,06,12910
0614190,"Fortuna Union High School District, California",22601.0,,675.0,,06,14190
0614430,"Fremont Union High School District, California",235574.0,,1670.0,,06,14430
0614760,"Fullerton Joint Union High School District, California",257293.0,,1874.0,,06,14760
0614820,"Galt Joint Union High School District, California",39875.0,,1019.0,,06,14820
0616230,"Grossmont Union High School District, California",480691.0,,3554.0,,06,16230
0616500,"Hanford Joint Union High School District, California",70973.0,,805.0,,06,16500
0618060,"Huntington Beach Union High School District, California",322539.0,,1410.0,,06,18060
0618930,"Jefferson Union High School District, California",151547.0,,1087.0,,06,18930
0619110,"Julian Union High School District, California",3168.0,,457.0,,06,19110
0619830,"Kingsburg Joint Union High School District, California",18329.0,,806.0,,06,19830
0621060,"Lassen Union High School District, California",25298.0,,445.0,,06,21060
0621270,"Le Grand Union High School District, California",7429.0,,580.0,,06,21270
0621400,"Lemoore Union High School District, California",39998.0,,749.0,,06,21400
0621600,"Liberty Union High School District, California",121939.0,,1610.0,,06,21600
0622800,"Los Gatos-Saratoga Joint Union School District, California",55627.0,,1082.0,,06,22800
