geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,not_hispanic_or_latino,not_hispanic_or_latino_annotation,not_hispanic_or_latino_moe,not_hispanic_or_latino_moe_annotation,hispanic_or_latino,hispanic_or_latino_annotation,hispanic_or_latino_moe,hispanic_or_latino_moe_annotation,mexican,mexican_annotation,mexican_moe,mexican_moe_annotation,puerto_rican,puerto_rican_annotation,puerto_rican_moe,puerto_rican_moe_annotation,cuban,cuban_annotation,cuban_moe,cuban_moe_annotation,dominican,dominican_annotation,dominican_moe,dominican_moe_annotation,central_american,central_american_annotation,central_american_moe,central_american_moe_annotation,costa_rican,costa_rican_annotation,costa_rican_moe,costa_rican_moe_annotation,guatemalan,guatemalan_annotation,guatemalan_moe,guatemalan_moe_annotation,honduran,honduran_annotation,honduran_moe,honduran_moe_annotation,nicaraguan,nicaraguan_annotation,nicaraguan_moe,nicaraguan_moe_annotation,GEO_ID,state,panamanian,panamanian_annotation,panamanian_moe,panamanian_moe_annotation,salvadoran,salvadoran_annotation,salvadoran_moe,salvadoran_moe_annotation,other_central_american,other_central_american_annotation,other_central_american_moe,other_central_american_moe_annotation,south_american,south_american_annotation,south_american_moe,south_american_moe_annotation,argentinean,argentinean_annotation,argentinean_moe,argentinean_moe_annotation,bolivian,bolivian_annotation,bolivian_moe,bolivian_moe_annotation,chilean,chilean_annotation,chilean_moe,chilean_moe_annotation,colombian,colombian_annotation,colombian_moe,colombian_moe_annotation,ecuadorian,ecuadorian_annotation,ecuadorian_moe,ecuadorian_moe_annotation,paraguayan,paraguayan_annotation,paraguayan_moe,paraguayan_moe_annotation,peruvian,peruvian_annotation,peruvian_moe,peruvian_moe_annotation,uruguayan,uruguayan_annotation,uruguayan_moe,uruguayan_moe_annotation,venezuelan,venezuelan_annotation,venezuelan_moe,venezuelan_moe_annotation,other_south_american,other_south_american_annotation,other_south_american_moe,other_south_american_moe_annotation,other_hispanic_or_latino,other_hispanic_or_latino_annotation,other_hispanic_or_latino_moe,other_hispanic_or_latino_moe_annotation,spaniard,spaniard_annotation,spaniard_moe,spaniard_moe_annotation,spanish,spanish_annotation,spanish_moe,spanish_moe_annotation,spanish_american,spanish_american_annotation,spanish_american_moe,spanish_american_moe_annotation,all_other_hispanic_or_latino,all_other_hispanic_or_latino_annotation,all_other_hispanic_or_latino_moe,all_other_hispanic_or_latino_moe_annotation
01,Alabama,4876250.0,,-555555555.0,*****,4667624.0,,582.0,,208626.0,,582.0,,126071.0,,3336.0,,21688.0,,2036.0,,4880.0,,616.0,,1551.0,,383.0,,34020.0,,2738.0,,543.0,,240.0,,20451.0,,2435.0,,5119.0,,1155.0,,961.0,,442.0,,0400000US01,01,3342.0,,658.0,,3583.0,,843.0,,21.0,,25.0,,7182.0,,1082.0,,537.0,,293.0,,56.0,,44.0,,442.0,,212.0,,1858.0,,441.0,,736.0,,270.0,,44.0,,42.0,,1585.0,,526.0,,118.0,,101.0,,1638.0,,477.0,,168.0,,142.0,,13234.0,,1128.0,,2314.0,,502.0,,972.0,,265.0,,34.0,,42.0,,9914.0,,1064.0,
02,Alaska,737068.0,,-555555555.0,*****,685198.0,,128.0,,51870.0,,128.0,,28205.0,,1489.0,,7427.0,,1028.0,,1156.0,,350.0,,2558.0,,716.0,,2679.0,,516.0,,131.0,,81.0,,417.0,,187.0,,311.0,,176.0,,393.0,,183.0,,0400000US02,02,246.0,,96.0,,1092.0,,344.0,,89.0,,112.0,,4113.0,,731.0,,175.0,,97.0,,72.0,,72.0,,55.0,,42.0,,1701.0,,572.0,,544.0,,400.0,,88.0,,86.0,,994.0,,427.0,,88.0,,71.0,,360.0,,245.0,,36.0,,54.0,,5732.0,,862.0,,1989.0,,457.0,,1398.0,,391.0,,9.0,,14.0,,2336.0,,626.0,
04,Arizona,7050299.0,,-555555555.0,*****,4841636.0,,-555555555.0,*****,2208663.0,,-555555555.0,*****,1957968.0,,5709.0,,49316.0,,3010.0,,15670.0,,1750.0,,5643.0,,845.0,,51505.0,,3114.0,,2817.0,,601.0,,21098.0,,1968.0,,5077.0,,920.0,,3440.0,,621.0,,0400000US04,04,2585.0,,583.0,,15855.0,,1855.0,,633.0,,371.0,,28818.0,,1918.0,,2801.0,,577.0,,777.0,,286.0,,2722.0,,550.0,,8829.0,,1053.0,,3682.0,,701.0,,282.0,,144.0,,6066.0,,788.0,,330.0,,156.0,,3069.0,,566.0,,260.0,,167.0,,99743.0,,3714.0,,29445.0,,1657.0,,19442.0,,1628.0,,338.0,,140.0,,50518.0,,3163.0,
05,Arkansas,2999370.0,,-555555555.0,*****,2775240.0,,236.0,,224130.0,,236.0,,161614.0,,2757.0,,7446.0,,1066.0,,2163.0,,513.0,,714.0,,282.0,,36513.0,,2677.0,,251.0,,133.0,,6317.0,,1285.0,,3816.0,,900.0,,951.0,,473.0,,0400000US05,05,599.0,,293.0,,24241.0,,2169.0,,338.0,,343.0,,4354.0,,751.0,,589.0,,259.0,,423.0,,230.0,,433.0,,265.0,,1058.0,,309.0,,450.0,,244.0,,100.0,,144.0,,709.0,,283.0,,11.0,,25.0,,427.0,,228.0,,154.0,,176.0,,11326.0,,1213.0,,2981.0,,551.0,,1797.0,,439.0,,54.0,,64.0,,6494.0,,986.0,
06,California,39283497.0,,-555555555.0,*****,23955809.0,,-555555555.0,*****,15327688.0,,-555555555.0,*****,12687312.0,,21830.0,,221536.0,,5324.0,,99206.0,,3796.0,,17281.0,,1286.0,,1422541.0,,16038.0,,26114.0,,1918.0,,436896.0,,8945.0,,92011.0,,4072.0,,117505.0,,4087.0,,0400000US06,06,19090.0,,1619.0,,715553.0,,11500.0,,15372.0,,1777.0,,359339.0,,7475.0,,53316.0,,2549.0,,15553.0,,1435.0,,29063.0,,2204.0,,83932.0,,3413.0,,42094.0,,2806.0,,1664.0,,428.0,,108165.0,,4180.0,,4869.0,,923.0,,15277.0,,1146.0,,5406.0,,968.0,,520473.0,,9013.0,,161411.0,,4784.0,,99596.0,,3169.0,,1580.0,,356.0,,257886.0,,6876.0,
08,Colorado,5610349.0,,-555555555.0,*****,4402177.0,,407.0,,1208172.0,,407.0,,885441.0,,6513.0,,35679.0,,2502.0,,13659.0,,1417.0,,3729.0,,732.0,,41363.0,,2737.0,,2634.0,,695.0,,9333.0,,1488.0,,6811.0,,1425.0,,2166.0,,621.0,,0400000US08,08,3130.0,,613.0,,17229.0,,1950.0,,60.0,,53.0,,30835.0,,2037.0,,3800.0,,678.0,,1216.0,,294.0,,2934.0,,610.0,,7957.0,,919.0,,2469.0,,457.0,,300.0,,189.0,,8088.0,,1180.0,,173.0,,107.0,,3722.0,,744.0,,176.0,,112.0,,197466.0,,4872.0,,48293.0,,2747.0,,53179.0,,3117.0,,3052.0,,537.0,,92942.0,,3192.0,
09,Connecticut,3575074.0,,-555555555.0,*****,3000834.0,,-555555555.0,*****,574240.0,,-555555555.0,*****,60632.0,,3684.0,,291843.0,,4735.0,,13213.0,,1194.0,,42724.0,,2793.0,,49726.0,,3289.0,,3259.0,,810.0,,21996.0,,2323.0,,10179.0,,1456.0,,1772.0,,433.0,,0400000US09,09,1521.0,,402.0,,10364.0,,1798.0,,635.0,,428.0,,94508.0,,4051.0,,5069.0,,802.0,,873.0,,237.0,,3609.0,,788.0,,25998.0,,2321.0,,32078.0,,2800.0,,487.0,,230.0,,19764.0,,1893.0,,2086.0,,625.0,,3524.0,,806.0,,1020.0,,399.0,,21594.0,,1362.0,,6943.0,,829.0,,2408.0,,574.0,,144.0,,120.0,,12099.0,,1228.0,
10,Delaware,957248.0,,-555555555.0,*****,868884.0,,-555555555.0,*****,88364.0,,-555555555.0,*****,35977.0,,2086.0,,24543.0,,1722.0,,1393.0,,306.0,,3731.0,,891.0,,12830.0,,1377.0,,331.0,,294.0,,8214.0,,1059.0,,1229.0,,420.0,,527.0,,373.0,,0400000US10,10,633.0,,213.0,,1856.0,,562.0,,40.0,,40.0,,5795.0,,895.0,,674.0,,235.0,,84.0,,95.0,,324.0,,176.0,,1796.0,,452.0,,1116.0,,382.0,,11.0,,18.0,,902.0,,336.0,,21.0,,35.0,,867.0,,431.0,,0.0,,28.0,,4095.0,,932.0,,1544.0,,518.0,,261.0,,109.0,,29.0,,32.0,,2261.0,,776.0,
11,District of Columbia,692683.0,,-555555555.0,*****,616492.0,,-555555555.0,*****,76191.0,,-555555555.0,*****,14053.0,,1402.0,,6145.0,,808.0,,3093.0,,545.0,,4856.0,,886.0,,28815.0,,1761.0,,482.0,,217.0,,3003.0,,746.0,,3435.0,,1068.0,,875.0,,321.0,,0400000US11,11,1175.0,,361.0,,19845.0,,2107.0,,0.0,,29.0,,12017.0,,1122.0,,1716.0,,532.0,,876.0,,308.0,,787.0,,258.0,,3708.0,,637.0,,1129.0,,403.0,,116.0,,86.0,,2297.0,,532.0,,378.0,,195.0,,962.0,,270.0,,48.0,,76.0,,7212.0,,1037.0,,3027.0,,615.0,,446.0,,162.0,,0.0,,29.0,,3739.0,,774.0,
12,Florida,20901636.0,,-555555555.0,*****,15554952.0,,317.0,,5346684.0,,317.0,,725645.0,,12650.0,,1137632.0,,11956.0,,1520577.0,,12832.0,,236798.0,,7556.0,,571206.0,,11042.0,,25776.0,,2121.0,,121559.0,,5660.0,,152705.0,,6825.0,,159083.0,,5937.0,,0400000US12,12,34268.0,,2330.0,,75538.0,,4287.0,,2277.0,,761.0,,951858.0,,13202.0,,73748.0,,3938.0,,15277.0,,1662.0,,31090.0,,2803.0,,387118.0,,8338.0,,79192.0,,3782.0,,3080.0,,628.0,,125759.0,,5876.0,,16388.0,,1927.0,,217013.0,,7119.0,,3193.0,,746.0,,202968.0,,6235.0,,67761.0,,3460.0,,16860.0,,1282.0,,803.0,,406.0,,117544.0,,4580.0,
