geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,state legislative district (upper chamber)
08007,"State Senate District 7 (2018), Colorado",149998.0,,-555555555.0,*****,08,007
08008,"State Senate District 8 (2018), Colorado",149728.0,,118.0,,08,008
08009,"State Senate District 9 (2018), Colorado",164800.0,,1972.0,,08,009
08010,"State Senate District 10 (2018), Colorado",158273.0,,1902.0,,08,010
08011,"State Senate District 11 (2018), Colorado",147383.0,,2323.0,,08,011
08012,"State Senate District 12 (2018), Colorado",162195.0,,2098.0,,08,012
08013,"State Senate District 13 (2018), Colorado",161147.0,,1089.0,,08,013
08014,"State Senate District 14 (2018), Colorado",164588.0,,360.0,,08,014
08015,"State Senate District 15 (2018), Colorado",155402.0,,894.0,,08,015
08016,"State Senate District 16 (2018), Colorado",153375.0,,1723.0,,08,016
08017,"State Senate District 17 (2018), Colorado",154731.0,,612.0,,08,017
08018,"State Senate District 18 (2018), Colorado",151796.0,,699.0,,08,018
08019,"State Senate District 19 (2018), Colorado",148396.0,,985.0,,08,019
08020,"State Senate District 20 (2018), Colorado",164514.0,,1523.0,,08,020
08021,"State Senate District 21 (2018), Colorado",164130.0,,1358.0,,08,021
08022,"State Senate District 22 (2018), Colorado",154031.0,,1411.0,,08,022
08023,"State Senate District 23 (2018), Colorado",181648.0,,1213.0,,08,023
08024,"State Senate District 24 (2018), Colorado",163999.0,,1483.0,,08,024
08025,"State Senate District 25 (2018), Colorado",168986.0,,1738.0,,08,025
08026,"State Senate District 26 (2018), Colorado",161747.0,,1499.0,,08,026
08027,"State Senate District 27 (2018), Colorado",153560.0,,1054.0,,08,027
08028,"State Senate District 28 (2018), Colorado",152909.0,,1824.0,,08,028
08029,"State Senate District 29 (2018), Colorado",160470.0,,1694.0,,08,029
08030,"State Senate District 30 (2018), Colorado",160649.0,,1075.0,,08,030
08031,"State Senate District 31 (2018), Colorado",167225.0,,2364.0,,08,031
08032,"State Senate District 32 (2018), Colorado",164301.0,,2316.0,,08,032
08033,"State Senate District 33 (2018), Colorado",179613.0,,2334.0,,08,033
08034,"State Senate District 34 (2018), Colorado",160801.0,,2389.0,,08,034
08035,"State Senate District 35 (2018), Colorado",138041.0,,756.0,,08,035
08001,"State Senate District 1 (2018), Colorado",148526.0,,971.0,,08,001
08002,"State Senate District 2 (2018), Colorado",153388.0,,1093.0,,08,002
08003,"State Senate District 3 (2018), Colorado",145789.0,,750.0,,08,003
08004,"State Senate District 4 (2018), Colorado",167965.0,,1075.0,,08,004
09001,"State Senate District 1 (2018), Connecticut",95887.0,,1133.0,,09,001
09002,"State Senate District 2 (2018), Connecticut",94945.0,,1133.0,,09,002
09006,"State Senate District 6 (2018), Connecticut",96657.0,,193.0,,09,006
09003,"State Senate District 3 (2018), Connecticut",100261.0,,474.0,,09,003
09004,"State Senate District 4 (2018), Connecticut",100684.0,,131.0,,09,004
09005,"State Senate District 5 (2018), Connecticut",97598.0,,455.0,,09,005
09007,"State Senate District 7 (2018), Connecticut",102085.0,,372.0,,09,007
09008,"State Senate District 8 (2018), Connecticut",96414.0,,659.0,,09,008
09009,"State Senate District 9 (2018), Connecticut",102356.0,,843.0,,09,009
09010,"State Senate District 10 (2018), Connecticut",96227.0,,1807.0,,09,010
09011,"State Senate District 11 (2018), Connecticut",97374.0,,1605.0,,09,011
09012,"State Senate District 12 (2018), Connecticut",94659.0,,315.0,,09,012
09013,"State Senate District 13 (2018), Connecticut",96698.0,,901.0,,09,013
09014,"State Senate District 14 (2018), Connecticut",95820.0,,1008.0,,09,014
09015,"State Senate District 15 (2018), Connecticut",101394.0,,1671.0,,09,015
09016,"State Senate District 16 (2018), Connecticut",101931.0,,1381.0,,09,016
09017,"State Senate District 17 (2018), Connecticut",99571.0,,1095.0,,09,017
09018,"State Senate District 18 (2018), Connecticut",100577.0,,46.0,,09,018
09019,"State Senate District 19 (2018), Connecticut",99001.0,,476.0,,09,019
09020,"State Senate District 20 (2018), Connecticut",94777.0,,535.0,,09,020
09021,"State Senate District 21 (2018), Connecticut",100701.0,,1176.0,,09,021
09022,"State Senate District 22 (2018), Connecticut",99795.0,,1500.0,,09,022
09023,"State Senate District 23 (2018), Connecticut",98122.0,,1634.0,,09,023
09024,"State Senate District 24 (2018), Connecticut",107383.0,,325.0,,09,024
09025,"State Senate District 25 (2018), Connecticut",103102.0,,421.0,,09,025
09026,"State Senate District 26 (2018), Connecticut",108473.0,,874.0,,09,026
09027,"State Senate District 27 (2018), Connecticut",109686.0,,1185.0,,09,027
09028,"State Senate District 28 (2018), Connecticut",104689.0,,468.0,,09,028
09029,"State Senate District 29 (2018), Connecticut",101508.0,,196.0,,09,029
09030,"State Senate District 30 (2018), Connecticut",94250.0,,543.0,,09,030
09031,"State Senate District 31 (2018), Connecticut",101094.0,,235.0,,09,031
09032,"State Senate District 32 (2018), Connecticut",93438.0,,672.0,,09,032
09033,"State Senate District 33 (2018), Connecticut",99614.0,,419.0,,09,033
09034,"State Senate District 34 (2018), Connecticut",95791.0,,523.0,,09,034
09035,"State Senate District 35 (2018), Connecticut",100586.0,,554.0,,09,035
09036,"State Senate District 36 (2018), Connecticut",98356.0,,1344.0,,09,036
09ZZZ,"State Senate Districts not defined (2018), Connecticut",0.0,,12.0,,09,ZZZ
10001,"State Senate District 1 (2018), Delaware",44876.0,,1438.0,,10,001
10002,"State Senate District 2 (2018), Delaware",42153.0,,1582.0,,10,002
10003,"State Senate District 3 (2018), Delaware",39110.0,,1226.0,,10,003
10004,"State Senate District 4 (2018), Delaware",40878.0,,1237.0,,10,004
10005,"State Senate District 5 (2018), Delaware",41850.0,,783.0,,10,005
10006,"State Senate District 6 (2018), Delaware",49576.0,,1341.0,,10,006
10007,"State Senate District 7 (2018), Delaware",42239.0,,1118.0,,10,007
10008,"State Senate District 8 (2018), Delaware",44996.0,,762.0,,10,008
10009,"State Senate District 9 (2018), Delaware",41895.0,,1226.0,,10,009
10010,"State Senate District 10 (2018), Delaware",45084.0,,1745.0,,10,010
10011,"State Senate District 11 (2018), Delaware",42799.0,,1631.0,,10,011
10012,"State Senate District 12 (2018), Delaware",48586.0,,1262.0,,10,012
10013,"State Senate District 13 (2018), Delaware",43885.0,,1590.0,,10,013
10014,"State Senate District 14 (2018), Delaware",51166.0,,1869.0,,10,014
10015,"State Senate District 15 (2018), Delaware",48325.0,,1524.0,,10,015
10016,"State Senate District 16 (2018), Delaware",46941.0,,1306.0,,10,016
10020,"State Senate District 20 (2018), Delaware",48045.0,,1264.0,,10,020
10017,"State Senate District 17 (2018), Delaware",46208.0,,892.0,,10,017
10018,"State Senate District 18 (2018), Delaware",48421.0,,1440.0,,10,018
10019,"State Senate District 19 (2018), Delaware",49788.0,,1532.0,,10,019
10021,"State Senate District 21 (2018), Delaware",42674.0,,1167.0,,10,021
11001,"Ward 1 (2018), District of Columbia",85134.0,,2164.0,,11,001
11002,"Ward 2 (2018), District of Columbia",77791.0,,1782.0,,11,002
11003,"Ward 3 (2018), District of Columbia",85067.0,,1432.0,,11,003
11004,"Ward 4 (2018), District of Columbia",87775.0,,1767.0,,11,004
11005,"Ward 5 (2018), District of Columbia",87850.0,,1960.0,,11,005
11006,"Ward 6 (2018), District of Columbia",94558.0,,1582.0,,11,006
11007,"Ward 7 (2018), District of Columbia",81299.0,,1923.0,,11,007
11008,"Ward 8 (2018), District of Columbia",85024.0,,2041.0,,11,008
12001,"State Senate District 1 (2018), Florida",507972.0,,1230.0,,12,001
12002,"State Senate District 2 (2018), Florida",515537.0,,1230.0,,12,002
12003,"State Senate District 3 (2018), Florida",485542.0,,-555555555.0,*****,12,003
12004,"State Senate District 4 (2018), Florida",504691.0,,3897.0,,12,004
12005,"State Senate District 5 (2018), Florida",490210.0,,1093.0,,12,005
12006,"State Senate District 6 (2018), Florida",500116.0,,3897.0,,12,006
12007,"State Senate District 7 (2018), Florida",536808.0,,1581.0,,12,007
12008,"State Senate District 8 (2018), Florida",490973.0,,2732.0,,12,008
12009,"State Senate District 9 (2018), Florida",505402.0,,1404.0,,12,009
12010,"State Senate District 10 (2018), Florida",498458.0,,2523.0,,12,010
12011,"State Senate District 11 (2018), Florida",543539.0,,5523.0,,12,011
12012,"State Senate District 12 (2018), Florida",531426.0,,3683.0,,12,012
12013,"State Senate District 13 (2018), Florida",524355.0,,5919.0,,12,013
12014,"State Senate District 14 (2018), Florida",497591.0,,2654.0,,12,014
12015,"State Senate District 15 (2018), Florida",591919.0,,4650.0,,12,015
12016,"State Senate District 16 (2018), Florida",496942.0,,3080.0,,12,016
12017,"State Senate District 17 (2018), Florida",513353.0,,2208.0,,12,017
12018,"State Senate District 18 (2018), Florida",509253.0,,4359.0,,12,018
12019,"State Senate District 19 (2018), Florida",542906.0,,5530.0,,12,019
12020,"State Senate District 20 (2018), Florida",526126.0,,4292.0,,12,020
12021,"State Senate District 21 (2018), Florida",542326.0,,2679.0,,12,021
12022,"State Senate District 22 (2018), Florida",540459.0,,4321.0,,12,022
12023,"State Senate District 23 (2018), Florida",514690.0,,1458.0,,12,023
12024,"State Senate District 24 (2018), Florida",493063.0,,2916.0,,12,024
12025,"State Senate District 25 (2018), Florida",504686.0,,1223.0,,12,025
12026,"State Senate District 26 (2018), Florida",494665.0,,3600.0,,12,026
12027,"State Senate District 27 (2018), Florida",537270.0,,2494.0,,12,027
12028,"State Senate District 28 (2018), Florida",552106.0,,2234.0,,12,028
12029,"State Senate District 29 (2018), Florida",513073.0,,2848.0,,12,029
12030,"State Senate District 30 (2018), Florida",511968.0,,2827.0,,12,030
12031,"State Senate District 31 (2018), Florida",520571.0,,3229.0,,12,031
12032,"State Senate District 32 (2018), Florida",509683.0,,2516.0,,12,032
12033,"State Senate District 33 (2018), Florida",512381.0,,2656.0,,12,033
12034,"State Senate District 34 (2018), Florida",490738.0,,2332.0,,12,034
12035,"State Senate District 35 (2018), Florida",508177.0,,2929.0,,12,035
12036,"State Senate District 36 (2018), Florida",499710.0,,3213.0,,12,036
12037,"State Senate District 37 (2018), Florida",512343.0,,2724.0,,12,037
12038,"State Senate District 38 (2018), Florida",503099.0,,3758.0,,12,038
12039,"State Senate District 39 (2018), Florida",520997.0,,4229.0,,12,039
12040,"State Senate District 40 (2018), Florida",503015.0,,4349.0,,12,040
13003,"State Senate District 3 (2018), Georgia",179146.0,,377.0,,13,003
13001,"State Senate District 1 (2018), Georgia",182927.0,,1917.0,,13,001
13002,"State Senate District 2 (2018), Georgia",186226.0,,1717.0,,13,002
13004,"State Senate District 4 (2018), Georgia",180823.0,,758.0,,13,004
13005,"State Senate District 5 (2018), Georgia",184819.0,,3749.0,,13,005
13006,"State Senate District 6 (2018), Georgia",193120.0,,2856.0,,13,006
13007,"State Senate District 7 (2018), Georgia",170793.0,,477.0,,13,007
13008,"State Senate District 8 (2018), Georgia",175918.0,,495.0,,13,008
13009,"State Senate District 9 (2018), Georgia",197440.0,,3312.0,,13,009
13010,"State Senate District 10 (2018), Georgia",185488.0,,2839.0,,13,010
13011,"State Senate District 11 (2018), Georgia",170290.0,,758.0,,13,011
13012,"State Senate District 12 (2018), Georgia",163949.0,,862.0,,13,012
13013,"State Senate District 13 (2018), Georgia",168447.0,,739.0,,13,013
13014,"State Senate District 14 (2018), Georgia",186076.0,,2884.0,,13,014
13015,"State Senate District 15 (2018), Georgia",169120.0,,1700.0,,13,015
13016,"State Senate District 16 (2018), Georgia",176247.0,,1214.0,,13,016
13017,"State Senate District 17 (2018), Georgia",187016.0,,2574.0,,13,017
13018,"State Senate District 18 (2018), Georgia",176646.0,,1963.0,,13,018
13019,"State Senate District 19 (2018), Georgia",179724.0,,1173.0,,13,019
13020,"State Senate District 20 (2018), Georgia",183178.0,,1639.0,,13,020
13021,"State Senate District 21 (2018), Georgia",199138.0,,2167.0,,13,021
13022,"State Senate District 22 (2018), Georgia",174348.0,,1321.0,,13,022
13023,"State Senate District 23 (2018), Georgia",168508.0,,2290.0,,13,023
13024,"State Senate District 24 (2018), Georgia",192101.0,,1712.0,,13,024
13025,"State Senate District 25 (2018), Georgia",176079.0,,1501.0,,13,025
13026,"State Senate District 26 (2018), Georgia",161148.0,,2421.0,,13,026
13027,"State Senate District 27 (2018), Georgia",217002.0,,395.0,,13,027
13028,"State Senate District 28 (2018), Georgia",187863.0,,1383.0,,13,028
13029,"State Senate District 29 (2018), Georgia",183491.0,,1854.0,,13,029
13030,"State Senate District 30 (2018), Georgia",179075.0,,2041.0,,13,030
13031,"State Senate District 31 (2018), Georgia",187032.0,,1621.0,,13,031
13032,"State Senate District 32 (2018), Georgia",183219.0,,2349.0,,13,032
13033,"State Senate District 33 (2018), Georgia",189031.0,,3110.0,,13,033
13034,"State Senate District 34 (2018), Georgia",186763.0,,2673.0,,13,034
13035,"State Senate District 35 (2018), Georgia",192566.0,,2709.0,,13,035
13036,"State Senate District 36 (2018), Georgia",193814.0,,2562.0,,13,036
13037,"State Senate District 37 (2018), Georgia",185767.0,,2794.0,,13,037
13038,"State Senate District 38 (2018), Georgia",196872.0,,3628.0,,13,038
13039,"State Senate District 39 (2018), Georgia",190248.0,,3106.0,,13,039
13040,"State Senate District 40 (2018), Georgia",186598.0,,1938.0,,13,040
13041,"State Senate District 41 (2018), Georgia",193423.0,,3545.0,,13,041
13042,"State Senate District 42 (2018), Georgia",179091.0,,2855.0,,13,042
13043,"State Senate District 43 (2018), Georgia",182166.0,,2306.0,,13,043
13044,"State Senate District 44 (2018), Georgia",184621.0,,3101.0,,13,044
13045,"State Senate District 45 (2018), Georgia",199752.0,,3102.0,,13,045
13046,"State Senate District 46 (2018), Georgia",191022.0,,1423.0,,13,046
13047,"State Senate District 47 (2018), Georgia",186694.0,,1644.0,,13,047
13048,"State Senate District 48 (2018), Georgia",191284.0,,3063.0,,13,048
13049,"State Senate District 49 (2018), Georgia",189135.0,,567.0,,13,049
13050,"State Senate District 50 (2018), Georgia",177851.0,,1222.0,,13,050
13051,"State Senate District 51 (2018), Georgia",184152.0,,803.0,,13,051
13055,"State Senate District 55 (2018), Georgia",193149.0,,3839.0,,13,055
13052,"State Senate District 52 (2018), Georgia",174801.0,,1860.0,,13,052
13053,"State Senate District 53 (2018), Georgia",173877.0,,294.0,,13,053
13054,"State Senate District 54 (2018), Georgia",175171.0,,1261.0,,13,054
13056,"State Senate District 56 (2018), Georgia",193239.0,,2154.0,,13,056
15001,"State Senate District 1 (2018), Hawaii",48774.0,,1640.0,,15,001
15002,"State Senate District 2 (2018), Hawaii",48821.0,,1709.0,,15,002
15003,"State Senate District 3 (2018), Hawaii",54021.0,,2104.0,,15,003
15004,"State Senate District 4 (2018), Hawaii",46042.0,,1994.0,,15,004
15005,"State Senate District 5 (2018), Hawaii",62521.0,,1785.0,,15,005
15006,"State Senate District 6 (2018), Hawaii",51103.0,,1614.0,,15,006
15007,"State Senate District 7 (2018), Hawaii",51732.0,,1605.0,,15,007
15008,"State Senate District 8 (2018), Hawaii",71377.0,,-555555555.0,*****,15,008
15009,"State Senate District 9 (2018), Hawaii",51701.0,,1268.0,,15,009
15010,"State Senate District 10 (2018), Hawaii",56060.0,,1399.0,,15,010
15011,"State Senate District 11 (2018), Hawaii",60259.0,,1600.0,,15,011
15012,"State Senate District 12 (2018), Hawaii",55129.0,,1370.0,,15,012
15013,"State Senate District 13 (2018), Hawaii",55362.0,,1871.0,,15,013
15017,"State Senate District 17 (2018), Hawaii",51426.0,,2021.0,,15,017
15014,"State Senate District 14 (2018), Hawaii",55897.0,,1688.0,,15,014
15015,"State Senate District 15 (2018), Hawaii",78614.0,,2101.0,,15,015
15016,"State Senate District 16 (2018), Hawaii",57945.0,,1532.0,,15,016
15018,"State Senate District 18 (2018), Hawaii",57508.0,,1552.0,,15,018
15019,"State Senate District 19 (2018), Hawaii",64860.0,,1984.0,,15,019
15020,"State Senate District 20 (2018), Hawaii",62529.0,,2025.0,,15,020
15021,"State Senate District 21 (2018), Hawaii",53025.0,,2078.0,,15,021
