geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,region
3,South Region,122289782.0,,-555555555.0,*****,3
4,West Region,76535420.0,,-555555555.0,*****,4
1,Northeast Region,56061199.0,,-555555555.0,*****,1
2,Midwest Region,68016629.0,,-555555555.0,*****,2
