geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,combined new england city and town area
710,"Augusta-Waterville, ME Combined NECTA",124233.0,,386.0,,710
715,"Boston-Worcester-Providence, MA-RI-NH-CT-ME Combined NECTA",7887673.0,,545.0,,715
720,"Bridgeport-New Haven-Stamford, CT Combined NECTA",1930895.0,,118.0,,720
725,"Claremont-Lebanon, NH-VT Combined NECTA",98785.0,,577.0,,725
770,"Pittsfield-North Adams, MA-VT Combined NECTA",108125.0,,351.0,,770
775,"Portland-Lewiston-South Portland, ME Combined NECTA",560528.0,,542.0,,775
790,"Springfield-Hartford-West Hartford, MA-CT Combined NECTA",1963027.0,,432.0,,790
