,prime_award_awarding_sub_agency_name,subaward_amount,share
1,DEPT OF THE AIR FORCE,16448398.42,95.3938384387494
2,SPACE DEVELOPMENT AGENCY,700000.0,4.059707529088694
0,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),94223.0,0.5464540321618915
