year,Ford Motor,Tesla Inc.
2002,211112564,0
2003,95060281,0
2004,6117345,0
2005,8338744,0
2006,161385632,0
2007,252082169,0
2008,36487737,0
2009,340122713,2275000
2010,1458973220,725000
2010,0,405908
2011,16560623,27787664
2011,1022336000,0
2012,16725896,72543386
2012,10625000,0
2013,53152763,201752833
2014,9982801,1010018586
2015,3110069,1119955887
2016,13081500,1200000
2017,18108014,0
2018,258912058,4918326
2019,8936097,0
2020,9416731,64533663
2021,1325230761,0
