date,followercount
2014-10-09,1085756
2014-11-11,1244750
2014-12-04,1297111
2015-01-06,1384654
2015-02-12,1598939
2015-03-07,1711149
2015-04-07,1909897
2015-05-06,2064141
2015-06-02,2175187
2015-07-04,2322855
2015-08-03,2436035
2015-09-03,2554559
2015-10-01,2692171
2015-11-07,2863269
2015-12-01,2967179
2015-12-29,3139386
2016-01-28,3321862
2016-03-02,3517509
2016-05-29,4027787
2016-07-27,4558271
2016-08-26,4896658
2016-09-29,5390357
2016-10-25,5702077
2016-11-24,6117798
2016-12-23,6448594
2017-01-23,6750101
2017-02-22,7354019
2017-03-24,7896620
2017-04-22,8307129
2017-05-23,8785548
2017-06-23,9468790
2017-07-23,10503151
2017-08-20,11603498
2017-09-20,12824855
2017-10-19,13655189
2017-11-30,15681693
2017-12-19,16694657
2018-01-18,18139157
2018-02-17,19576188
2018-03-19,20439747
2018-04-19,21314311
2018-05-18,21763742
2018-06-16,21982444
2018-07-16,22291339
2018-08-15,22321916
2018-09-14,22570705
2018-10-14,22897832
2018-11-13,23412061
2018-12-14,23678846
2019-01-12,24114836
2019-03-14,25317472
2019-04-13,25663459
2019-06-11,26877002
2019-07-11,27304173
2019-08-10,27755256
2019-09-09,28151186
2019-10-09,28570129
2019-11-08,29229013
2019-12-08,29909494
2020-01-07,30515480
2020-02-06,31091566
2020-03-07,31854931
2020-04-07,32997829
2020-05-06,33749149
2020-06-05,35645002
2020-08-04,37518586
2020-09-04,38488896
2020-10-03,39093326
2021-01-01,41256187
2021-01-31,44570931
2021-03-02,48334843
2021-04-01,50005143
2021-05-01,52462639
2021-05-31,56232508
2021-06-30,57673500
2021-07-30,58700538
2021-08-29,59526686
2021-09-28,60245470
2021-11-27,64827972
2021-12-27,67837026
2022-01-26,71628251
2022-03-27,79271181
2022-04-26,85075855
