storeNumber,name,address,city,state,zip,phone,latitude,longitude,brand,open_date
11822,State Street,1139 N State St,Chicago,IL,60610,312-260-1932,41.90259,-87.62669,ACF,2022-03-25
12520,Southport,3551 N Southport Ave,Chicago,IL,60657,773-289-1092,41.94687,-87.66372,ACF,2021-12-17
11716,Oakbrook,1810 Oakbrook Ctr,Oakbrook,IL,60523,630-230-3079,41.85416,-87.96537,ACF,2020-03-13
21716,Oakbrook,501 Oakbrook Center,Oak Brook,IL,60523,630-230-3077,41.85416,-87.96537,KID,2019-08-09
21867,Fashion Outlets Of Chicago,"5220 Fashion Outlets Way, Ste 1069",Rosemont,IL,60018,847-261-0022,41.97441,-87.86598,KID,2019-10-31
11494,Woodfield,E132 Woodfield Mall,Schaumburg,IL,60173,847-598-4787,42.04556,-88.03723,ACF,2022-11-20
11595,Chicago Po,1650 Premium Outlets,Aurora,IL,60502,630-692-1053,41.80028,-88.27391,ACF,2015-08-27
21595,Chicago Po,1650 Premium Outlets,Aurora,IL,60502,630-692-1053,41.80028,-88.27391,KID,2015-08-27
11278,Gurnee Mills Outlet,6170 W. Grand Avenue,Gurnee,IL,60031,847-855-2819,42.38481,-87.95502,ACF,2012-11-08
21278,Gurnee Mills Outlet,6170 W. Grand Avenue,Gurnee,IL,60031,847-855-2819,42.38481,-87.95502,KID,2012-11-08
11910,Cielo Vista,8401 Gateway Blvd W,El Paso,TX,79925,915-261-1058,31.77552,-106.37915,ACF,2021-07-09
20191,Cielo Vista,8401 Gateway Blvd W,El Paso,TX,79925,915-772-7900,31.77636,-106.37923,KID,2008-05-29
21505,Queens Center,"90-15 Queens Boulevard, Space 3007",Elmhurst,NY,11373,347-396-3395,40.7348,-73.8694,KID,2020-09-21
11482,Fifth Avenue,668 5th Ave,New York,NY,10103,212-381-0110,40.76021,-73.97604,ACF,2023-07-21
21488,Fifth Avenue,668 5th Ave,New York,NY,10019,,40.76021,-73.97604,KID,2023-07-21
11113,Flatiron,139 5th Ave,New York,NY,10010,332-910-9744,40.74,-73.99069,ACF,2023-11-03
11925,547 Broadway,547 Broadway,New York,NY,10012,212-381-1387,40.72305,-73.99696,ACF,2023-09-01
21875,Kings Plaza,"5100 Kings Plaza,  Ste 150",Brooklyn,NY,11234,347-549-4099,40.6097,-73.9194,KID,2019-10-25
11492,Roosevelt Field,630 Old Country Rd,Garden City,NY,11530,516 329 9816,40.73997,-73.61357,ACF,2022-11-11
21828,Roosevelt Field,630 Old Country Rd,Garden City,NY,11530,516-240-2248,40.73997,-73.61357,KID,2022-11-23
21215,American Dream,1 American Dream Way,East Rutherford,NJ,07073,201-549-5008,40.8097,-74.11805,KID,2020-10-01
11674,Garden State,1 Garden State Plaza,Paramus,NJ,07652,201-561-0058,40.91811,-74.07636,ACF,2019-10-04
21253,Garden State,1 Garden State Plaza,Paramus,NJ,07652,201-561-0057,40.91811,-74.07636,KID,2019-08-30
10436,Jersey Gardens Outlet,651 Kapkowski Road,Elizabeth,NJ,07201,908-352-4649,40.66553,-74.17184,ACF,2006-09-21
21153,Jersey Gardens Outlet,"651 Kapkowski Rd, Ste 1098",Elizabeth,NJ,07201-4913,908-345-8002,40.66553,-74.17184,KID,2020-07-24
11518,Greenwich Ave,107 Greenwich Ave,Greenwich,CT,06830,203-742-5807,41.02924,-73.62599,ACF,2023-07-14
11663,Willowbrook,1400 Willowbrook Mall,Wayne,NJ,07470-6905,973-256-4165,40.89027,-74.26077,ACF,2018-05-11
21663,Willowbrook,"1400 Willowbrook Mall, Space 1740",Wayne,NJ,07470,973-200-8449,40.89027,-74.26077,KID,2018-10-05
10673,Palisades,2550 Palisades Center Drive,West Nyack,NY,10994,845-348-9108,41.09878,-73.95455,ACF,1998-03-27
21635,Palisades,2550 Palisades Center Dr,West Nyack,NY,10994,845-348-9108,41.09878,-73.95455,KID,2022-01-13
11479,Deer Park Outlet,152 The Arches Circle,Deer Park,NY,11729,631-586-1701,40.76498,-73.30382,ACF,2016-05-14
21479,Deer Park Outlet,152 The Arches Circle,Deer Park,NY,11729,631-586-1701,40.76498,-73.30382,KID,2016-05-14
11626,Menlo Park,"55 Parsonage Rd, 1011b",Edison,NJ,08837,732-476-1315,40.54804,-74.33585,ACF,2023-11-03
11505,Sono Collection,"105 West Avenue, Space 1600",Norwalk,CT,06854,203-642-7002,41.10509,-73.41909,ACF,2019-10-11
21500,Sono Collection,"105 West Avenue, Space 3750",Norwalk,CT,06854,203-642-7013,41.10509,-73.41909,KID,2019-11-22
10924,Freehold Raceway,"3710 Us Highway 9, Ste 1404",Freehold,NJ,07728,732-294-0060,40.25454,-74.29736,ACF,2004-05-27
21924,Freehold Raceway,"3710us Highway 9, Ste 1404",Freehold,NJ,07728,732-294-0060,40.25454,-74.29736,KID,2018-08-17
11422,Bridgewater Commons,400 Commons Way,Bridgewater,NJ,08807,908-333-6040,40.58645,-74.61821,ACF,2019-09-27
20179,Bridgewater Commons,"400 Commons Way, Suite 253",Bridgewater,NJ,08807,908-725-0203,40.58645,-74.61821,KID,2007-09-06
11555,Woodbury Commons,629 Race Track Ln,Central Valley,NY,10917,845-827-3267,41.3169,-74.125,ACF,2020-07-01
11669,Danbury Fair,"7 Backus Avenue, Ste 193",Danbury,CT,06810,203-798-8758,41.37972,-73.4807,ACF,2016-02-03
11558,Riverhead Outlet,200 Tanger Mall Drive,Riverhead,NY,11901,631-369-2640,40.92109,-72.71293,ACF,2015-12-19
24010,Riverhead Outlet,1770 West Main Street,Riverhead,NY,11901,631-284-6011,40.92109,-72.71293,KID,2020-06-26
11690,Glendale Galleria,2151 Glendale Galleria,Glendale,CA,91210,818-550-7492,34.14518,-118.25855,ACF,2018-11-22
20142,Glendale Galleria,2229 Glendale Galleria,Glendale,CA,91210,818-502-0728,34.14518,-118.25855,KID,2007-02-01
11682,Westfield Century City,10250 Santa Monica Blvd Ste 1707,Los Angeles,CA,90067,310-277-0823,34.05968,-118.41949,ACF,2017-08-25
10917,Universal Citywalk,100 Universal City Plaza,Universal City,CA,91608,818-752-7530,34.13596,-118.35343,ACF,2004-03-04
21917,Universal Citywalk,100 Universal City Plaza,Universal City,CA,91608,818-752-7530,34.13596,-118.35343,KID,2019-12-13
11217,Del Amo Fashion,3525 W Carson St,Torrance,CA,90503,424-409-2220,33.83123,-118.35214,ACF,2022-08-05
11697,Third Street Promenade,1325 3rd St. Promenade,Santa Monica,CA,90401,310-899-2966,34.01612,-118.49643,ACF,2018-09-10
10491,Los Cerritos,143 Los Cerritos Center,Cerritos,CA,90703,562-860-0184,33.86344,-118.09366,ACF,2003-11-14
21491,Los Cerritos,143 Los Cerritos Center,Cerritos,CA,90703,562-860-0184,33.86344,-118.09366,KID,2017-01-27
11423,Santa Anita,"400 S Baldwin Ave, Suite A8",Arcadia,CA,91007,626-701-5105,34.1328,-118.05157,ACF,2019-11-15
21423,Santa Anita,"400 S. Baldwin Avenue, Suite 231",Arcadia,CA,91007,626-701-5100,34.1328,-118.05157,KID,2019-07-12
10762,Brea,2118 Brea Mall,Brea,CA,92821,714-671-3005,33.9172,-117.88626,ACF,2000-09-01
21762,Brea,2118 Brea Mall,Brea,CA,92821,714-671-3005,33.9172,-117.88626,KID,2021-01-22
10904,Northridge Fashion,9301 Tampa Ave Unit 160,Northridge,CA,91324,818-709-5678,34.23895,-118.55707,ACF,2003-05-15
11740,Topanga,6600 Topanga Canyon Blvd,Canoga Park,CA,91303,818-887-5290,34.19046,-118.60494,ACF,2023-10-29
20135,Topanga,6600 Topanga Canyon Blvd Unit 83,Canoga Park,CA,91303,818-887-7966,34.19046,-118.60494,KID,2006-10-27
10913,Main Place,"2800 North Main Street, Spc 240",Santa Ana,CA,92705,714-835-8464,33.77632,-117.86926,ACF,2003-08-08
11796,South Coast,"3333 Bristol Avenue, Space 1821",Costa Mesa,CA,92626,714-656-0010,33.69353,-117.88714,ACF,2019-06-25
21373,South Coast,"3333 Bristol Avenue, Space 1024",Costa Mesa,CA,92626,714-656-0011,33.69353,-117.88714,KID,2019-05-24
11493,Ontario Mills Outlet,1 Mills Cir,Ontario,CA,91764,909-987-3125,34.07296,-117.55109,ACF,2022-05-06
10916,Victoria Gardens,12577 North Main Street,Rancho Cucamonga,CA,91739,909-646-8878,34.11207,-117.53219,ACF,2004-10-28
21916,Victoria Gardens,12577 North Main Street,Rancho Cucamonga,CA,91739,909-646-8878,34.11207,-117.53219,KID,2023-10-06
10738,Mission Viejo,916 The Shops At Mission Viejo,Mission Viejo,CA,92691,949-365-0511,33.55945,-117.6681,ACF,1999-11-06
21738,Mission Viejo,916 The Shops At Mission Viejo,Mission Viejo,CA,92691,949-365-0511,33.55945,-117.6681,KID,2018-08-17
10945,Cherry Hill,"2000 Route 38, Ste 1665",Cherry Hill,NJ,08002,856-661-1823,39.94103,-75.02501,ACF,2005-07-28
21945,Cherry Hill,"2000 Route 38, Suite 1665",Cherry Hill,NJ,08002,856-661-1823,39.94103,-75.02501,KID,2017-01-27
11583,Pocono Po,1000 Premium Outlets Drive,Tannersville,PA,18372,570-629-1358,41.04893,-75.31245,ACF,2015-08-08
10450,Memorial City,"303 Memorial City Mall, Suite 774",Houston,TX,77024,713-827-1770,29.78214,-95.53878,ACF,2001-11-15
21114,Memorial City,"303 Memorial City Mall, Ste 204",Houston,TX,77024,281-605-1022,29.78214,-95.53878,KID,2020-05-27
11284,Katy Mills Mega Outlet,5000 Katy Mills Circle,Katy,TX,77494,281-644-4778,29.77574,-95.80937,ACF,2012-11-08
21284,Katy Mills Mega Outlet,5000 Katy Mills Circle,Katy,TX,77494,281-644-4778,29.77574,-95.80937,KID,2012-11-08
10401,Willowbrook,1480 Willowbrook Mall,Houston,TX,77070,832-237-9700,29.96079,-95.54732,ACF,2001-09-06
21401,Willowbrook,1480 Willowbrook Mall,Houston,TX,77070,832-237-9700,29.96079,-95.54732,KID,2019-01-25
11920,Woodlands,1201 Lake Woodlands Dr,The Woodlands,TX,77380,346-372-3964,30.16253,-95.45602,ACF,2022-11-04
21638,Woodlands,1201 Lake Woodlands Drive,The Woodlands,TX,77380,346-786-3946,30.16253,-95.45602,KID,2022-08-05
20185,Deerbrook,20131 Highway 59 North,Humble,TX,77338,281-446-1400,30.01152,-95.26857,KID,2008-05-08
21144,Baybrook,1300 Baybrook Mall Drive,Friendswood,TX,77546,281-709-9312,29.53955,-95.1484,KID,2017-11-17
11384,Baybrook,500 Baybrook Mall Dr,Friendswood,TX,77546,281-709-9506,29.53955,-95.14592,ACF,2022-10-21
11560,Atlantic City Outlets,33 N. Arkansas Avenue,Atlantic City,NJ,08401,609-343-1481,39.35945,-74.43771,ACF,2014-10-25
21149,La Plaza,"2200 S. 10th Street, Space R06",Mcallen,TX,78503,956-217-5986,26.18505,-98.2366,KID,2019-05-24
11218,La Plaza,2200 S 10th St Ste Q12f,Mcallen,TX,78503,956-278-8354,26.18754,-98.23582,ACF,2023-11-17
11958,Northpark,8687 N Central Expy,Dallas,TX,75225,214-210-5828,32.87032,-96.77412,ACF,2022-12-23
11489,Grapevine Mills Outlet,3000 Grapevine Mills Pkwy,Grapevine,TX,76051,469-451-3900,32.96653,-97.04269,ACF,2022-08-05
10948,Galleria,13350 Dallas Pkwy Ste 2640,Dallas,TX,75240,972-233-1832,32.92995,-96.81959,ACF,2005-07-30
20242,Stonebriar,"2601 Preston Rd, Space # 2232",Frisco,TX,75034,972-712-8935,33.0992,-96.8115,KID,2000-08-04
11357,University Towne Center,4353 La Jolla Village Dr Suite 183,San Diego,CA,92122,858-320-0546,32.87081,-117.21094,ACF,2015-08-22
10487,Sunvalley,428 Sunvalley Mall,Concord,CA,94520,925-674-1234,37.96774,-122.0604,ACF,2002-11-22
