,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
5979,190619034,2019-09-11,1500,6,Hollywood,625,60,M,W,nan,,I,41.18(D)LAM,,FRANKLIN                     AV,"34.1052, -118.3375",2019,3,11,9,September,Wednesday,15,00,False,34.1052,-118.3375,White,Infraction,POINT (-118.3375 34.1052)
7422,190618776,2019-09-05,1300,6,Hollywood,636,40,M,W,nan,,I,41.18(A)LAM,,HIGHLAND                     AV,"34.103, -118.3387",2019,3,5,9,September,Thursday,13,00,False,34.103,-118.3387,White,Infraction,POINT (-118.3387 34.103)
7671,190618578,2019-09-05,1000,6,Hollywood,637,33,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1700    TAMARIND                     AV,"34.103, -118.3196",2019,3,5,9,September,Thursday,10,00,False,34.103,-118.3196,White,Misdemeanor,POINT (-118.3196 34.103)
11693,190617782,2019-08-21,1630,6,Hollywood,636,28,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,YUCCA,"34.1032, -118.3374",2019,3,21,8,August,Wednesday,16,30,False,34.1032,-118.3374,White,Misdemeanor,POINT (-118.3374 34.1032)
14974,190617095,2019-08-09,2030,6,Hollywood,646,52,M,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,WILCOX,"34.0998, -118.331",2019,3,9,8,August,Friday,20,30,False,34.0998,-118.331,White,Misdemeanor,POINT (-118.331 34.0998)
15014,190617429,2019-08-09,1010,6,Hollywood,663,44,F,W,nan,,I,41.18(D)LAM,,900 N  HIGHLAND                     AV,"34.0871, -118.3386",2019,3,9,8,August,Friday,10,10,False,34.0871,-118.3386,White,Infraction,POINT (-118.3386 34.0871)
15789,190617008,2019-08-06,1230,6,Hollywood,637,61,M,W,nan,,I,41.18(D)LAM,,GOWER,"34.1043, -118.3224",2019,3,6,8,August,Tuesday,12,30,False,34.1043,-118.3224,White,Infraction,POINT (-118.3224 34.1043)
15840,190617010,2019-08-06,1130,6,Hollywood,638,27,M,H,nan,,I,41.18(D)LAM,,TAFT,"34.1038, -118.3151",2019,3,6,8,August,Tuesday,11,30,False,34.1038,-118.3151,Hispanic,Infraction,POINT (-118.3151 34.1038)
15857,190617009,2019-08-06,1240,6,Hollywood,637,36,M,W,nan,,I,41.18(D)LAM,,GOWER,"34.104, -118.3224",2019,3,6,8,August,Tuesday,12,40,False,34.104,-118.3224,White,Infraction,POINT (-118.3224 34.104)
16045,190616852,2019-08-05,0900,6,Hollywood,663,49,F,W,24,Miscellaneous Other Violations,M,41.18LAMC,LOITERING (GENERALLY),MANSFIELD,"34.0889, -118.3404",2019,3,5,8,August,Monday,09,00,False,34.0889,-118.3404,White,Misdemeanor,POINT (-118.3404 34.0889)
