,arrest_date,year,weekday,total
0,2010-01-01,2010,Friday,5
1,2010-01-02,2010,Saturday,11
2,2010-01-03,2010,Sunday,8
3,2010-01-04,2010,Monday,4
4,2010-01-06,2010,Wednesday,4
5,2010-01-07,2010,Thursday,5
6,2010-01-08,2010,Friday,4
7,2010-01-11,2010,Monday,2
8,2010-01-12,2010,Tuesday,2
9,2010-01-13,2010,Wednesday,3
10,2010-01-14,2010,Thursday,4
11,2010-01-15,2010,Friday,2
12,2010-01-16,2010,Saturday,2
13,2010-01-18,2010,Monday,1
14,2010-01-19,2010,Tuesday,1
15,2010-01-20,2010,Wednesday,2
16,2010-01-21,2010,Thursday,1
17,2010-01-22,2010,Friday,3
18,2010-01-23,2010,Saturday,2
19,2010-01-25,2010,Monday,5
20,2010-01-26,2010,Tuesday,4
21,2010-01-27,2010,Wednesday,2
22,2010-01-28,2010,Thursday,5
23,2010-01-29,2010,Friday,7
24,2010-01-31,2010,Sunday,2
25,2010-02-03,2010,Wednesday,9
26,2010-02-04,2010,Thursday,5
27,2010-02-05,2010,Friday,1
28,2010-02-06,2010,Saturday,4
29,2010-02-08,2010,Monday,1
30,2010-02-09,2010,Tuesday,1
31,2010-02-10,2010,Wednesday,3
32,2010-02-11,2010,Thursday,4
33,2010-02-12,2010,Friday,7
34,2010-02-13,2010,Saturday,1
35,2010-02-14,2010,Sunday,1
36,2010-02-15,2010,Monday,7
37,2010-02-16,2010,Tuesday,2
38,2010-02-17,2010,Wednesday,1
39,2010-02-18,2010,Thursday,2
40,2010-02-20,2010,Saturday,1
41,2010-02-22,2010,Monday,1
42,2010-02-24,2010,Wednesday,3
43,2010-02-25,2010,Thursday,4
44,2010-02-26,2010,Friday,3
45,2010-02-28,2010,Sunday,1
46,2010-03-01,2010,Monday,1
47,2010-03-02,2010,Tuesday,3
48,2010-03-03,2010,Wednesday,5
49,2010-03-04,2010,Thursday,2
50,2010-03-05,2010,Friday,5
51,2010-03-06,2010,Saturday,3
52,2010-03-07,2010,Sunday,2
53,2010-03-08,2010,Monday,2
54,2010-03-09,2010,Tuesday,2
55,2010-03-10,2010,Wednesday,3
56,2010-03-11,2010,Thursday,10
57,2010-03-12,2010,Friday,4
58,2010-03-13,2010,Saturday,5
59,2010-03-14,2010,Sunday,1
60,2010-03-16,2010,Tuesday,2
61,2010-03-17,2010,Wednesday,4
62,2010-03-18,2010,Thursday,4
63,2010-03-19,2010,Friday,5
64,2010-03-20,2010,Saturday,5
65,2010-03-21,2010,Sunday,3
66,2010-03-22,2010,Monday,3
67,2010-03-23,2010,Tuesday,4
68,2010-03-24,2010,Wednesday,1
69,2010-03-25,2010,Thursday,6
70,2010-03-26,2010,Friday,1
71,2010-03-27,2010,Saturday,4
72,2010-03-28,2010,Sunday,2
