,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
1764,192109548,2019-05-03,1350,21,Topanga,2187,37,F,W,nan,,I,41.18DLAMC,,DON PIO,"34.1685, -118.6038",2019,2,3,5,May,Friday,13,50,False,34.1685,-118.6038,White,Infraction,POINT (-118.6038 34.1685)
1857,190509256,2019-04-30,1430,5,Harbor,566,51,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,"33.7369, -118.2814",2019,2,30,4,April,Tuesday,14,30,False,33.7369,-118.2814,White,Misdemeanor,POINT (-118.2814 33.7369)
1865,191411404,2019-04-24,1610,14,Pacific,1412,57,F,W,nan,,I,41.18(D)LAM,,MARKET,"33.9933, -118.4765",2019,2,24,4,April,Wednesday,16,10,False,33.9933,-118.4765,White,Infraction,POINT (-118.4765 33.9933)
1940,190112602,2019-04-27,1605,1,Central,162,39,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7TH,"34.048, -118.2577",2019,2,27,4,April,Saturday,16,05,False,34.048,-118.2577,White,Misdemeanor,POINT (-118.2577 34.048)
1959,190112668,2019-05-02,1403,1,Central,176,51,M,O,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,7TH,"34.0419, -118.2485",2019,2,2,5,May,Thursday,14,03,False,34.0419,-118.2485,Other,Misdemeanor,POINT (-118.2485 34.0419)
2037,190112597,2019-04-30,0900,1,Central,176,33,M,O,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,7TH,"34.0419, -118.2485",2019,2,30,4,April,Tuesday,09,00,False,34.0419,-118.2485,Other,Misdemeanor,POINT (-118.2485 34.0419)
2183,192109547,2019-05-03,1355,21,Topanga,2187,31,M,B,nan,,I,41.18DLAMC,,DON PIO,"34.1685, -118.6038",2019,2,3,5,May,Friday,13,55,False,34.1685,-118.6038,Black,Infraction,POINT (-118.6038 34.1685)
2199,190112607,2019-04-26,1545,1,Central,143,42,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,4TH,"34.0495, -118.2494",2019,2,26,4,April,Friday,15,45,False,34.0495,-118.2494,White,Misdemeanor,POINT (-118.2494 34.0495)
2250,190509255,2019-04-29,1030,5,Harbor,566,48,F,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,"33.7369, -118.2814",2019,2,29,4,April,Monday,10,30,False,33.7369,-118.2814,Hispanic,Misdemeanor,POINT (-118.2814 33.7369)
2297,190112601,2019-04-27,1530,1,Central,162,32,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7TH,"34.0467, -118.2556",2019,2,27,4,April,Saturday,15,30,False,34.0467,-118.2556,Hispanic,Misdemeanor,POINT (-118.2556 34.0467)
2351,190112598,2019-04-30,0850,1,Central,176,51,M,O,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,7TH,"34.0419, -118.2485",2019,2,30,4,April,Tuesday,08,50,False,34.0419,-118.2485,Other,Misdemeanor,POINT (-118.2485 34.0419)
2354,191411396,2019-04-27,1035,14,Pacific,1413,39,M,W,nan,,I,41.18(A)LAM,,3RD,"33.997, -118.4761",2019,2,27,4,April,Saturday,10,35,False,33.997,-118.4761,White,Infraction,POINT (-118.4761 33.997)
2372,190112730,2019-05-01,1450,1,Central,135,28,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,3RD,"34.0485, -118.2447",2019,2,1,5,May,Wednesday,14,50,False,34.0485,-118.2447,White,Misdemeanor,POINT (-118.2447 34.0485)
2421,191411400,2019-04-29,0850,14,Pacific,1412,26,M,W,nan,,I,41.18(D)LAM,,PARK,"33.9923, -118.4759",2019,2,29,4,April,Monday,08,50,False,33.9923,-118.4759,White,Infraction,POINT (-118.4759 33.9923)
2453,190509254,2019-04-29,1030,5,Harbor,566,56,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,"33.7369, -118.2814",2019,2,29,4,April,Monday,10,30,False,33.7369,-118.2814,Black,Misdemeanor,POINT (-118.2814 33.7369)
2537,191411391,2019-04-27,1800,14,Pacific,1431,23,M,W,nan,,I,41.18(D)LAM,,PARK ROW,"33.9885, -118.4724",2019,2,27,4,April,Saturday,18,00,False,33.9885,-118.4724,White,Infraction,POINT (-118.4724 33.9885)
2546,192109546,2019-05-03,2000,21,Topanga,2187,61,M,W,nan,,I,41.18DLAMC,,DON PIO,"34.1685, -118.6038",2019,2,3,5,May,Friday,20,00,False,34.1685,-118.6038,White,Infraction,POINT (-118.6038 34.1685)
3418,191110051,2019-05-06,1050,11,Northeast,1109,64,F,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,7400 N  FIGUEROA                     ST,"34.1382, -118.1874",2019,2,6,5,May,Monday,10,50,False,34.1382,-118.1874,White,Misdemeanor,POINT (-118.1874 34.1382)
