,name,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010_rate,2011_rate,2012_rate,2013_rate,2014_rate,2015_rate,2016_rate,2017_rate,2018_rate,2019_rate
0,Venice,"MULTIPOLYGON (((-118.4518110000002 33.96451099912501, -118.4535882744398 33.96378291932817, -118.4518175321493 33.96451950881536, -118.4518110000002 33.96451099912501)), ((-118.4560198503564 34.00987941955189, -118.4443573342836 33.99462071443707, -118.4447130000001 33.9943749991247, -118.448472 33.99335899912476, -118.4470998024884 33.99061682183064, -118.447211 33.99081099912475, -118.447811 33.99051099912464, -118.4427110000001 33.98491099912471, -118.441724931572 33.98340610119114, -118.4483019859807 33.98466100258486, -118.4550509822593 33.9864160007448, -118.4634799812206 33.98104900637726, -118.4619749861625 33.97936600244145, -118.4617999768482 33.97827500434862, -118.4614209955269 33.97835699898733, -118.4576019789814 33.9737210075143, -118.457477994069 33.97378599553219, -118.4549419826988 33.97040000326231, -118.4545319907947 33.96983899849161, -118.4547609807173 33.96967500853244, -118.4530244477776 33.96679519917484, -118.4566200243959 33.9649909956888, -118.4619310037422 33.96266701475156, -118.4619939804057 33.96282400920781, -118.459657004284 33.9638330037385, -118.4596320135444 33.96580301058025, -118.4606380091865 33.96862601712591, -118.4635840227829 33.97307200121304, -118.4678900061165 33.97844301094603, -118.4750289922919 33.98402999328032, -118.4756600216172 33.98443400146687, -118.4765809961329 33.98459099592305, -118.4773810154694 33.98546898636687, -118.4792060234098 33.98805497547786, -118.4811839746761 33.99013299492628, -118.4819060229053 33.99135101726337, -118.4839664626348 33.99346275589131, -118.481452 33.9931609991247, -118.483344 33.99550999912474, -118.482025 33.99636499912467, -118.4817370000002 33.99644899912465, -118.481411 33.9963099991247, -118.4799170000001 33.99735299912469, -118.457844 34.00903699912456, -118.457106 34.00943399912447, -118.45698 34.00965599912454, -118.4560198503564 34.00987941955189)))",93,45,496,857,788,835,704,600,415,235,1091.534800228592,567.4931945502371,8.52011314531829,4.122635392895947,45.44060344169754,78.51330070470725,72.19192643560012,76.49779006818034,64.49634036886103,54.96847190527928,38.01985973448484,21.529318162901053
1,Skid Row,"MULTIPOLYGON (((-118.2381244 34.04325639999996, -118.2397552 34.04382530000002, -118.2422872 34.04537219999999, -118.2410641 34.0466523, -118.2447548 34.04848360000003, -118.2453986 34.04782570000003, -118.2461496 34.047239, -118.2469864 34.0466523, -118.2476087 34.04599450000002, -118.2504411 34.043203, -118.2467504 34.04074929999997, -118.2479949 34.03952250000003, -118.2467933 34.03868670000002, -118.2449909 34.03744210000002, -118.2460638 34.0359662, -118.2432528 34.0336545, -118.2429953 34.0342591, -118.2411714 34.03683749999996, -118.238575 34.0349526, -118.2381244 34.04325639999996)))",57,220,1539,2055,1853,1332,1894,2225,667,131,1560.6995153109085,1511.2343356012211,3.6522084770843906,14.096243244887122,98.60962888127855,131.67172667383198,118.72881242170837,85.3463454644984,121.35583957189186,142.56427827215384,42.737246565180506,8.393672114000967
2,Downtown,"POLYGON ((-118.2402070000001 34.05871099912385, -118.239507 34.05841099912376, -118.237706 34.05841099912376, -118.229806 34.05611099912387, -118.227306 34.05511099912379, -118.2289060000002 34.05321099912383, -118.230306 34.04801199912404, -118.228406 34.03861199912411, -118.227406 34.03451199912409, -118.2264640000001 34.02943499912414, -118.2262060000001 34.02931199912413, -118.223906 34.01851299912442, -118.2229128088097 34.01494244501524, -118.223232 34.01494099912448, -118.223395 34.01536899912441, -118.223705 34.01536299912441, -118.223692 34.01494199912447, -118.225696 34.01493699912441, -118.225707 34.01531899912437, -118.2275010000001 34.01528099912441, -118.227673 34.01492099912441, -118.2397081790099 34.01470622792806, -118.2395060000002 34.0200129991243, -118.2440060000001 34.02091299912429, -118.2533070000001 34.02591299912427, -118.2741070000001 34.03541199912403, -118.274007 34.03841199912404, -118.2736010000001 34.04113399912407, -118.272807 34.04291199912408, -118.271807 34.04441199912395, -118.2712070000001 34.04511199912397, -118.270507 34.04561199912394, -118.2609610000002 34.05126499912385, -118.26148 34.05157199912387, -118.2607450000001 34.05197799912394, -118.259729 34.05299999912385, -118.259807 34.05311099912405, -118.259107 34.05391099912394, -118.255793 34.0574249991239, -118.254207 34.05931099912385, -118.252307 34.06231099912379, -118.249307 34.06531099912374, -118.2446070000001 34.06131099912382, -118.2402070000001 34.05871099912385), (-118.2381244 34.04325639999996, -118.2397552 34.04382530000002, -118.2422872 34.04537219999999, -118.2410641 34.0466523, -118.2447548 34.04848360000003, -118.2453986 34.04782570000003, -118.2461496 34.047239, -118.2469864 34.0466523, -118.2476087 34.04599450000002, -118.2504411 34.043203, -118.2467504 34.04074929999997, -118.2479949 34.03952250000003, -118.2467933 34.03868670000002, -118.2449909 34.03744210000002, -118.2460638 34.0359662, -118.2432528 34.0336545, -118.2429953 34.0342591, -118.2411714 34.03683749999996, -118.238575 34.0349526, -118.2381244 34.04325639999996))",39,132,618,945,780,1170,1401,1520,657,120,2477.656049884622,2298.8626909677564,1.5740683619833402,5.327615994405152,24.94292942835139,38.14088723267324,31.481367239666803,47.22205085950021,56.545378849709216,61.348305390119926,26.516997790334727,4.843287267641047
3,Hollywood,"MULTIPOLYGON (((-118.32691 34.10520799999951, -118.32411 34.10510799999972, -118.309409 34.10530899999958, -118.309309 34.08360899999958, -118.319809 34.08350899999959, -118.324009 34.08360899999972, -118.34411 34.0833089999996, -118.344110821295 34.0888933953935, -118.3433879999999 34.08892799999961, -118.343382 34.09432799999974, -118.361641 34.09453599999972, -118.361652 34.09717799999962, -118.3617941995414 34.0971760045851, -118.361711 34.10120799999961, -118.359411 34.10160799999958, -118.35401 34.10160799999958, -118.35401 34.10330799999954, -118.34581 34.10330799999954, -118.34591 34.10370799999959, -118.34391 34.10400799999953, -118.33831 34.10390799999959, -118.33771 34.10450799999954, -118.33751 34.10510799999962, -118.33061 34.1053079999996, -118.33051 34.10510799999962, -118.32921 34.10520799999951, -118.32811 34.10550799999956, -118.32691 34.10520799999951)))",589,560,817,799,460,535,613,721,706,108,1191.5390960344776,634.890246427343,49.43186522038863,46.99803824009785,68.56678078957133,67.05612956042532,38.60553141150895,44.899911532950625,51.446066859249974,60.509974234125984,59.25109820983765,9.063907374876013
4,Westlake,"MULTIPOLYGON (((-118.280308 34.07690999912365, -118.2762940000002 34.07589899912359, -118.2730080000001 34.07480999912358, -118.265307 34.07120999912366, -118.261318 34.06974699912364, -118.2599070000001 34.0646109991238, -118.2595070000001 34.06191099912397, -118.256595 34.05895499912376, -118.2552340000001 34.05805899912392, -118.259107 34.05391099912394, -118.259807 34.05311099912405, -118.259729 34.05299999912385, -118.2607450000001 34.05197799912394, -118.26148 34.05157199912387, -118.2609610000002 34.05126499912385, -118.268507 34.04681199912396, -118.2786080000001 34.05141099912389, -118.2815820000002 34.05259699912389, -118.282619 34.05282799912396, -118.284208 34.05261099912396, -118.289208 34.05251099912384, -118.289208 34.05991099912394, -118.2879080000002 34.05991099912378, -118.287913 34.06200699912378, -118.2872080000001 34.06201099912385, -118.2871080000001 34.06780999912369, -118.286908 34.0690099991236, -118.286908 34.07650999912369, -118.2857080000001 34.07680999912369, -118.2845080000001 34.0768099991236, -118.2845080000001 34.07790999912354, -118.280308 34.07690999912365)))",2,12,38,37,18,17,72,65,118,60,1239.655587531912,921.2199873780933,0.1613351337351605,0.968010802410963,3.0653675409680496,2.9846999741004696,1.4520162036164446,1.3713486367488643,5.808064814465778,5.243391846392717,9.51877289037447,4.840054012054815
5,Sawtelle,"MULTIPOLYGON (((-118.443912 34.04720899912407, -118.434793 34.0366589991241, -118.4346080000001 34.03625899912408, -118.434618 34.03564399912414, -118.434397 34.03532799912421, -118.4308350000001 34.03100699912419, -118.431313 34.03052499912426, -118.4314530000001 34.02992799912413, -118.430611 34.02790999912428, -118.430775 34.02743399912434, -118.4302980000001 34.02681999912421, -118.4410120000001 34.02150999912428, -118.4428120000001 34.02070999912439, -118.4448120000001 34.02010999912427, -118.4443583816545 34.01772957160596, -118.445927 34.01941999912436, -118.4529050000001 34.02803699912445, -118.457068 34.02979899912421, -118.4576150000001 34.03165699912417, -118.459175 34.03132799912427, -118.4708841951772 34.04133074650058, -118.4592294116747 34.05079463890208, -118.4568410000001 34.04802399912398, -118.454243 34.04941699912403, -118.4522220000001 34.04705999912404, -118.448175 34.04957799912402, -118.449095 34.05199599912397, -118.4483954298397 34.052404993912, -118.443912 34.04720899912407)))",2,4,9,3,12,26,88,169,245,53,267.71184815739247,147.92009009380746,0.7470719035282163,1.4941438070564326,3.3618235658769735,1.1206078552923244,4.482431421169298,9.711934745866813,32.87116375524152,63.12757584813428,91.5163081822065,19.79740544349773
6,San Pedro,"MULTIPOLYGON (((-118.243705 33.76171699912748, -118.241153 33.75854099912759, -118.240767 33.7582959991276, -118.248966 33.75590199912767, -118.243474237828 33.74281264060856, -118.2442960183985 33.74254900214625, -118.243955986505 33.74170699836747, -118.2431144337411 33.74195511570851, -118.2371529810927 33.72767798639429, -118.2511719967701 33.72359397343936, -118.2461460170785 33.71657699468497, -118.2458900066818 33.71604098278168, -118.2459930211406 33.71572599424, -118.2472870153259 33.71531698790536, -118.2576760077139 33.71682700730406, -118.2603199753409 33.72372097900809, -118.2580029918108 33.72869097944334, -118.2410009762426 33.733659980249, -118.2471430160543 33.74860102268353, -118.2478129783211 33.74913498271549, -118.2499289836935 33.75003101910366, -118.2505640115372 33.7506969828523, -118.2517319997833 33.74971797720914, -118.2516489779161 33.74964900276797, -118.2520839746196 33.74922600161943, -118.2535400140209 33.74670798731958, -118.2533589758427 33.74651700545779, -118.2535979925366 33.74659797545385, -118.2541320051806 33.74545297868804, -118.2538080199726 33.74481900308609, -118.253242019182 33.74453700232031, -118.2529590187867 33.74446097786032, -118.2524300042905 33.74475097566256, -118.2521719946347 33.7446550112229, -118.2528240161812 33.74302398403292, -118.2532680095511 33.74241799805932, -118.2501749977944 33.7350090066731, -118.2479439824082 33.73551397744728, -118.2478039816548 33.73536498002772, -118.2468259756412 33.73554002042837, -118.248053994274 33.73509097629867, -118.2479800216852 33.7348380174029, -118.2604489801688 33.73123098559386, -118.2605419983317 33.73142501895649, -118.2611020013449 33.73170602009277, -118.2626410100014 33.73128101968484, -118.2625599873933 33.73106799336021, -118.2609939887382 33.73158901081969, -118.2609070209647 33.73139297819786, -118.2612360043207 33.73130401116532, -118.261209014322 33.73115901226431, -118.2636050212011 33.73047400294138, -118.2642619882834 33.73046900479349, -118.2642629879129 33.73071901741268, -118.2626709988887 33.73103300632501, -118.2627670159406 33.73124198151915, -118.26365500268 33.73096897741976, -118.2646300098051 33.73102700854745, -118.2649559942723 33.73087701149841, -118.2634910108168 33.73256601720404, -118.2635010071126 33.73313701614229, -118.2638669767631 33.73312901910578, -118.2638429856531 33.73365498210102, -118.2634409767257 33.73364498580536, -118.263462021559 33.73386400990733, -118.2636330108293 33.73385701250043, -118.2636040215714 33.73416800252395, -118.2634339793187 33.734292009204, -118.2641600260662 33.73423097918749, -118.2641760201394 33.73435598549693, -118.263425982282 33.73435698512669, -118.263437977837 33.73458300663576, -118.2650340179917 33.73460699774581, -118.2650140253999 33.73497202037855, -118.2655309917291 33.73529500595701, -118.2668049933228 33.73388000398074, -118.2669190037069 33.73422498140995, -118.2649959794554 33.73611001973737, -118.265101992803 33.7367559908943, -118.2652669842958 33.73673899719146, -118.2663580010643 33.73862498253644, -118.2693150105858 33.73733698612857, -118.2692850216985 33.7372299731513, -118.2696929757912 33.73704698832621, -118.2697530061781 33.73716699648778, -118.270925992572 33.73670800867431, -118.2706679829163 33.73635598122598, -118.2697470084007 33.73605998564621, -118.2682459856683 33.73381797433472, -118.2680749963979 33.73390099620185, -118.2677370163758 33.73360799951075, -118.2675349859766 33.73368502360058, -118.2682479849274 33.7330649902005, -118.2675710252534 33.73337797948317, -118.267448018203 33.73323098132283, -118.2678319811858 33.73301101020338, -118.2683030171663 33.73298402020463, -118.2683310067946 33.73268297386475, -118.2683030171663 33.73024498254344, -118.267683983396 33.73022399032246, -118.2676459974719 33.73004700327456, -118.2683589964228 33.72975400658342, -118.2683160123509 33.72961200657105, -118.267622006362 33.72988001252271, -118.2673679952244 33.72975700547224, -118.2647610138922 33.72246402372947, -118.2676819841368 33.72174197550016, -118.2683140130918 33.72341098861413, -118.268522988286 33.72337900046765, -118.2696329980164 33.72636899776547, -118.2693430002141 33.72593400106188, -118.2689040049922 33.72604301329829, -118.2691099812977 33.72667898815931, -118.2695720206121 33.72656997592306, -118.2705009921644 33.72890300613847, -118.2688560227723 33.72940397839425, -118.2690809920399 33.72994198955649, -118.2707100199707 33.72951498988977, -118.2708299755203 33.73002900994202, -118.2690120175989 33.73049599479227, -118.2690779931513 33.73069397406113, -118.2715009900288 33.7301830055095, -118.2713419963137 33.73164399044655, -118.2710529981409 33.73167397933414, -118.2709539822003 33.73226102495785, -118.2710969818423 33.73230101014116, -118.2710569966591 33.73267997497599, -118.2709050003509 33.7326709783099, -118.2703889810393 33.73520998483073, -118.2708870070184 33.73602599824046, -118.2715990063398 33.73614600640202, -118.2717360082043 33.73538297336005, -118.271495991881 33.73534698669547, -118.2715920089328 33.73475499553565, -118.2718470196997 33.7345810073767, -118.2720190085996 33.73376899248518, -118.2717450048706 33.73373400544988, -118.2718880045126 33.73314801206772, -118.2721039771139 33.73315101095647, -118.2722389797192 33.73260200386872, -118.2724959897454 33.73268097460566, -118.2728370212684 33.73322798243419, -118.2726669790157 33.73330500652393, -118.273488990203 33.73436998031099, -118.2733349946356 33.73444200625301, -118.2741190198988 33.7358969934126, -118.2744400062181 33.73596502083617, -118.274742999205 33.74068500865219, -118.2699609817428 33.74864000823721, -118.265101992803 33.75226298150734, -118.2607319805641 33.75623398370762, -118.2577319869704 33.75943700733004, -118.2544619881661 33.76066197446229, -118.2543449788933 33.76047998926667, -118.253392016231 33.76080697336333, -118.2534499947466 33.76097801524568, -118.2523820220706 33.76135498082145, -118.2523089964992 33.76122297710501, -118.2519730157363 33.76133098971161, -118.2520459886956 33.76144100157743, -118.2512870067839 33.76177098456299, -118.2486089991392 33.76274899057674, -118.2452903394486 33.76369062479184, -118.243705 33.76171699912748)), ((-118.2964040000001 33.78031699912729, -118.2959040000001 33.77471699912734, -118.2934040000002 33.76381699912748, -118.2922040000001 33.7573169991276, -118.292204 33.75361799912759, -118.2903720000001 33.75360999912772, -118.2885558300849 33.75439558011875, -118.287900018512 33.75411298018742, -118.2880580125979 33.75340697864352, -118.287924009622 33.75297598045831, -118.2834599795905 33.75424898242231, -118.2832410081004 33.75360101200624, -118.2817049983327 33.75406899648573, -118.2813820127542 33.75360101200621, -118.280360023039 33.75323399011415, -118.2800860193097 33.75330101790802, -118.279833007802 33.75374101275956, -118.2793269847861 33.75370802498331, -118.279064976612 33.75412397611272, -118.2785410128758 33.75395498610175, -118.2777950261488 33.75531500845122, -118.2776830150237 33.75527802215692, -118.2784320006396 33.75392499721427, -118.2779079842913 33.75374401164819, -118.277605990934 33.7542770246626, -118.2771530008981 33.75412697500149, -118.2770359916252 33.75434399984455, -118.2768869942057 33.75429001984719, -118.2770110008856 33.75405400204216, -118.2758100248634 33.75369697644597, -118.2740369976611 33.7511680188329, -118.2741789976736 33.75070497988892, -118.2736169954013 33.75012798317296, -118.2736449850295 33.74976801130011, -118.2740959758062 33.74942498051801, -118.2745129791775 33.74845402452332, -118.277729997614 33.74948601053433, -118.278419005455 33.74862501379348, -118.2749830155282 33.74679700696448, -118.2771919864517 33.74283500143014, -118.2779219791055 33.7408230101463, -118.2783830187902 33.74096800904742, -118.2779450231979 33.74075198383395, -118.2780509839333 33.7404240001076, -118.2785959925028 33.74017198822924, -118.2785029743397 33.73895801702275, -118.278257012851 33.73898100850287, -118.2782069787599 33.73882201478775, -118.2785750002816 33.73875698625285, -118.2782360206298 33.73856200587275, -118.2786930091841 33.73822397323848, -118.278070976525 33.73536697928694, -118.2771729934897 33.7338999965724, -118.2769460249629 33.73396397286542, -118.2767629875256 33.73362199432498, -118.2770429890322 33.73335598763238, -118.2769069867972 33.73311097316123, -118.2766559745485 33.73320399132422, -118.2760809770918 33.73238297976669, -118.2762259759929 33.73232700051011, -118.276046989686 33.73201201196824, -118.2758390141212 33.73208098640935, -118.2755670096514 33.73161800007757, -118.275798976326 33.73153297895118, -118.2753729762887 33.73097497519719, -118.2747439988346 33.72947200581793, -118.2743489873143 33.72952198729669, -118.274149008786 33.72912497651728, -118.2742580210225 33.72893099576671, -118.2744270110336 33.7289080042864, -118.2747629917966 33.72915201912794, -118.2747040136514 33.72923798727189, -118.2787649825139 33.73179898564382, -118.2786690180741 33.7313589907921, -118.2778829935519 33.73042302183298, -118.2740319995132 33.72778799826014, -118.2734120187253 33.7258179914185, -118.2732269820288 33.72549200695133, -118.2729850190584 33.72558197361342, -118.2725620179099 33.72463200984016, -118.2723409945484 33.72404601645787, -118.2725510219845 33.72397299088643, -118.2711830025983 33.72030997982102, -118.2723889767684 33.72002498016662, -118.2730020127613 33.71965501199781, -118.273192994623 33.72048601985126, -118.2754949837095 33.72655498147937, -118.2766179886245 33.72608499774046, -118.2734290124282 33.71773198774641, -118.2730220053529 33.71654200764966, -118.2732429761021 33.71648497615153, -118.2727759912521 33.71550102497226, -118.2740160054398 33.71388899074454, -118.2764749889824 33.71537401940353, -118.2766459782526 33.7165000232073, -118.2755380203936 33.71965701125703, -118.2770319931068 33.72381099828258, -118.2771879879334 33.72377101309923, -118.2782770054426 33.72055599392193, -118.2801080111606 33.72512598468875, -118.2838919774052 33.7241720223969, -118.2830590229048 33.72180700403526, -118.2814849746009 33.72221601036951, -118.281312985701 33.7217610210744, -118.2811759838365 33.72131597546305, -118.2827449813803 33.72094100914627, -118.2818599935297 33.71822501557761, -118.2803870130375 33.71853700523079, -118.2800509796623 33.71769800034074, -118.2816770087043 33.71718897843626, -118.2819720046546 33.71665801729295, -118.2826470176816 33.71684899915487, -118.2833099825414 33.71677902508439, -118.2843650126449 33.71518098567049, -118.2845749874687 33.71363697886625, -118.2848170030513 33.71377398073065, -118.2849610023229 33.71453001636579, -118.2847880137935 33.71506597565674, -118.2853310231036 33.71522402235455, -118.2853560138433 33.71375298850943, -118.2851930216096 33.71360499071955, -118.283938012978 33.71352202146441, -118.2839130222386 33.71329400069598, -118.282871986949 33.71301299955993, -118.2831629843811 33.712300000609, -118.2831940255101 33.71172200426349, -118.2830409769602 33.71060199823735, -118.2827740232502 33.70993298298785, -118.2800900178281 33.70953197369003, -118.2781310069118 33.70869701993046, -118.2766890149367 33.7077909872465, -118.2773099953542 33.70784801874464, -118.277729997614 33.70771001725044, -118.2792410166423 33.70861799658145, -118.2804899748843 33.70897602180736, -118.2818350027901 33.70916000626215, -118.2833610162621 33.70914001367057, -118.2849170186214 33.70866297991281, -118.2860279753692 33.70684802088, -118.2869360073125 33.70651498639364, -118.2880390196358 33.70577599707366, -118.2898750235017 33.70530601333488, -118.292698977065 33.70524198442968, -118.2936230030814 33.7050040199776, -118.2941249749668 33.70455697510701, -118.2944079753621 33.70453798214501, -118.294697026147 33.70492099811042, -118.2948339753995 33.70548599927131, -118.2948019872529 33.70647200232178, -118.295007016541 33.70690499976615, -118.2947500065146 33.70770601873212, -118.2949339909694 33.70819999358082, -118.2974660000834 33.71016300301544, -118.2994969843295 33.7104070178572, -118.2999049910344 33.71023997449319, -118.3008070252 33.71019898968037, -118.3026309808989 33.71113001310388, -118.3035440109899 33.71126101719086, -118.3042400162381 33.71167402204365, -118.3053449752084 33.71198401243748, -118.3074489850259 33.71227201098073, -118.3087149895828 33.71285300621505, -118.3102080152787 33.7131579984611, -118.3117089853989 33.7140970189213, -118.3134980066746 33.71473599267117, -118.314936999761 33.7147579845218, -118.3173519996019 33.71395701816789, -118.3178019907491 33.71506297676788, -118.3183090133946 33.71540100940237, -118.3194029764396 33.71570400238907, -118.3196919746124 33.7161330013153, -118.3198890068638 33.71693302065162, -118.32063699285 33.71755899921705, -118.3211079762185 33.7176770081194, -118.3219559777747 33.71754100588454, -118.3225329744907 33.71824300891011, -118.3233629827146 33.71875097857308, -118.3256890155228 33.71886598858661, -118.3296339747421 33.72031597759842, -118.330613980015 33.72044298316712, -118.3315330078836 33.72113399026748, -118.3330178068216 33.72192785218942, -118.328472 33.729421999128, -118.32101 33.72939699912787, -118.320908 33.7310559991279, -118.3201250000001 33.73142599912794, -118.319823 33.7319899991279, -118.3185310000001 33.731986999128, -118.31851 33.73525099912781, -118.3187370000001 33.73518099912791, -118.319913 33.73550599912787, -118.320301 33.735445999128, -118.3203730000001 33.73576999912791, -118.3199850000001 33.73582999912784, -118.32005 33.73612199912798, -118.318924 33.73659799912792, -118.318505 33.73633899912791, -118.3185 33.73763299912783, -118.318751 33.73836699912787, -118.31868 33.73924899912775, -118.318876 33.74031499912785, -118.319012 33.7405349991278, -118.319841 33.74100199912782, -118.320029 33.7414919991278, -118.319607 33.74262999912782, -118.318477 33.74261699912774, -118.318449 33.74684199912776, -118.312176 33.74680499912788, -118.312174 33.74730199912774, -118.311103 33.74729399912768, -118.311107 33.74679899912771, -118.309614 33.74679099912772, -118.308866 33.75213199912773, -118.308837 33.75375899912767, -118.309 33.7546519991277, -118.309734 33.75615199912766, -118.309089 33.75712799912761, -118.309087 33.75772799912745, -118.301 33.75772099912764, -118.301878 33.7605109991276, -118.309038 33.76051499912755, -118.3090350000001 33.76267799912755, -118.311606 33.76305099912758, -118.308833 33.77225399912735, -118.3086850000001 33.77330499912738, -118.30885 33.77496399912746, -118.306427 33.77495799912737, -118.307662 33.77921899912738, -118.3079276996831 33.77917910504311, -118.3080050000001 33.77941699912729, -118.298605 33.78081699912723, -118.297705 33.78221699912727, -118.2964040000001 33.78031699912729)))",20,0,0,1,0,9,81,35,91,17,533.7446002573442,247.84857239346766,3.7471105076017683,0.0,0.0,0.1873555253800884,0.0,1.6861997284207957,15.17579755578716,6.557443388303094,17.049352809588044,3.185043931461503
7,Woodland Hills,"MULTIPOLYGON (((-118.57569 34.18822399912241, -118.5736190000001 34.18770399912219, -118.573 34.18728199912221, -118.571623 34.18585399912229, -118.569759 34.18533699912233, -118.568177 34.18546499912227, -118.565519 34.18650399912217, -118.5623180000001 34.18650399912217, -118.562318 34.17040499912242, -118.5631310000001 34.17053699912245, -118.5659220000001 34.17045999912247, -118.5659180000002 34.16360499912251, -118.5637550000002 34.16357799912253, -118.5622800000001 34.16291099912257, -118.5623130000001 34.16157799912256, -118.562459 34.1613009991226, -118.5630690000001 34.16086799912264, -118.563197 34.15970299912254, -118.5636950000002 34.1587729991226, -118.56314 34.15791099912272, -118.563165 34.15714399912263, -118.565033 34.15569599912266, -118.566024 34.15358699912274, -118.566836 34.15232999912268, -118.5668230000001 34.15071099912267, -118.567299 34.14953899912274, -118.567299 34.14820799912272, -118.5679180000001 34.14500499912283, -118.5675180000001 34.14390499912275, -118.567918 34.13790599912288, -118.5663170000001 34.13770599912282, -118.5652170000001 34.13440599912281, -118.5640530000001 34.13190999912294, -118.564869 34.13128599912294, -118.5660050000001 34.13078999912298, -118.5658673703359 34.13059338597857, -118.6149780000001 34.14926699912275, -118.614971 34.14727699912282, -118.622888 34.14726799912276, -118.629153 34.14689899912284, -118.628978 34.14734899912289, -118.629811 34.14989299912275, -118.630075 34.14983299912284, -118.6302550000001 34.15038099912274, -118.63125 34.15108699912273, -118.632162 34.15052499912283, -118.638483 34.15759699912267, -118.6412760000001 34.15663299912267, -118.641269 34.1583139991227, -118.640274 34.15867999912265, -118.6399430000001 34.15888199912268, -118.639975 34.15908599912263, -118.639867 34.15881699912266, -118.639735 34.15909099912268, -118.6419750000001 34.16197499912263, -118.6455530000002 34.16198499912257, -118.645534 34.16569599912255, -118.6504360000001 34.16571099912254, -118.652037 34.16534099912257, -118.654281 34.16572199912256, -118.6542639999999 34.16942699912249, -118.658017 34.16943799912257, -118.658721 34.16927599912257, -118.658598 34.1752089991225, -118.659486 34.17523399912247, -118.658619 34.17567499912245, -118.659199 34.17573799912242, -118.658593 34.17605899912244, -118.658589 34.17674899912257, -118.668153 34.17674999912245, -118.668111 34.18377799912238, -118.660621 34.18330399912235, -118.6599210000001 34.18380399912225, -118.6580210000001 34.18430399912229, -118.654021 34.18420399912236, -118.644521 34.18630399912226, -118.6076300000001 34.18639699912234, -118.60674 34.18643499912233, -118.597311 34.18821299912225, -118.57569 34.18822399912241)))",0,0,2,3,0,1,3,7,10,15,111.56856953074255,45.98385858274912,0.0,0.0,1.792619559802551,2.6889293397038263,0.0,0.8963097799012755,2.6889293397038263,6.274168459308928,8.963097799012756,13.444646698519131
8,East Hollywood,"MULTIPOLYGON (((-118.293009 34.10170899912326, -118.289308 34.09950899912327, -118.284208 34.09590899912338, -118.284808 34.09590899912351, -118.2845080000001 34.0768099991236, -118.2857080000001 34.07680999912369, -118.286908 34.07650999912369, -118.289608 34.07640999912368, -118.309309 34.07640999912364, -118.309409 34.10160899912327, -118.2946090000001 34.10180899912332, -118.293009 34.10170899912326)))",34,37,47,27,23,14,124,24,32,14,528.6563771266517,362.502867363573,6.431398819928455,6.9988751863927305,8.890463074606982,5.107287298178479,4.350652142892778,2.6482230434999523,23.45568981385672,4.539810931714204,6.053081242285605,2.6482230434999523
9,West Los Angeles,"MULTIPOLYGON (((-118.434212 34.03730999912411, -118.435039 34.03693199912408, -118.444378 34.04776199912396, -118.4343910000001 34.05060599912401, -118.424212 34.05750899912375, -118.4239120000001 34.05710899912385, -118.423212 34.05530899912395, -118.4227120000001 34.05330899912398, -118.421612 34.0523089991239, -118.4215120000002 34.0512089991238, -118.417111 34.04620999912391, -118.4257120000001 34.04130999912406, -118.429602 34.03959699912402, -118.434212 34.03730999912411)))",1,0,2,0,0,12,6,45,16,13,76.44977081670659,51.63118305198455,1.3080483948049584,0.0,2.6160967896099168,0.0,0.0,15.696580737659499,7.848290368829749,58.86217776622312,20.928774316879334,17.00462913246446
