county,mail_rejected,mail_returned,rejected_pct,state,fips
Luce,3.0,974.0,0.308008213552361,Michigan,26
Alger,4.0,1938.0,0.206398348813209,Michigan,26
Iosco,14.0,7086.0,0.19757267852102703,Michigan,26
Montmorency,4.0,2222.0,0.18001800180018002,Michigan,26
Sanilac,13.0,7505.0,0.173217854763491,Michigan,26
Branch,12.0,6942.0,0.17286084701815,Michigan,26
Iron,4.0,2374.0,0.16849199663015998,Michigan,26
Presque Isle,5.0,3225.0,0.155038759689922,Michigan,26
Mason,10.0,6581.0,0.151952590791673,Michigan,26
Mackinac,4.0,2686.0,0.148920327624721,Michigan,26
Montcalm,16.0,10760.0,0.148698884758364,Michigan,26
Cheboygan,10.0,6785.0,0.14738393515106898,Michigan,26
Emmet,15.0,10864.0,0.138070692194404,Michigan,26
Ogemaw,6.0,4359.0,0.137646249139711,Michigan,26
Menominee,7.0,5237.0,0.133664311628795,Michigan,26
Saginaw,51.0,44841.0,0.113735197698535,Michigan,26
Ingham,88.0,79039.0,0.11133744101013399,Michigan,26
Osceola,4.0,3674.0,0.10887316276537799,Michigan,26
Roscommon,8.0,7723.0,0.10358668911044899,Michigan,26
Benzie,6.0,5817.0,0.103145951521403,Michigan,26
Newaygo,4.0,3987.0,0.100326059694006,Michigan,26
Oceana,5.0,5034.0,0.0993245927691696,Michigan,26
Gratiot,6.0,6208.0,0.0966494845360825,Michigan,26
Grand Traverse,28.0,29955.0,0.0934735436488065,Michigan,26
Tuscola,9.0,9763.0,0.09218477926866739,Michigan,26
Antrim,6.0,6745.0,0.0889547813194959,Michigan,26
Shiawassee,13.0,14716.0,0.08833922261484099,Michigan,26
Alpena,6.0,6866.0,0.08738712496358869,Michigan,26
Midland,17.0,20478.0,0.083015919523391,Michigan,26
Mecosta,7.0,8504.0,0.0823142050799624,Michigan,26
Lapeer,17.0,20931.0,0.0812192441832688,Michigan,26
Wayne,344.0,431127.0,0.07979087368687181,Michigan,26
Isabella,9.0,11378.0,0.0791000175777817,Michigan,26
St Joseph,8.0,10498.0,0.0762049914269385,Michigan,26
Bay,20.0,26648.0,0.075052536775743,Michigan,26
Alcona,2.0,2687.0,0.07443245254931151,Michigan,26
Chippewa,5.0,6739.0,0.0741949844190533,Michigan,26
Leelanau,7.0,9502.0,0.0736687013260366,Michigan,26
St Clair,26.0,38322.0,0.0678461458170242,Michigan,26
Charlevoix,5.0,7416.0,0.0674217907227616,Michigan,26
Dickinson,4.0,5990.0,0.0667779632721202,Michigan,26
Eaton,20.0,30414.0,0.0657591898467811,Michigan,26
Schoolcraft,1.0,1534.0,0.0651890482398957,Michigan,26
Kent,109.0,168511.0,0.06468420459198511,Michigan,26
Oakland,255.0,407406.0,0.06259112531479649,Michigan,26
Gogebic,2.0,3233.0,0.0618620476337767,Michigan,26
Marquette,11.0,18120.0,0.060706401766004406,Michigan,26
Ottawa,46.0,76647.0,0.060015395253565,Michigan,26
Delta,5.0,8343.0,0.05993048064245479,Michigan,26
Crawford,2.0,3366.0,0.05941770647653,Michigan,26
Manistee,4.0,6965.0,0.0574300071787509,Michigan,26
Calhoun,15.0,26135.0,0.057394298832982596,Michigan,26
Houghton,4.0,6983.0,0.0572819704997852,Michigan,26
Kalkaska,2.0,3514.0,0.0569151963574274,Michigan,26
Macomb,128.0,225594.0,0.056739097671037304,Michigan,26
Genesee,57.0,102424.0,0.0556510192923534,Michigan,26
Muskegon,23.0,41781.0,0.0550489456930184,Michigan,26
Kalamazoo,39.0,72197.0,0.0540188650497943,Michigan,26
Oscoda,1.0,1869.0,0.0535045478865704,Michigan,26
Lenawee,10.0,18783.0,0.0532396315817495,Michigan,26
Monroe,19.0,37113.0,0.0511949990569342,Michigan,26
Van Buren,8.0,15936.0,0.0502008032128514,Michigan,26
Wexford,3.0,5991.0,0.050075112669003496,Michigan,26
Allegan,13.0,26528.0,0.0490048250904704,Michigan,26
Clinton,11.0,22879.0,0.0480790244328861,Michigan,26
Clare,3.0,6367.0,0.047117951939689,Michigan,26
Lake,1.0,2166.0,0.0461680517082179,Michigan,26
Livingston,28.0,61614.0,0.0454442172233583,Michigan,26
Washtenaw,56.0,130156.0,0.043025292725652295,Michigan,26
Missaukee,1.0,2544.0,0.0393081761006289,Michigan,26
Arenac,1.0,2878.0,0.0347463516330785,Michigan,26
Huron,2.0,6067.0,0.032965221691115904,Michigan,26
Berrien,12.0,36795.0,0.0326131267835304,Michigan,26
Hillsdale,2.0,6604.0,0.0302846759539673,Michigan,26
Jackson,10.0,33272.0,0.0300553017552296,Michigan,26
Barry,4.0,13402.0,0.0298462915982689,Michigan,26
Ionia,3.0,10180.0,0.0294695481335953,Michigan,26
Cass,2.0,9883.0,0.0202367702114742,Michigan,26
Otsego,1.0,5669.0,0.0176397953783736,Michigan,26
Gladwin,1.0,5689.0,0.0175777816839515,Michigan,26
Baraga,0.0,0.0,0.0,Michigan,26
Ontonagon,0.0,0.0,0.0,Michigan,26
Keweenaw,0.0,0.0,0.0,Michigan,26
