county,mail_returned,mail_rejected,rejected_pct,state,fips
Grundy County,3047.0,48.0,1.57531998687233,Iowa,19
Hardin County,4460.0,60.0,1.34529147982063,Iowa,19
Wapello County,7684.0,98.0,1.27537740760021,Iowa,19
Hancock County,2614.0,30.0,1.14766641162969,Iowa,19
Muscatine County,11026.0,101.0,0.916016687828768,Iowa,19
Buchanan County,5139.0,47.0,0.914574820003892,Iowa,19
Lyon County,2883.0,26.0,0.901838362816511,Iowa,19
Jones County,5361.0,43.0,0.802089162469688,Iowa,19
Monroe County,1896.0,14.0,0.738396624472574,Iowa,19
O'Brien County,3233.0,23.0,0.711413547788432,Iowa,19
Adair County,1851.0,12.0,0.648298217179903,Iowa,19
Benton County,5815.0,34.0,0.58469475494411,Iowa,19
Louisa County,2397.0,13.0,0.542344597413433,Iowa,19
Iowa County,4886.0,25.0,0.511665984445354,Iowa,19
Calhoun County,2180.0,11.0,0.5045871559633031,Iowa,19
Franklin County,2252.0,11.0,0.48845470692717596,Iowa,19
Boone County,8327.0,38.0,0.456346823585925,Iowa,19
Pocahontas County,1781.0,8.0,0.44918585064570504,Iowa,19
Keokuk County,2051.0,9.0,0.438810336421258,Iowa,19
Webster County,8679.0,37.0,0.426316395898145,Iowa,19
Jefferson County,5428.0,22.0,0.40530582166543805,Iowa,19
Woodbury County,23743.0,94.0,0.39590616181611404,Iowa,19
Sioux County,7224.0,25.0,0.346068660022148,Iowa,19
Decatur County,1456.0,5.0,0.343406593406593,Iowa,19
Crawford County,3510.0,12.0,0.341880341880342,Iowa,19
Clarke County,2129.0,7.0,0.328792860497886,Iowa,19
Marion County,9174.0,30.0,0.327011118378025,Iowa,19
Wayne County,1355.0,4.0,0.29520295202951996,Iowa,19
Marshall County,10034.0,29.0,0.289017341040462,Iowa,19
Harrison County,3466.0,10.0,0.288517022504328,Iowa,19
Lucas County,2145.0,6.0,0.27972027972027996,Iowa,19
Cass County,3659.0,10.0,0.273298715496037,Iowa,19
Lee County,8843.0,21.0,0.237475969693543,Iowa,19
Clayton County,4282.0,10.0,0.233535730966838,Iowa,19
Buena Vista County,3973.0,9.0,0.22652907123080798,Iowa,19
Mahaska County,5786.0,13.0,0.22468026270307603,Iowa,19
Warren County,15436.0,34.0,0.220264317180617,Iowa,19
Scott County,56775.0,111.0,0.19550858652576,Iowa,19
Washington County,6288.0,12.0,0.190839694656489,Iowa,19
Ida County,1631.0,3.0,0.183936235438381,Iowa,19
Adams County,1093.0,2.0,0.182982616651418,Iowa,19
Worth County,1664.0,3.0,0.180288461538462,Iowa,19
Bremer County,7380.0,13.0,0.176151761517615,Iowa,19
Allamakee County,4217.0,7.0,0.165994783021105,Iowa,19
Montgomery County,2519.0,4.0,0.158793171893609,Iowa,19
Winnebago County,2577.0,4.0,0.155219247186651,Iowa,19
Black Hawk County,37550.0,57.0,0.15179760319573898,Iowa,19
Floyd County,4058.0,6.0,0.14785608674223802,Iowa,19
Plymouth County,6583.0,9.0,0.136715783077624,Iowa,19
Cedar County,5229.0,7.0,0.133868808567604,Iowa,19
Clinton County,14363.0,18.0,0.125322007937061,Iowa,19
Linn County,74000.0,87.0,0.117567567567568,Iowa,19
Cherokee County,3500.0,4.0,0.11428571428571399,Iowa,19
Kossuth County,4462.0,5.0,0.112057373375168,Iowa,19
Madison County,4539.0,5.0,0.11015642211940999,Iowa,19
Davis County,1847.0,2.0,0.108283703302653,Iowa,19
Pottawattamie County,24286.0,26.0,0.10705756402865801,Iowa,19
Jackson County,5649.0,6.0,0.10621348911311698,Iowa,19
Poweshiek County,5680.0,6.0,0.105633802816901,Iowa,19
Johnson County,54660.0,51.0,0.0933040614709111,Iowa,19
Delaware County,4335.0,4.0,0.0922722029988466,Iowa,19
Dubuque County,30885.0,28.0,0.0906588959041606,Iowa,19
Humboldt County,2375.0,2.0,0.0842105263157895,Iowa,19
Story County,26842.0,22.0,0.0819611057298264,Iowa,19
Osceola County,1237.0,1.0,0.0808407437348424,Iowa,19
Chickasaw County,3755.0,3.0,0.0798934753661784,Iowa,19
Dallas County,30697.0,23.0,0.0749258885233085,Iowa,19
