county,mail_returned,mail_rejected,rejected_pct,state,fips
CLARKE,16690.0,0.0,0.0,Georgia,13
CHATTOOGA,1684.0,0.0,0.0,Georgia,13
CHATTAHOOCHEE,257.0,0.0,0.0,Georgia,13
CARROLL,8694.0,0.0,0.0,Georgia,13
CANDLER,666.0,0.0,0.0,Georgia,13
CALHOUN,535.0,0.0,0.0,Georgia,13
BURKE,1340.0,0.0,0.0,Georgia,13
BROOKS,1496.0,0.0,0.0,Georgia,13
BRANTLEY,797.0,0.0,0.0,Georgia,13
BLECKLEY,967.0,0.0,0.0,Georgia,13
BERRIEN,1034.0,0.0,0.0,Georgia,13
BEN HILL,1134.0,0.0,0.0,Georgia,13
BARROW,7241.0,0.0,0.0,Georgia,13
BANKS,1277.0,0.0,0.0,Georgia,13
BALDWIN,3695.0,0.0,0.0,Georgia,13
BAKER,315.0,0.0,0.0,Georgia,13
BACON,637.0,0.0,0.0,Georgia,13
EARLY,975.0,0.0,0.0,Georgia,13
ECHOLS,140.0,0.0,0.0,Georgia,13
EFFINGHAM,4326.0,0.0,0.0,Georgia,13
HART,2386.0,0.0,0.0,Georgia,13
MADISON,2702.0,0.0,0.0,Georgia,13
LONG,454.0,0.0,0.0,Georgia,13
LINCOLN,987.0,0.0,0.0,Georgia,13
LEE,2200.0,0.0,0.0,Georgia,13
LAURENS,4701.0,0.0,0.0,Georgia,13
JONES,2721.0,0.0,0.0,Georgia,13
JOHNSON,732.0,0.0,0.0,Georgia,13
JEFFERSON,1548.0,0.0,0.0,Georgia,13
ATKINSON,261.0,0.0,0.0,Georgia,13
JASPER,1360.0,0.0,0.0,Georgia,13
JACKSON,6827.0,0.0,0.0,Georgia,13
HEARD,942.0,0.0,0.0,Georgia,13
HARRIS,3796.0,0.0,0.0,Georgia,13
ELBERT,1943.0,0.0,0.0,Georgia,13
HARALSON,2243.0,0.0,0.0,Georgia,13
HABERSHAM,3885.0,0.0,0.0,Georgia,13
GWINNETT,106552.0,0.0,0.0,Georgia,13
GRADY,2048.0,0.0,0.0,Georgia,13
GORDON,3734.0,0.0,0.0,Georgia,13
GLYNN,9545.0,0.0,0.0,Georgia,13
GLASCOCK,240.0,0.0,0.0,Georgia,13
FRANKLIN,1869.0,0.0,0.0,Georgia,13
FLOYD,7817.0,0.0,0.0,Georgia,13
FAYETTE,15450.0,0.0,0.0,Georgia,13
FANNIN,3204.0,0.0,0.0,Georgia,13
EVANS,769.0,0.0,0.0,Georgia,13
JEFF DAVIS,708.0,0.0,0.0,Georgia,13
