date,2022,2021,2020,2019,month_day
2022-01-08,1449698.0,709444.0,1687974,1739642,01-08
2022-01-07,1502714.0,772471.0,2072543,1733739,01-07
2022-01-06,1533544.0,771734.0,2034472,2044043,01-06
2022-01-05,1493235.0,665855.0,1815040,2229391,01-05
2022-01-04,1666715.0,766594.0,1806480,1975947,01-04
2022-01-03,1916499.0,1080346.0,2210542,2150571,01-03
2022-01-02,2023309.0,1327289.0,2422272,2202111,01-02
2022-01-01,1616316.0,1192881.0,2178656,2345103,01-01
2021-12-31,,1650795.0,805990,2311732,12-31
2021-12-30,,2049604.0,874406,2392331,12-30
2021-12-29,,2017937.0,1163696,2133253,12-29
2021-12-28,,1995747.0,1019347,2009880,12-28
2021-12-27,,2089186.0,1111751,2500396,12-27
2021-12-26,,2070554.0,1284599,2575985,12-26
2021-12-25,,1533398.0,1128773,2470786,12-25
2021-12-24,,1709601.0,616469,2582580,12-24
2021-12-23,,2187792.0,846520,2552194,12-23
2021-12-22,,2081297.0,1191123,1937235,12-22
2021-12-21,,1979089.0,992167,1981433,12-21
2021-12-20,,2098540.0,954782,2490503,12-20
2021-12-19,,2118528.0,1064619,2519399,12-19
2021-12-18,,2035273.0,1073563,2487987,12-18
2021-12-17,,2233754.0,1066747,2608088,12-17
2021-12-16,,2062579.0,846934,2471408,12-16
2021-12-15,,1762920.0,641966,2234374,12-15
2021-12-14,,1520251.0,552024,2009112,12-14
2021-12-13,,1912915.0,752451,2250386,12-13
2021-12-12,,2040364.0,865014,2300248,12-12
2021-12-11,,1669737.0,662380,1893871,12-11
2021-12-10,,2045674.0,787489,2388029,12-10
2021-12-09,,1959937.0,754307,2362310,12-09
2021-12-08,,1610785.0,564372,2020488,12-08
2021-12-07,,1459054.0,501513,1897051,12-07
2021-12-06,,1854048.0,703546,2226290,12-06
2021-12-05,,2068792.0,837137,2292079,12-05
2021-12-04,,1566729.0,629430,1755801,12-04
2021-12-03,,1952294.0,753951,2278205,12-03
2021-12-02,,1866275.0,738050,2262878,12-02
2021-12-01,,1660506.0,632356,2054380,12-01
2021-11-30,,1810460.0,780283,2280403,11-30
2021-11-29,,2237087.0,981912,2591470,11-29
2021-11-28,,2451300.0,1176091,2882915,11-28
2021-11-27,,2208192.0,964630,2648268,11-27
2021-11-26,,1778983.0,820399,1968137,11-26
2021-11-25,,1382230.0,560902,1591158,11-25
2021-11-24,,2311978.0,1070967,2624250,11-24
2021-11-23,,2207949.0,912090,2435170,11-23
2021-11-22,,2081064.0,917354,2254188,11-22
2021-11-21,,2213716.0,1047934,2321546,11-21
2021-11-20,,2004579.0,984369,2194291,11-20
2021-11-19,,2242956.0,1019836,2550459,11-19
2021-11-18,,2044545.0,907332,2428095,11-18
2021-11-17,,1624511.0,703135,2071631,11-17
2021-11-16,,1491890.0,611497,1900895,11-16
2021-11-15,,2010601.0,883157,2298856,11-15
2021-11-14,,2150150.0,978297,2396681,11-14
2021-11-13,,1559772.0,697360,1807230,11-13
2021-11-12,,2001439.0,881579,2437211,11-12
2021-11-11,,2064753.0,866679,2364920,11-11
2021-11-10,,1691526.0,674633,2072207,11-10
2021-11-09,,1456657.0,596475,2150003,11-09
2021-11-08,,1955530.0,836600,2465392,11-08
2021-11-07,,2152721.0,973020,2356349,11-07
2021-11-06,,1527465.0,689951,1908805,11-06
2021-11-05,,2035406.0,895091,2544350,11-05
2021-11-04,,1940302.0,867105,2507365,11-04
2021-11-03,,1525948.0,636533,2147882,11-03
2021-11-02,,1487874.0,575829,2005101,11-02
2021-11-01,,1992577.0,846138,2403304,11-01
2021-10-31,,1845965.0,936092,2459525,10-31
2021-10-30,,1518020.0,618476,1836781,10-30
2021-10-29,,1982773.0,892712,2319906,10-29
2021-10-28,,1927041.0,873636,2047910,10-28
2021-10-27,,1547075.0,666957,2066516,10-27
2021-10-26,,1503587.0,648517,1910506,10-26
2021-10-25,,1989373.0,898735,2347017,10-25
2021-10-24,,2107839.0,983745,2478287,10-24
2021-10-23,,1626185.0,755287,1931971,10-23
2021-10-22,,2108582.0,958437,2594337,10-22
2021-10-21,,2046694.0,934386,2541581,10-21
2021-10-20,,1647089.0,694150,2245199,10-20
2021-10-19,,1446353.0,662484,2126637,10-19
2021-10-18,,2001297.0,921031,2514673,10-18
2021-10-17,,2213296.0,1031505,2606266,10-17
2021-10-16,,1704466.0,788743,2049855,10-16
2021-10-15,,2070878.0,973046,2637667,10-15
2021-10-14,,2048398.0,950024,2581007,10-14
2021-10-13,,1641419.0,717940,2317763,10-13
2021-10-12,,1695970.0,680894,2313632,10-12
2021-10-11,,2083627.0,958440,2616771,10-11
2021-10-10,,2086146.0,984234,2555333,10-10
2021-10-09,,1645563.0,769868,2074718,10-09
2021-10-08,,2169783.0,968545,2688032,10-08
2021-10-07,,2063090.0,936915,2605291,10-07
2021-10-06,,1563565.0,668519,2215233,10-06
2021-10-05,,1390201.0,590766,2035628,10-05
2021-10-04,,1842054.0,816838,2400153,10-04
2021-10-03,,2100167.0,900911,2542118,10-03
2021-10-02,,1534114.0,677661,1921185,10-02
2021-10-01,,2011794.0,857186,2526835,10-01
2021-09-30,,1934592.0,855908,2447687,09-30
2021-09-29,,1448369.0,634046,2082179,09-29
2021-09-28,,1334997.0,568688,1998980,09-28
2021-09-27,,1849171.0,797699,2368818,09-27
2021-09-26,,2102155.0,873038,2452596,09-26
2021-09-25,,1525438.0,659350,1966234,09-25
2021-09-24,,2019891.0,826329,2547611,09-24
2021-09-23,,1904732.0,826316,2510926,09-23
2021-09-22,,1460478.0,608726,2188236,09-22
2021-09-21,,1338166.0,549741,2033490,09-21
2021-09-20,,1820152.0,769936,2431388,09-20
2021-09-19,,2075468.0,847968,2517826,09-19
2021-09-18,,1476269.0,638575,1938402,09-18
2021-09-17,,1942337.0,812214,2571924,09-17
2021-09-16,,1851345.0,784746,2455410,09-16
2021-09-15,,1455913.0,577847,2146857,09-15
2021-09-14,,1271516.0,522383,2013050,09-14
2021-09-13,,1672895.0,729558,2405832,09-13
2021-09-12,,1966456.0,809850,2485134,09-12
2021-09-11,,1363653.0,613703,1879822,09-11
2021-09-10,,1792979.0,731353,2484025,09-10
