201800021,5/22/18,2100
201800022,5/23/18,1341
201800026,5/26/18,400
201800027,5/26/18,1935
201800028,5/27/18,40
201800030,5/27/18,1800
201800032,5/28/18,1855
201800034,5/31/18,2110
201800035,6/2/18,2140
201800036,6/3/18,250
201800040,6/9/18,1405
201800041,6/10/18,1950
201800044,6/13/18,1425
201800045,6/13/18,1425
201800047,6/13/18,2310
201800048,6/15/18,1815
201800049,6/15/18,2030
201800050,6/16/18,210
201800052,6/17/18,1750
201800054,6/18/18,2115
201800057,6/25/18,130
201800058,6/27/18,1515
201800061,7/1/18,100
201800062,7/1/18,300
201800063,7/5/18,1415
201800064,7/5/18,1935
201800066,7/7/18,1515
201800067,7/8/18,330
201800068,7/8/18,1820
201800070,7/9/18,35
201800072,7/21/18,10
201800073,7/21/18,300
201800074,7/21/18,2200
201800075,7/23/18,1430
201800076,7/23/18,2130
201800077,7/27/18,320
201800078,7/27/18,1400
201800080,7/28/18,35
201800081,7/28/18,102
201800082,7/28/18,143
201800083,7/29/18,1720
201800084,7/30/18,1540
201800085,7/31/18,1415
201800086,7/31/18,2200
201800088,8/1/18,1405
201800089,8/1/18,2230
201800090,8/3/18,100
201800091,8/3/18,1445
201800092,8/3/18,1640
201800093,8/8/18,449
201800094,8/9/18,2150
201800095,8/11/18,2050
201800097,8/12/18,2215
201800098,8/12/18,2215
201800099,8/12/18,2215
201800100,8/13/18,1940
201800101,8/14/18,230
201800102,8/14/18,350
201800103,8/17/18,1745
201800104,8/17/18,2050
201800105,8/19/18,250
201800106,8/20/18,149
201800107,8/24/18,2120
201800108,8/25/18,1715
201800110,8/26/18,1445
201800112,8/26/18,1445
201800113,8/26/18,1600
201800114,8/30/18,315
201800115,9/1/18,450
201800116,9/1/18,1530
201800117,9/1/18,2015
201800118,9/2/18,1000
201800119,9/3/18,100
201800120,9/3/18,1900
201800121,9/4/18,1230
201800122,9/4/18,50
201800123,9/5/18,400
201800124,9/7/18,130
201800125,9/7/18,2125
201800126,9/8/18,1945
201800127,9/9/18,440
201800128,9/14/18,1520
201800129,9/14/18,1530
201800130,9/15/18,330
201800131,9/16/18,1715
201800132,9/16/18,1900
201800133,9/17/18,1455
201800134,9/17/18,1908
201800135,9/18/18,1540
201800136,9/18/18,1620
201800138,9/24/18,30
201800139,9/26/18,230
201800140,9/26/18,1540
201800141,9/27/18,1805
201800142,10/1/18,1415
201800143,10/2/18,245
201800144,10/4/18,256
201800145,10/5/18,510
201800146,10/6/18,2025
201800147,10/9/18,140
201800148,10/14/18,300
201800149,10/14/18,105
201800150,10/14/18,1850
201800151,10/16/18,2350
201800152,10/20/18,1725
201800153,10/21/18,346
201800154,10/21/18,1520
201800155,10/22/18,1630
201800156,10/23/18,1850
201800158,10/25/18,205
201800159,10/27/18,300
201800160,11/1/18,1509
201800161,11/2/18,315
201800162,11/3/18,220
201800164,11/5/18,203
201800165,11/7/18,1500
201800166,11/9/18,2010
201800167,11/13/18,1530
201800168,11/16/18,1850
201800169,11/18/18,110
201800170,11/18/18,1500
201800173,11/20/18,1950
201800174,11/23/18,520
201800175,11/23/18,120
201800178,11/23/18,2230
201800180,11/24/18,330
201800181,11/24/18,100
201800182,11/24/18,338
201800183,11/25/18,1455
201800184,11/26/18,2108
201800185,11/27/18,1515
201800186,11/27/18,2140
201800187,11/28/18,415
201800188,11/28/18,1400
201800189,11/28/18,2005
201800192,11/29/18,1445
201800195,11/29/18,1745
201800200,12/2/18,1030
201800203,12/3/18,2030
201800204,12/8/18,525
201800206,12/12/18,1930
201800207,12/15/18,235
201800208,12/19/18,530
201800213,12/21/18,1735
201800214,12/22/18,2245
201800215,12/25/18,545
201800216,12/25/18,1855
201800217,12/26/18,1545
201800218,12/27/18,1530
201800219,12/28/18,1600
201800220,12/28/18,1915
201800221,12/29/18,1925
201800222,12/29/18,2105
201800223,12/29/18,2315
201800224,12/31/18,5
201900001,1/1/19,455
201900004,1/4/19,2125
201900005,1/6/19,115
201900006,1/6/19,655
201900007,1/7/19,2110
201900009,1/9/19,1635
201900010,1/11/19,720
201900011,1/12/19,1750
201900012,1/16/19,5
201900013,1/17/19,51
201900014,1/17/19,147
201900015,1/17/19,1115
201900016,1/19/19,310
201900017,1/19/19,425
201900018,1/25/19,2118
201900019,1/26/19,1200
201900020,1/26/19,1625
201900022,1/26/19,1800
201900023,1/29/19,1555
201900024,2/1/19,300
201900025,2/2/19,1945
201900027,2/3/19,435
201900028,2/5/19,1930
201900030,2/6/19,1854
201900031,2/7/19,1315
201900032,2/7/19,1545
201900033,2/7/19,2140
201900034,2/8/19,2241
201900035,2/8/19,2230
201900036,2/8/19,1653
201900037,2/8/19,1633
201900038,2/9/19,250
201900040,2/9/19,200
201900041,2/12/19,100
201900042,2/12/19,1944
201900044,2/16/19,2305
201900046,2/18/19,1800
201900048,2/19/19,20
201900049,2/19/19,1620
201900050,2/20/19,1745
201900052,2/21/19,320
201900053,2/21/19,1400
201900054,2/21/19,1640
201900056,2/22/19,700
201900058,2/23/19,2300
201900059,2/23/19,1930
201900061,2/24/19,330
201900063,2/24/19,2055
201900065,2/25/19,1545
201900066,2/25/19,2145
201900068,2/27/19,1515
201900069,2/28/19,5
201900071,2/28/19,2140
201900072,2/28/19,2049
201900074,3/1/19,2110
201900075,3/4/19,1250
201900077,3/4/19,1630
201900078,3/6/19,1715
201900079,3/7/19,955
201900080,3/8/19,1800
201900081,3/8/19,2120
201900082,3/9/19,120
201900083,3/9/19,1645
201900084,3/12/19,525
201900085,3/13/19,300
201900098,4/1/19,1700
201900100,4/6/19,2048
201900101,4/7/19,350
201900102,4/7/19,1240
201900103,4/8/19,2130
201900119,4/23/19,2050
201900120,4/24/19,840
201900121,4/24/19,1630
201900122,4/24/19,1750
201900124,4/30/19,2050
201900125,5/1/19,50
201900126,5/1/19,2030
201900127,5/1/19,2105
201900129,5/2/19,1830
201900130,5/3/19,2030
201900131,5/4/19,1905
201900132,5/5/19,540
201900133,5/5/19,2045
201900134,5/6/19,1445
201900136,5/7/19,515
201900137,5/9/19,1545
201900138,5/9/19,1740
201900139,5/9/19,1955
201900140,5/10/19,330
201900141,5/14/19,135
201900142,5/14/19,415
201900143,5/18/19,1030
201900144,5/22/19,1800
201900145,5/22/19,1840
201900148,5/24/19,330
201900149,5/24/19,1709
201900150,5/25/19,1450
201900151,5/26/19,140
201900152,5/29/19,1930
201900153,5/30/19,1700
201900169,6/11/19,2138
201900170,6/12/19,831
201900171,6/13/19,110
201900172,6/14/19,201
201900173,6/14/19,1720
201900174,6/15/19,315
201900175,6/15/19,1730
201900176,6/15/19,1600
201900177,6/16/19,1335
201900178,6/17/19,200
201900179,6/18/19,1430
201900180,6/19/19,1717
201900181,6/19/19,2030
201900182,6/20/19,2355
201900183,6/22/19,55
201900184,6/22/19,1735
201900186,6/24/19,2150
201900187,6/28/19,450
201900188,6/28/19,1245
201900190,7/2/19,110
201900191,7/3/19,0
201900193,7/3/19,145
201900196,7/3/19,1510
201900197,7/4/19,700
201900198,7/7/19,1020
201900199,7/10/19,30
201900200,7/11/19,1600
201900201,7/13/19,510
201900202,7/13/19,2225
201900203,7/16/19,2115
201900204,7/19/19,28
201900205,7/19/19,1050
201900207,7/22/19,1533
201900208,7/23/19,1430
201900209,7/23/19,1715
201900210,7/23/19,1910
201900212,7/28/19,250
201900214,7/29/19,1447
201900215,7/30/19,1
201900217,7/30/19,2145
201900218,8/3/19,2000
201900219,8/3/19,2300
201900220,8/4/19,415
201900221,8/6/19,2102
201900223,8/7/19,1420
201900225,8/9/19,11
201900226,8/10/19,145
201900227,8/10/19,1720
201900230,8/15/19,200
201900231,8/18/19,140
201900232,8/18/19,2215
201900234,8/20/19,1100
201900235,8/20/19,2130
201900236,8/21/19,140
201900237,8/22/19,120
201900238,8/22/19,2150
201900239,8/25/19,245
201900240,8/26/19,1050
201900242,8/28/19,515
201900243,8/29/19,1840
201900244,8/29/19,2200
201900246,8/30/19,210
201900247,8/30/19,930
201900248,8/31/19,1125
201900249,8/31/19,555
201900250,8/31/19,1718
201900251,9/3/19,750
201900252,9/4/19,1526
201900253,9/7/19,1946
201900254,9/8/19,520
201900255,9/9/19,2315
201900256,9/10/19,1840
201900257,9/11/19,150
201900258,9/13/19,1300
201900259,9/13/19,2230
201900260,9/14/19,850
201900261,9/14/19,2320
201900262,9/15/19,50
201900263,9/16/19,1
201900264,9/16/19,2030
201900265,9/16/19,2200
201900267,9/17/19,120
201900269,9/17/19,340
201900270,9/18/19,2200
201900274,9/19/19,0
201900276,9/19/19,315
201900278,9/20/19,1920
201900279,9/22/19,120
201900283,9/27/19,40
201900285,9/28/19,30
201900287,9/29/19,1940
201900289,10/3/19,1
201900290,10/5/19,230
201900292,10/8/19,1410
201900293,10/8/19,1720
201900294,10/12/19,1641
201900299,10/17/19,1415
201900303,10/19/19,1450
201900304,10/19/19,110
201900308,10/23/19,430
201900309,10/23/19,1605
201900311,10/25/19,2340
201900313,10/26/19,110
201900314,10/26/19,2155
201900316,10/31/19,340
201900317,11/3/19,2345
201900320,11/5/19,1941
201900321,11/5/19,2043
201900323,11/6/19,1700
201900326,11/7/19,1730
201900329,11/9/19,1715
201900330,11/10/19,2200
201900332,11/10/19,2200
201900337,11/22/19,2145
201900338,11/22/19,1930
201900341,11/25/19,1100
201900347,11/26/19,500
201900353,12/1/19,330
201900355,12/1/19,1915
201900358,12/3/19,152
201900359,12/4/19,232
201900361,12/11/19,650
201900362,12/11/19,1406
201900364,12/12/19,2035
201900373,12/29/19,1630
202000004,1/2/20,25
202000005,1/3/20,338
202000006,1/4/20,400
202000007,1/4/20,605
202000009,1/5/20,235
202000010,1/6/20,350
202000013,1/8/20,1738
202000017,1/13/20,230
202000018,1/15/20,430
202000020,1/19/20,1600
202000021,1/20/20,10
202000022,1/21/20,230
202000025,1/26/20,750
202000028,2/1/20,415
202000029,2/2/20,1045
202000030,2/7/20,300
202000032,2/9/20,239
202000033,2/9/20,315
202000040,2/11/20,2205
202000041,2/12/20,430
202000042,2/12/20,900
202000050,2/20/20,2035
202000053,2/23/20,2125
202000056,2/25/20,1350
202000060,3/1/20,1710
202000062,3/2/20,1555
202000063,3/5/20,1455
202000065,3/8/20,415
202000067,3/11/20,300
202000070,3/18/20,1525
202000071,3/19/20,1710
202000072,3/20/20,2248
202000074,3/24/20,2300
202000076,3/26/20,230
202000077,3/30/20,1645
202000080,4/4/20,2120
202000081,4/10/20,2000
202000083,4/12/20,147
202000084,4/12/20,840
202000087,4/17/20,40
202000089,4/18/20,2050
202000094,4/21/20,1120
202000098,4/29/20,215
202000099,4/29/20,800
202000100,5/3/20,1230
202000103,5/14/20,20
202000104,5/14/20,1950
202000105,5/15/20,50
202000106,5/16/20,255
202000112,5/20/20,320
202000113,5/20/20,405
202000116,5/21/20,145
202000118,5/21/20,2040
202000119,5/23/20,945
202000122,5/24/20,1312
202000124,5/24/20,1703
202000125,5/24/20,1834
202000126,5/24/20,1835
202000127,5/26/20,50
202000128,5/28/20,1730
202000130,5/29/20,1749
202000151,6/6/20,2310
202000153,6/9/20,1150
202000156,6/9/20,2220
202000157,6/10/20,430
202000158,6/10/20,620
202000159,6/10/20,1222
202000160,6/10/20,2110
202000162,6/12/20,240
202000172,6/15/20,2036
202000173,6/16/20,40
202000175,6/17/20,430
202000176,6/17/20,1946
202000178,6/20/20,230
202000179,6/21/20,2350
202000180,6/24/20,1800
202000181,6/25/20,400
202000184,7/1/20,2300
202000186,7/2/20,141
202000188,7/3/20,330
202000189,7/3/20,505
202000190,7/5/20,1200
202000201,7/9/20,1345
202000202,7/10/20,2300
202000203,7/11/20,100
202000207,7/14/20,225
202000210,7/22/20,120
202000211,7/25/20,520
202000213,7/29/20,2320
202000214,7/31/20,430
202000215,7/31/20,2015
202000217,8/3/20,32
202000218,8/9/20,1
202000221,8/16/20,551
202000223,8/18/20,1255
202000224,8/23/20,40
202000225,8/23/20,100
202000228,8/30/20,15
202000230,8/30/20,2045
202000234,9/5/20,300
202000238,9/5/20,2349
202000240,9/6/20,411
202000242,9/8/20,2005
202000243,9/8/20,2220
202000244,9/8/20,1348
202000245,9/10/20,50
202000247,9/10/20,230
202000248,9/9/20,2350
202000252,9/14/20,520
202000255,9/18/20,1524
202000257,9/20/20,200
202000258,9/20/20,230
202000259,9/23/20,1429
202000260,9/23/20,1550
202000263,9/27/20,230
202000264,9/27/20,230
202000268,9/29/20,515
202000270,9/30/20,445
202000272,9/30/20,1900
202000273,10/1/20,255
202000276,10/1/20,1420
202000278,10/2/20,1350
202000282,10/7/20,500
202000283,10/8/20,1410
202000285,10/9/20,221
202000287,10/9/20,1900
202000291,10/12/20,510
202000293,10/14/20,30
202000294,10/14/20,1225
202000296,10/17/20,145
202000297,10/18/20,330
202000299,10/20/20,330
202000303,10/22/20,530
202000309,10/29/20,545
202000310,11/1/20,620
202000312,11/6/20,135
202000314,11/7/20,200
202000317,11/8/20,1206
202000319,11/8/20,730
202000320,11/10/20,115
202000321,11/11/20,1830
202000322,11/12/20,1330
202000325,11/13/20,2125
202000326,11/14/20,405
202000332,11/21/20,325
202000334,11/21/20,510
202000335,11/22/20,335
202000336,11/23/20,630
202000337,11/24/20,2130
202000341,11/27/20,2310
202000342,11/28/20,445
202000343,11/29/20,630
202000346,12/2/20,1845
202000349,12/6/20,1845
202000350,12/7/20,1310
202000351,12/8/20,645
202000354,12/8/20,2100
202000355,12/11/20,1230
202000357,12/13/20,1708
202000359,12/17/20,1545
202000360,12/19/20,200
202000361,12/19/20,2325
202000363,12/21/20,340
202100001,1/2/21,309
202100003,1/5/21,25
202100004,1/5/21,315
202100009,1/16/21,1700
202100011,1/19/21,1550
202100012,1/19/21,1915
202100016,1/20/21,1830
202100017,1/20/21,2200
202100020,1/24/21,511
202100022,1/25/21,2315
202100025,1/28/21,1500
202100027,1/31/21,330
202100031,2/1/21,2130
202100032,2/3/21,1716
202100034,2/5/21,1125
202100035,2/5/21,2033
202100037,2/7/21,37
202100038,2/7/21,1140
202100042,2/9/21,1640
202100045,2/14/21,2340
202100047,2/20/21,2330
202100048,2/20/21,100
202100049,2/20/21,230
202100051,2/20/21,520
202100052,2/20/21,400
202100054,2/21/21,400
202100056,2/22/21,150
202100058,2/26/21,330
202100062,2/27/21,453
202100064,2/28/21,245
202100065,3/3/21,2300
202100068,3/4/21,2230
202100072,3/8/21,2227
202100073,3/12/21,1530
202100074,3/15/21,1804
202100077,3/17/21,1836
202100078,3/19/21,435
202100080,3/19/21,1250
202100081,3/19/21,1745
202100085,3/26/21,2330
202100086,3/26/21,2338
202100087,3/27/21,248
202100089,3/28/21,1742
202100090,3/28/21,2217
202100092,3/29/21,2016
202100094,3/30/21,2300
202100098,4/3/21,227
202100104,4/10/21,1420
202100110,4/17/21,2025
202100111,4/18/21,2143
202100112,4/19/21,210
202100114,4/20/21,520
202100116,4/25/21,1000
202100121,4/27/21,2335
202100124,4/30/21,100
202100126,5/5/21,2240
