index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,employerfull
934318,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,73458.0,220251.0,86858.0,LOS ANGELES,146793.0,73458.0,220251.0,86858.0,146793.0,GLENDALE_CITY
934319,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56518.0,206541.0,88545.0,LOS ANGELES,150023.0,56517.99999999999,206541.0,88545.0,150023.0,GLENDALE_CITY
934320,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56279.0,209702.0,88808.0,LOS ANGELES,153423.0,56279.0,209702.0,88808.0,153423.0,GLENDALE_CITY
934321,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,92575.0,213383.0,86858.0,LOS ANGELES,120808.0,92575.0,213383.0,86858.0,120808.0,GLENDALE_CITY
934322,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,153599.0,294013.0,88545.0,LOS ANGELES,140414.0,153599.0,294013.0,88545.0,140414.0,GLENDALE_CITY
934323,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,7596.0,155019.0,86162.0,LOS ANGELES,147423.0,7596.0,155019.0,86162.0,147423.0,GLENDALE_CITY
934324,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,103951.0,240196.0,73925.0,LOS ANGELES,136245.0,103951.0,240196.0,73925.0,136245.00000000003,GLENDALE_CITY
934325,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,19196.0,107458.0,40774.0,LOS ANGELES,88262.0,19196.0,107458.0,40774.0,88262.0,GLENDALE_CITY
934326,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,68337.0,218120.0,88308.0,LOS ANGELES,149783.0,68337.0,218120.00000000003,88308.0,149783.0,GLENDALE_CITY
934327,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,78384.0,216681.0,78830.0,LOS ANGELES,138297.0,78384.0,216681.0,78830.0,138297.0,GLENDALE_CITY
934328,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,71877.0,217399.0,81820.0,LOS ANGELES,145522.0,71877.0,217399.0,81820.0,145522.0,GLENDALE_CITY
934329,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,42865.0,173221.0,57803.0,LOS ANGELES,130356.0,42865.0,173221.0,57803.0,130356.0,GLENDALE_CITY
934330,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,24354.0,174977.0,88808.0,LOS ANGELES,150623.0,24354.0,174977.0,88808.0,150623.0,GLENDALE_CITY
934331,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,88857.0,212694.0,86858.0,LOS ANGELES,123837.0,88857.0,212694.0,86858.0,123837.0,GLENDALE_CITY
934332,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,81612.0,232038.0,79418.0,LOS ANGELES,150426.0,81612.0,232038.0,79418.0,150426.0,GLENDALE_CITY
934333,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,132470.0,289254.0,74947.0,LOS ANGELES,156784.0,132470.0,289254.0,74947.0,156784.0,GLENDALE_CITY
934334,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,57401.0,203474.0,86594.0,LOS ANGELES,146073.0,57401.0,203474.0,86594.0,146073.0,GLENDALE_CITY
934335,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,57459.0,207519.0,65948.0,LOS ANGELES,150060.0,57459.0,207519.0,65948.0,150060.0,GLENDALE_CITY
934336,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,94949.0,232772.0,78974.0,LOS ANGELES,137823.0,94949.0,232772.0,78974.0,137823.0,GLENDALE_CITY
934338,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CHIEF,0.0,238985.0,109997.0,LOS ANGELES,238985.0,0.0,238985.0,109997.0,238985.0,GLENDALE_CITY
934362,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,13346.0,134020.0,52861.0,LOS ANGELES,120674.0,13346.0,134020.0,52861.0,120674.0,GLENDALE_CITY
934363,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,47849.0,137780.0,72546.0,LOS ANGELES,89931.0,47849.0,137780.0,72546.0,89931.0,GLENDALE_CITY
934364,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,73582.0,194318.0,68798.0,LOS ANGELES,120736.0,73582.0,194318.0,68798.0,120736.0,GLENDALE_CITY
934365,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,52942.0,175379.0,75261.0,LOS ANGELES,122437.0,52942.0,175379.0,75261.0,122437.0,GLENDALE_CITY
934366,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,48587.0,166955.0,67061.0,LOS ANGELES,118368.0,48587.0,166955.0,67061.0,118368.0,GLENDALE_CITY
934367,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,36250.0,158687.0,75261.0,LOS ANGELES,122437.0,36250.0,158687.0,75261.0,122437.0,GLENDALE_CITY
934368,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,98969.0,224546.0,74602.0,LOS ANGELES,125577.0,98969.0,224546.0,74602.0,125577.0,GLENDALE_CITY
934369,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,9601.0,80125.0,58798.0,LOS ANGELES,70524.0,9601.0,80125.0,58798.0,70524.0,GLENDALE_CITY
934370,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,8149.0,114127.0,67356.0,LOS ANGELES,105978.0,8149.0,114127.0,67356.0,105978.0,GLENDALE_CITY
934371,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,0.0,5099.0,2666.0,LOS ANGELES,5099.0,0.0,5099.0,2666.0,5099.0,GLENDALE_CITY
934372,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,42390.0,166486.0,65910.0,LOS ANGELES,124096.0,42390.0,166486.0,65910.0,124096.0,GLENDALE_CITY
934373,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,10510.0,138318.0,62216.0,LOS ANGELES,127808.0,10510.0,138318.0,62216.0,127808.0,GLENDALE_CITY
934374,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,48851.0,168108.0,73864.0,LOS ANGELES,119257.0,48851.0,168108.0,73864.0,119257.0,GLENDALE_CITY
934375,2018,CITY,206283.0,GLENDALE,FIRE,FIRE ENGINEER,44715.0,164122.0,73864.0,LOS ANGELES,119407.0,44715.0,164122.0,73864.0,119407.0,GLENDALE_CITY
