employer,type,year,overtime,adjusted_overtime,wages
PASADENA,CITY,2011,6225680.0,7075867.998701869,21667391.0
PASADENA,CITY,2012,6674218.500000001,7431860.933014366,20833034.600000013
PASADENA,CITY,2013,6435540.0,7062637.524435842,19889820.0
PASADENA,CITY,2014,7458969.0,8055123.165184,21882404.0
PASADENA,CITY,2015,8467508.0,9133427.951395892,22739090.0
PASADENA,CITY,2016,8699322.0,9266573.74390747,23464493.0
PASADENA,CITY,2017,4505357.0,4699029.269537368,15346257.0
PASADENA,CITY,2018,5949745.0,6057552.985241351,16410526.0
PASADENA,CITY,2019,2113335.0,2113335.0,7059791.0
