index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,fire,employerfull
889226,2018,CITY,105952.0,BURBANK,FIRE,ADMINISTRATIVE ANALYST I,0.0,66557.0,14867.0,LOS ANGELES,66557.0,0.0,66557.0,14867.0,66557.0,True,BURBANK_CITY
889227,2018,CITY,105952.0,BURBANK,FIRE,EMERGENCY MANAGEMENT COORDINATOR,0.0,114490.0,19310.0,LOS ANGELES,114490.0,0.0,114490.0,19310.0,114490.0,True,BURBANK_CITY
889228,2018,CITY,105952.0,BURBANK,FIRE,EMS NURSE SPECIALIST,0.0,122911.0,20145.0,LOS ANGELES,122911.0,0.0,122911.0,20145.0,122911.0,True,BURBANK_CITY
889229,2018,CITY,105952.0,BURBANK,FIRE,EXECUTIVE ASSISTANT,0.0,66685.0,25136.0,LOS ANGELES,66685.0,0.0,66685.0,25136.0,66685.0,True,BURBANK_CITY
889230,2018,CITY,105952.0,BURBANK,FIRE,FIRE ADMINISTRATOR,0.0,143794.0,14289.0,LOS ANGELES,143794.0,0.0,143794.0,14289.0,143794.0,True,BURBANK_CITY
889231,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,63931.0,247632.0,47015.0,LOS ANGELES,183701.0,63931.0,247632.0,47015.0,183701.0,True,BURBANK_CITY
889232,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,45086.0,196586.0,46860.0,LOS ANGELES,151500.0,45086.0,196586.0,46860.0,151500.0,True,BURBANK_CITY
889233,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,75929.0,230114.0,43017.0,LOS ANGELES,154185.0,75929.0,230114.0,43017.0,154185.0,True,BURBANK_CITY
889234,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,104937.0,284668.0,45611.0,LOS ANGELES,179731.0,104937.0,284668.0,45611.0,179731.0,True,BURBANK_CITY
889235,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,29110.0,180363.0,45254.0,LOS ANGELES,151253.0,29110.0,180363.0,45254.0,151253.0,True,BURBANK_CITY
889236,2018,CITY,105952.0,BURBANK,FIRE,FIRE BATTALION CHIEF,78329.0,235981.0,42683.0,LOS ANGELES,157652.0,78329.0,235981.0,42683.0,157652.0,True,BURBANK_CITY
889237,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,6503.0,56325.0,12941.0,LOS ANGELES,49822.0,6503.0,56325.0,12941.0,49822.0,True,BURBANK_CITY
889238,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,0.0,527.0,0.0,LOS ANGELES,527.0,0.0,527.0,0.0,527.0,True,BURBANK_CITY
889239,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,59525.0,205825.0,42150.0,LOS ANGELES,146300.0,59525.0,205825.0,42150.0,146300.0,True,BURBANK_CITY
889240,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,21388.0,174317.0,43155.0,LOS ANGELES,152929.0,21388.0,174317.0,43155.00000000001,152929.0,True,BURBANK_CITY
889241,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,55738.0,202314.0,42282.0,LOS ANGELES,146576.0,55738.0,202314.0,42282.0,146576.0,True,BURBANK_CITY
889242,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,56717.0,193028.0,22948.0,LOS ANGELES,136311.0,56717.0,193028.0,22948.0,136311.0,True,BURBANK_CITY
889243,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,50785.0,188949.0,40722.0,LOS ANGELES,138164.0,50785.0,188949.0,40722.0,138164.0,True,BURBANK_CITY
889244,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,26326.0,154745.0,39983.0,LOS ANGELES,128419.0,26326.0,154745.00000000003,39983.0,128419.0,True,BURBANK_CITY
889245,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,52408.0,192499.0,37361.0,LOS ANGELES,140091.0,52408.0,192499.0,37361.0,140091.0,True,BURBANK_CITY
889246,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,39080.0,175414.0,36811.0,LOS ANGELES,136334.0,39080.0,175414.0,36811.0,136334.0,True,BURBANK_CITY
889247,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,81924.0,227446.0,41782.0,LOS ANGELES,145522.0,81924.0,227446.0,41782.0,145522.0,True,BURBANK_CITY
889248,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,85117.0,220331.0,37425.0,LOS ANGELES,135214.0,85117.0,220331.0,37425.0,135214.0,True,BURBANK_CITY
889249,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,27506.0,166542.0,41958.0,LOS ANGELES,139036.0,27506.0,166542.0,41958.0,139036.0,True,BURBANK_CITY
889250,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,29642.0,153622.0,39846.0,LOS ANGELES,123980.0,29642.0,153622.0,39846.0,123980.0,True,BURBANK_CITY
889251,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,51192.0,187269.0,40618.0,LOS ANGELES,136077.0,51192.0,187269.0,40618.0,136077.0,True,BURBANK_CITY
889252,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,5953.0,86893.0,43158.0,LOS ANGELES,80940.0,5953.0,86893.0,43158.0,80940.0,True,BURBANK_CITY
889253,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,53400.0,200556.0,42152.0,LOS ANGELES,147156.0,53400.0,200556.0,42152.0,147156.0,True,BURBANK_CITY
889254,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,67223.0,213401.0,42306.0,LOS ANGELES,146178.0,67223.0,213401.0,42306.0,146178.0,True,BURBANK_CITY
889255,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,44164.0,174495.0,39854.0,LOS ANGELES,130331.0,44164.0,174495.00000000003,39854.0,130331.0,True,BURBANK_CITY
889256,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,59446.0,194523.0,40052.0,LOS ANGELES,135077.0,59446.0,194523.0,40052.0,135077.0,True,BURBANK_CITY
889257,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,69715.0,214585.0,41491.0,LOS ANGELES,144870.0,69715.0,214585.0,41491.0,144870.00000000003,True,BURBANK_CITY
889258,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,37654.0,176343.0,40603.0,LOS ANGELES,138689.0,37654.0,176343.0,40603.0,138689.0,True,BURBANK_CITY
889259,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,90513.0,241230.0,38356.0,LOS ANGELES,150717.0,90513.0,241230.0,38356.0,150717.0,True,BURBANK_CITY
889260,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,105218.0,252241.0,41831.0,LOS ANGELES,147023.0,105218.0,252241.0,41831.0,147023.0,True,BURBANK_CITY
889261,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,5542.0,139004.0,42804.0,LOS ANGELES,133462.0,5542.0,139004.0,42804.0,133462.0,True,BURBANK_CITY
889262,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,44751.0,197463.0,28304.0,LOS ANGELES,152712.0,44751.0,197463.0,28304.0,152712.0,True,BURBANK_CITY
889263,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,65918.0,203245.0,41000.0,LOS ANGELES,137327.0,65918.0,203245.00000000003,41000.0,137327.0,True,BURBANK_CITY
889264,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,65485.0,213407.0,36122.0,LOS ANGELES,147922.0,65485.0,213407.0,36122.0,147922.0,True,BURBANK_CITY
889265,2018,CITY,105952.0,BURBANK,FIRE,FIRE CAPTAIN,83139.0,231251.0,41333.0,LOS ANGELES,148112.0,83139.0,231251.0,41333.0,148112.0,True,BURBANK_CITY
889266,2018,CITY,105952.0,BURBANK,FIRE,FIRE CHIEF,0.0,76608.0,2132.0,LOS ANGELES,76608.0,0.0,76608.0,2132.0,76608.0,True,BURBANK_CITY
889267,2018,CITY,105952.0,BURBANK,FIRE,FIRE CHIEF,1774.0,226687.0,54250.0,LOS ANGELES,224913.0,1773.9999999999998,226687.0,54250.0,224913.0,True,BURBANK_CITY
889268,2018,CITY,105952.0,BURBANK,FIRE,FIRE ENGINEER,34522.0,152173.0,37532.0,LOS ANGELES,117651.0,34522.0,152173.0,37532.0,117651.0,True,BURBANK_CITY
