,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,2019,adjusted_ot_pct_change
0,ALAMEDA,CITY,803203.4430312217,557326.7814925474,638282.6535068704,1259159.537586172,2342254.194256108,1370063.1861362373,1443484.7710794702,2032824.757661078,2676033.0,148.73647866409533
2,ALBANY,CITY,582144.5106717822,784938.7228150562,649930.9121898033,615708.1389395784,660769.8544872309,0.0,809076.389564295,941091.8785657112,913016.0,53.73836537195545
3,ALHAMBRA,CITY,2422368.2315694485,2620874.537980086,2478488.0368351247,2548420.8899280215,2214888.971917627,3013561.667613861,3504914.3721687337,3780844.7645505704,2818008.0,15.524898967600526
5,ANAHEIM,CITY,6454713.28877162,7651611.995605284,10234764.33087223,10314220.409671534,11124450.802284226,11905776.067623027,12685051.184823759,11430707.537838452,10355495.0,37.81945271957402
6,ARCADIA,CITY,1323267.829771627,1254749.6883106702,1331428.6712569278,1494740.741636253,1480983.8082711368,1268309.3417691984,1450105.6532433091,1908807.5890038905,1719108.0,26.482195821802335
8,ATASCADERO,CITY,338805.5638595353,512163.6140622142,661045.8136351343,455346.91419555957,204047.11345599682,536213.2003358235,226550.35876713446,119269.67618983143,80599.0,-56.70546034460274
10,AUBURN,CITY,189489.8010305016,245191.04643414027,249644.110483909,295412.259618309,483321.0270740073,484885.1632285725,466078.6061235314,296294.2323272549,141959.0,-16.08965081270302
11,BAKERSFIELD,CITY,0.0,0.0,4686602.364706794,4297843.459765308,4726394.298063005,4811704.688400758,4350256.466477644,4054790.249901437,4188394.0,97.45338654630096
15,BENICIA,CITY,838505.0422203355,1069311.1191930105,810843.4738428124,928028.7760289942,1072427.921663847,839238.8651372667,1090341.8520357378,881644.883567563,645738.0,-20.771666482711833
16,BERKELEY,CITY,2251598.734474679,3189619.3307359954,2016521.6531849226,1991259.7763584752,2295890.8328474336,3146797.688063264,3672815.4798588455,3342188.8816281515,2885003.0,31.80922313831206
17,BEVERLY HILLS,CITY,4326195.0687653115,4447912.232606254,3848607.0566756953,4899175.644122569,5303355.659547629,4117396.7451241026,4080957.195100359,4357104.624403144,4705743.0,7.747179501311076
19,BRAWLEY,CITY,131686.55790236464,143056.96908891347,151488.81967916826,152667.8427995742,286372.47075526224,387972.68209260557,0.0,375399.08376110584,295603.0,107.36802138013346
20,BREA,CITY,1202076.2804627032,1628254.728494647,1441422.0783621015,1379830.2981802514,1692187.7256483715,1457317.440557984,1720620.0046018278,1751870.5358432862,2006873.0,58.32577532169567
21,BURBANK,CITY,4277156.987676657,4810315.500574928,4607641.349798461,4852187.050385241,4642336.638262235,5374649.244134546,5822751.9239760125,5060002.293189759,4635183.0,7.378652319162296
22,CALEXICO,CITY,306237.39500042243,143144.62520815,130009.66771550113,150178.61688969997,271124.7570807157,319680.1673576187,304904.76528231066,277455.9623029226,171361.0,-89.8106520047948
23,CALIFORNIA CITY,CITY,219605.27024215454,179208.4371673476,283416.8175414347,379580.4931062449,471433.2899201324,451559.11481331795,345219.34598156007,394033.7298323025,348786.0,34.03249958940531
25,CARLSBAD,CITY,2029594.1829740512,2008173.6310617866,2575452.602119704,2714723.859121554,2877362.0055143726,3170010.6666180585,3209435.0813846276,3313471.7955174493,2913426.0,32.5569694337878
26,CATHEDRAL CITY,CITY,676441.6059687292,732179.1371246635,1217939.908592573,1155463.0298560422,1471819.6475906793,1302300.0789976963,1500869.921781168,1838864.7973413724,1567159.0,77.08748536439492
27,CERES,CITY,0.0,532053.2685566697,644836.5823606933,421034.4739203164,438027.68066003715,564431.583912136,801004.7123327351,849558.8391522338,759370.0,180.3581528442053
28,CHICO,CITY,1602034.5340959106,1871228.7610390517,1639236.1567113248,1279850.8904856043,1755038.162857517,1576931.6011616332,1648701.8715323112,1604947.708697885,1373639.0,-17.845479953469596
30,CHULA VISTA,CITY,3071508.4945207373,4639554.209247629,3054660.910790405,3396532.0151941404,3059396.149200269,2533914.1244088714,3122918.257759464,39302.47731445161,30059.0,-89.54573314530919
31,CLOVIS,CITY,823516.0695833093,992928.2539090742,1054807.2200019746,1160281.6528538116,1436412.0747921034,1423715.5036769756,1935246.9347462466,2225010.1352292057,1241862.0,36.05554990788083
32,COALINGA,CITY,318090.5945478552,369653.38220075436,350177.56000034336,354976.18506893754,467254.6224912137,425410.4273333694,516556.05320659274,461974.8980354988,399926.0,23.05377343447761
33,COLTON,CITY,903982.3483788937,1206496.5090551146,1421436.5461522946,1610671.7137190795,2129642.6462658797,1922167.1360168657,2088919.6123041771,2075781.2668145453,1795885.0,55.37457720429458
34,COMPTON,CITY,2553757.0103672547,1606463.18564074,2162130.3739359626,2521593.4061739664,2812146.1016889084,2839829.694258918,3274522.6918815277,3081073.7415643544,3353793.0,31.727398543869377
35,CONTRA COSTA,COUNTY,12691260.194119286,11772931.69188219,9211145.339955434,10268015.841101475,10177341.915010318,10878916.002470754,11629973.769908618,11849189.377603978,11429713.0,-12.286182780021466
36,CORONA,CITY,4617660.574369052,5005083.121610319,5547751.52252991,5934345.88695002,6339140.960863568,6092681.465053104,6963433.5487965075,5521145.387376697,5866947.0,21.051796599490483
37,CORONADO,CITY,815285.0914336774,772867.0766178558,783349.2374773029,734890.7636100975,953873.0647253151,1039772.4975146559,1192118.620043244,1370722.1297653986,1005936.0,25.942754761233346
39,COSTA MESA,CITY,3991920.975477797,3745184.5271087233,4006054.9911700445,4363176.7305226065,4104813.742756848,4448194.472007066,3991306.195214588,3174784.5391566143,3616122.0,-8.612967080817398
40,CULVER CITY,CITY,2255786.9634834337,2107604.087249666,2026356.9362371603,1836650.2293567518,2429179.9688461167,2725490.4359039534,3072742.233950718,3392776.198425372,3155735.0,48.99942417624907
41,DALY CITY,CITY,1616047.2004321173,1423141.4138130788,1346266.0989367142,1443725.1095397405,1884969.4796238241,2274685.4872441217,1749197.8513707567,2021821.9373533996,1725237.0,7.563060228459445
42,DAVIS,CITY,724355.6277657499,1192858.1433486938,1112890.481642535,1384125.1578086987,1675693.0993388663,1902057.1037969724,1796501.4886830943,1942004.4020835734,1637601.0,65.97997060324154
43,DINUBA,CITY,118822.95521007919,122797.62669320629,146690.79942650357,119451.52586425387,155347.40882299587,178977.0498235468,37110.52430238251,57699.90148024548,70583.0,-40.38454499518043
44,DIXON,CITY,350661.03652990365,447659.7564004286,336923.7423902266,426561.52737226285,531445.814376184,435000.48083597573,477801.78122144256,522681.3071837902,525323.0,40.94648773087025
45,DOWNEY,CITY,2868059.4455430135,2212320.412314782,2189236.115523466,2436469.4395275745,2672629.9530244665,2844891.555221306,3016729.6542836158,2669732.993835297,2581772.0,-11.750093840640332
47,EL CAJON,CITY,1897272.2872111995,1709980.2520623365,1880431.054495036,1889546.009960462,2303868.4849652136,1780239.0310865934,1557683.5155474865,1730475.767087338,1884550.0,-0.673298620099001
48,EL CENTRO,CITY,111309.14734661396,283736.57772851206,398492.48260408576,408076.46017082327,501263.1938299784,560154.7800897474,454309.5395928526,920169.517381037,660887.0,134.67521562584852
49,EL CERRITO,CITY,932725.9878989415,1335473.0458809899,1434717.799834304,917244.650243309,1595249.9760776658,1558372.5095059727,1797941.8538797325,1603900.0634590036,1594972.0,72.19949573163393
51,EL SEGUNDO,CITY,849797.916964155,1249658.6850440348,1352620.293187155,1632474.3089010543,2330735.3534008116,2091910.9764923516,2362958.217101828,2492488.523828489,2108530.0,77.10578207403432
53,ENCINITAS,CITY,1328713.0957637401,1755347.1932454684,2051253.5253158312,2037254.8395807985,2061257.6859339203,2007059.8277800232,1939943.5056951696,2318645.591958806,2344963.0,49.883298077984755
54,ESCONDIDO,CITY,2820661.4226523624,3158954.164734271,3367811.8456067005,3320526.930796332,3599618.8910078164,3712241.2180853053,4091137.7922650143,4365883.871142581,3907708.0,32.73717093711211
56,FAIRFIELD,CITY,269648.071668319,1690529.3235711732,1313533.7677253752,1456733.8797394566,1802103.7216064667,1792379.1887861602,1862593.4957653391,3043564.1731572584,2245953.0,135.6668473094861
58,FILLMORE,CITY,0.0,0.0,0.0,27516.475567721005,0.0,0.0,0.0,87455.46975193844,110188.0,400.44372590092615
59,FOLSOM,CITY,1747588.2784666063,1972327.2668536631,1994682.539958018,2472247.3373124497,2768163.307914621,2743786.4215710377,2063679.3242819845,2314778.7730887625,2054492.0,12.41395700589671
60,FOSTER CITY,CITY,728787.3991658182,926381.0911304301,1026192.4944603514,851241.8263128548,1203126.1544193032,1155764.9562512762,1412580.0200718015,1210600.3979777547,71402.0,-77.2266327670101
61,FOUNTAIN VALLEY,CITY,1103976.2504945784,1501760.222788923,1077186.2751237357,1152704.902752433,1262350.190003249,1420359.0382113857,1768735.0858844654,1662119.2060197447,1459638.0,30.85453602705872
62,FREMONT,CITY,4164786.2919191434,4249738.36069758,5256480.306326921,4204169.731067519,6761882.096659732,6558700.757173751,5587843.066522516,6456229.341205145,6988667.0,67.16857046025636
63,FULLERTON,CITY,2161156.855676428,2284506.42910529,2423574.1902196542,3019016.3376799477,2827900.7781129614,3546897.7453782596,3206418.7626672657,3051549.2864794694,2907997.0,24.73786362141728
64,GARDEN GROVE,CITY,4103439.250134481,4010762.9704826777,3737218.799675477,4050537.612906909,5013299.619027328,4213662.64595616,4945135.6365861595,5155996.733416433,3371576.0,-18.068299077199583
65,GILROY,CITY,545304.0072553005,600914.3212714619,430121.88372532267,588363.3713630373,616085.9420168175,664407.5987450369,1077806.189980418,857487.955887331,1599803.0,179.22580569585512
66,GLENDALE,CITY,6336236.984809212,5351643.258678364,7048610.009598338,7285144.575527169,7093313.848048876,8707097.500314571,7913119.202386586,7652050.712664322,7561058.0,16.812583504592386
67,GRASS VALLEY,CITY,90796.485976198,143324.21335487865,106827.28440871062,148248.79185675184,185031.69577287708,235899.55110892598,369461.4953410575,464776.7636306435,403313.0,210.80543733926476
69,HANFORD,CITY,216868.4302277507,182322.9463836163,248768.35106908143,230490.44008515813,258599.54123543878,259988.12935039395,312219.2338732049,244628.7266981805,370794.0,66.78175880760139
71,HEALDSBURG,CITY,127450.5933119646,195566.01327996375,156991.39825804761,211991.33386557177,182548.6569444386,151019.64182294684,238057.63553361624,160623.66483212338,333913.0,97.39190886876425
72,HEMET,CITY,1089429.4002685177,1197672.9942071661,1488032.672179844,1796496.4776079685,2164293.0108726383,2244643.4702571174,2478585.85390829,2226312.3104095072,2054722.0,53.731950591785605
74,HOLLISTER,CITY,329077.73425684305,248813.31975574273,533574.5312911825,362561.96333890915,313089.4076543033,649259.2980829728,1111315.2797976502,1636208.05798325,1454117.0,310.302618449667
75,HUNTINGTON BEACH,CITY,5105830.7732007345,5571599.765298746,5867451.996428524,4718542.077174574,5504516.321263878,5773915.244813691,6785471.787459205,5897847.66443787,5541255.0,9.227939894943017
76,IMPERIAL,COUNTY,262568.430285544,410784.50176833896,393008.5605540938,410163.95417680446,600109.0648982987,550564.7265871414,669215.9902823105,664300.7484697759,564561.0,73.62728163681581
78,KERN,COUNTY,17348304.8964697,18311819.850806195,19497703.48734748,22283490.94934865,22925800.424999043,24739473.69662969,24965079.185859997,24640710.70364826,18939913.0,7.142543810339654
80,KINGS,COUNTY,471219.52110127645,580364.3507365176,786272.8252982311,1458148.5807988655,1578710.0467139485,1738179.3551396413,2127055.392934073,2337262.9299939875,1798789.0,91.04486993852146
81,KINGSBURG,CITY,91052.21230644752,86677.3371124681,102663.58613821436,130480.79450527171,177589.05115244898,121382.40327990432,191161.80618064618,155921.98775422428,239313.0,113.62652124835309
82,LA MESA,CITY,1070834.1180942392,1192205.621932629,1454560.6644702668,1407517.40181468,1449522.994409684,1454104.777960643,1604234.1161675914,1451657.5605379385,1369871.0,21.245696964046015
83,LA VERNE,CITY,671289.572835302,996578.3651750481,1065189.0296063223,1105862.0988189375,1375037.2227772688,148278.86567475117,1259763.6349298307,1306449.2470779393,1526888.0,77.36935989383112
84,LAGUNA BEACH,CITY,1346759.4187490835,808258.0120560642,795398.0628098748,1335283.413675994,1475185.01733209,1459997.4999395853,1628361.5369451698,2230745.203869268,1412996.0,4.960488580365812
