Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI
20200727AZCAO,https://www.kgun9.com/news/education/man-dies-at-cdo-high-school-after-self-inflicted-shooting https://tucson.com/news/local/crime-and-courts/police-id-roofer-working-at-cdo-high-school-who-fatally-shot-himself/article_001c5c06-d038-11ea-adbb-936ea8f054c1.html,3,Local,4,2020-07-27,Summer,Canyon del Oro High School,Oro Valley,AZ,High,Beside Building,Outside on School Property,No,Not a School Day,16:00:00,Adult male construction work fatal shot self in leg,40 year-old male fatally shot himself (accident) while working on the roof of the school. School placed on lockdown when gun shot was reported. No students were present at the school.,Accidental,Neither,No,No,No,No,No,No,No,No,,No
20200721SCBRO,https://abcnews4.com/news/crime-news/person-of-interest-sought-after-deadly-shooting-near-orangeburg-co-school https://www.wistv.com/2020/07/22/orangeburg-co-deputies-investigate-deadly-shooting-near-elementary-school/ https://abcnews4.com/news/crime-news/deputies-argument-over-orangeburg-co-basketball-game-leads-to-deadly-shooting,2,Local,3,2020-07-21,Summer,Brookdale Elementary School,Orangeburg,SC,Elementary,Basketball Court,Outside on School Property,No,Night,9:00 PM,Adult male shot on school basketball court,28 year-old male victim was shot on the school basketball court. Shooter fled the area. Brother transported victim to the hospital where he died. Police searching for 21 year-old male shooter.,Escalation of Dispute,,No,No,No,No,No,No,,No,,No
20200714MIWID,https://www.detroitnews.com/story/news/local/macomb-county/2020/07/14/sterling-heights-police-fight-shot-fired-school-grounds/5435977002/,1,Local,3,2020-07-14,Summer,Willow Woods Elementary School,Detroit,MI,Elementary,Parking Lot,Outside on School Property,No,Not a School Day,null,Shots fired into the air during fight between two men,Shots fired into the air between two men who police reported are not related to the school. School was not in session. Both men fled the scene.,Escalation of Dispute,Neither,No,No,No,No,No,No,No,No,,No
20200704INLAM,https://www.abc57.com/news/murder-suspect-charged-in-fatal-shooting-near-washington-park https://www.nwitimes.com/news/local/laporte/cops-escort-jet-skier-to-shore-serve-michigan-city-murder-warrant/article_368fb153-b3ba-531e-aeb9-722119ab48f3.html,2,Local,4,2020-07-04,Summer,Lake Hills Elementary School,Michigan City,IN,Elementary,Parking Lot,Outside on School Property,No,Night,null,Adult male fired shot during exchange of stolen cellphone,"22 year-old male was involved in a prior assualt and theft of a cell phone. The victim tracked the phone and arranged to meet the shooter in the school parking lot. During the exchange of the phone, he fired a shot at a 22 year-old male victim who was with the woman. Shooter than chased the victim in his vehicle. The victim was fatally shot and crashed his vehicle away from the school. Shooter was arrested 2 weeks later after investigation. ",Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,,No
20200701ILFRP,https://www.dailyherald.com/news/20200714/prospect-heights-man-charged-after-shooting-near-frost-elementary-school,1,Local,3,2020-07-01,Summer,Frost Elementary School,Prospect Heights,IL,Elementary,Parking Lot,Outside on School Property,No,Not a School Day,4:35 PM,Adult male fired shot from vehicle at 4 people,25 year-old male fired shots from a vehicle at 4 people near the school and then fled the scene. Later arrested. Driver also charged. Police said the shooting is gang related.,Drive-by Shooting,,Yes,No,No,No,No,No,Yes,No,,No
20200627VAHAS,"https://www.rochesterfirst.com/news/virginia-teen-faces-multiple-charges-after-shooting-near-middle-school/
Halifax County Middle School",2,Local,4,2020-06-27,Summer,Halifax County Middle School,South Boston,VA,Middle,Football Field/Track,Outside on School Property,No,Night,10:00 PM,Teen fired shot during large fight between multiple teens and adults on school football field,A 17 year-old male fired multiple shots during a large fight between multiple teens and adults on the school football field. A vehicle was struck twice. No one was injured.,Escalation of Dispute,,No,No,No,No,No,No,,No,,No
20200621INCOC,https://www.wthr.com/article/news/crime/columbus-teenagers-accused-of-damaging-school-shooting-gun-in-cemetery/531-cfb8a401-31f9-4a5d-8480-635f5f5f734c https://www.localnewsdigital.com/2020/06/24/cpd-seeks-information-regarding-columbus-east-vandalism/ https://wrbiradio.com/2020/06/26/three-juveniles-in-custody-after-gun-theft-and-vandalism-reported/,3,Local,4,2020-06-21,Summer,Columbus East High School,Columbus,IN,High,Beside Building,Outside on School Property,No,Night,5:30 AM,Three teen males fired a stolen handgun at the school building damaging windows.,"14 year-old male, 16 year-old male, and 16 year-old male fired a stolen handgun at the school building damaging property. Later arrested after being identified with CCTV footage.",Intentional Property Damage,Neither,Yes,No,No,No,No,No,No,No,,No
20200618INJOI,https://fox59.com/news/man-found-shot-to-death-outside-school-on-near-north-side-of-indianapolis/ https://cbs4indy.com/news/impd-investigates-shooting-death-of-man-found-outside-school-on-near-north-side/,2,Local,4,2020-06-18,Summer,Joyce Kilmer School 69,Indianapolis,IN,Elementary,Beside Building,Outside on School Property,No,Night,1:30 AM,Adult male found dead next to school,A 37 year-old male was found lying in the grass next to the school. Neighbors reported hearing gunshots. Police believe the shooting was related to an attempted robbery at a nearby business.  No suspects.,Illegal Activity,,,No,No,No,No,No,,No,,No
20200616FLTOM,https://miami.cbslocal.com/2020/06/17/little-haiti-homicide-investigated/ https://miami.cbslocal.com/2017/02/10/bullets-strike-little-haiti-elementary-school/,2,Local,4,2020-06-16,Summer,Touissant Louverture Elementary School,Miami,FL,Elementary,Front of School,Off School Property,No,Night,11:15 PM,Shots fired during a drive-by struck the school building,At least 56 shots were fired during a drive-by shooting that targeted two adult victims in front of the school building. The school building was struck by bullets. No suspects identified. School was closed.,Drive-by Shooting,,,No,No,No,No,No,Yes,No,56,No
20200603IAGAD,https://www.ourquadcities.com/news/local-news/shooting-near-garfield-elementary-in-davenport/ https://qctimes.com/news/local/crime-and-courts/watch-now-teen-injured-in-shooting-outside-garfield-elementary-school-in-davenport/article_7a80740c-0af4-5471-b0f2-0dfc61cf3223.html https://www.kwqc.com/content/news/Shooting-near-Davenport-Garfield-Elementary-leaves-man-injured-Wednesday-571020891.html,,,4,2020-06-03,Summer,Garfield Elementary School,Davenport,IA,Elementary,Front of School,Outside on School Property,No,Not a School Day,12:55 PM,Adult male shot in front of school,An 18 year-old male was shot by an unidentified adult male in vehicle in front of the school (closed for COVID). The victim was struck once in the leg and other bullets stuck the school's playground equipment. Shooter fled the scene. Motive unknown.,Drive-by Shooting,Victims Targeted,,No,No,No,No,No,,No,>10,No
20200527OHLUC,https://www.cleveland.com/metro/2020/05/man-shot-to-death-in-school-parking-lot-in-clevelands-tremont-neighborhood.html,,,3,2020-05-27,Spring,Luis Munoz Marin Middle School,Cleveland,OH,Middle,Parking Lot,Outside on School Property,No,Night,11:30 PM,Two men shot each other during sale of handgun at school parking lot,"Two 21 year-old men met in the school parking lot to sell a handgun. During the exchange, both men shot either other. One was killed at the scene and the other was shot in the leg, arrested, and transported to the hospital.",Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,,No
