year,month_year,date,day_count
2022,2022-06,2022-06-27,8801
2022,2022-06,2022-06-26,6954
2022,2022-06,2022-06-25,9316
2022,2022-06,2022-06-24,55263
2022,2022-06,2022-06-23,62108
2022,2022-06,2022-06-22,49041
2022,2022-06,2022-06-21,57453
2022,2022-06,2022-06-20,26714
2022,2022-06,2022-06-19,14766
2022,2022-06,2022-06-18,20281
2022,2022-06,2022-06-17,49029
2022,2022-06,2022-06-16,108838
2022,2022-06,2022-06-15,179649
2022,2022-06,2022-06-14,76137
2022,2022-06,2022-06-13,58135
2022,2022-06,2022-06-12,37228
2022,2022-06,2022-06-11,77112
2022,2022-06,2022-06-10,238984
2022,2022-06,2022-06-09,71754
2022,2022-06,2022-06-08,27608
2022,2022-06,2022-06-07,23685
2022,2022-06,2022-06-06,10991
2022,2022-06,2022-06-05,8702
2022,2022-06,2022-06-04,23777
2022,2022-06,2022-06-03,12938
2022,2022-06,2022-06-02,8947
2022,2022-06,2022-06-01,3180
2022,2022-05,2022-05-31,4677
2022,2022-05,2022-05-30,2060
2022,2022-05,2022-05-29,1691
2022,2022-05,2022-05-28,7094
2022,2022-05,2022-05-27,3876
2022,2022-05,2022-05-26,1052
2022,2022-05,2022-05-25,3392
2022,2022-05,2022-05-24,3255
2022,2022-05,2022-05-23,8443
2022,2022-05,2022-05-22,4149
2022,2022-05,2022-05-21,4079
2022,2022-05,2022-05-20,7883
2022,2022-05,2022-05-19,8693
2022,2022-05,2022-05-18,3905
2022,2022-05,2022-05-17,10648
2022,2022-05,2022-05-16,2087
2022,2022-05,2022-05-15,1372
2022,2022-05,2022-05-14,6266
2022,2022-05,2022-05-13,12142
2022,2022-05,2022-05-12,18899
2022,2022-05,2022-05-11,3872
2022,2022-05,2022-05-10,7104
2022,2022-05,2022-05-09,2913
2022,2022-05,2022-05-08,3006
2022,2022-05,2022-05-07,3006
2022,2022-05,2022-05-06,1899
2022,2022-05,2022-05-05,2001
2022,2022-05,2022-05-04,5631
2022,2022-05,2022-05-03,4617
2022,2022-05,2022-05-02,11578
2022,2022-05,2022-05-01,5596
2022,2022-04,2022-04-30,16067
2022,2022-04,2022-04-29,32377
2022,2022-04,2022-04-28,7774
2022,2022-04,2022-04-27,5171
2022,2022-04,2022-04-26,7997
2022,2022-04,2022-04-25,15615
2022,2022-04,2022-04-24,5478
2022,2022-04,2022-04-23,10732
2022,2022-04,2022-04-22,3657
2022,2022-04,2022-04-21,2432
2022,2022-04,2022-04-20,5539
2022,2022-04,2022-04-19,4712
2022,2022-04,2022-04-18,2249
2022,2022-04,2022-04-17,2281
2022,2022-04,2022-04-16,2235
2022,2022-04,2022-04-15,4684
2022,2022-04,2022-04-14,7212
2022,2022-04,2022-04-13,3033
2022,2022-04,2022-04-12,4992
2022,2022-04,2022-04-11,5312
2022,2022-04,2022-04-10,3793
2022,2022-04,2022-04-09,3733
2022,2022-04,2022-04-08,4791
2022,2022-04,2022-04-07,13123
2022,2022-04,2022-04-06,12573
2022,2022-04,2022-04-05,7900
2022,2022-04,2022-04-04,8764
2022,2022-04,2022-04-03,3724
2022,2022-04,2022-04-02,13232
2022,2022-04,2022-04-01,21106
2022,2022-03,2022-03-31,6282
2022,2022-03,2022-03-30,11100
2022,2022-03,2022-03-29,32041
2022,2022-03,2022-03-28,19090
2022,2022-03,2022-03-27,14160
2022,2022-03,2022-03-26,8804
2022,2022-03,2022-03-25,12059
2022,2022-03,2022-03-24,12168
2022,2022-03,2022-03-23,8850
2022,2022-03,2022-03-22,7482
2022,2022-03,2022-03-21,6341
2022,2022-03,2022-03-20,3950
2022,2022-03,2022-03-19,3860
2022,2022-03,2022-03-18,6086
2022,2022-03,2022-03-17,3779
2022,2022-03,2022-03-16,4031
2022,2022-03,2022-03-15,6233
2022,2022-03,2022-03-14,6313
2022,2022-03,2022-03-13,877
2022,2022-03,2022-03-12,733
2022,2022-03,2022-03-11,1655
2022,2022-03,2022-03-10,10291
2022,2022-03,2022-03-09,2165
