year,month_year,date,day_count
2022,2022-05,2022-05-23,690
2022,2022-05,2022-05-22,917
2022,2022-05,2022-05-21,1051
2022,2022-05,2022-05-20,945
2022,2022-05,2022-05-19,663
2022,2022-05,2022-05-18,657
2022,2022-05,2022-05-17,901
2022,2022-05,2022-05-16,2335
2022,2022-05,2022-05-15,6013
2022,2022-05,2022-05-14,1221
2022,2022-05,2022-05-13,1158
2022,2022-05,2022-05-12,711
2022,2022-05,2022-05-11,743
2022,2022-05,2022-05-10,745
2022,2022-05,2022-05-09,733
2022,2022-05,2022-05-08,673
2022,2022-05,2022-05-07,590
2022,2022-05,2022-05-06,683
2022,2022-05,2022-05-05,683
2022,2022-05,2022-05-04,732
2022,2022-05,2022-05-03,694
2022,2022-05,2022-05-02,629
2022,2022-05,2022-05-01,1266
2022,2022-04,2022-04-30,1022
2022,2022-04,2022-04-29,1498
2022,2022-04,2022-04-28,3270
2022,2022-04,2022-04-27,1593
2022,2022-04,2022-04-26,2038
2022,2022-04,2022-04-25,2611
2022,2022-04,2022-04-24,671
2022,2022-04,2022-04-23,526
2022,2022-04,2022-04-22,626
2022,2022-04,2022-04-21,632
2022,2022-04,2022-04-20,1008
2022,2022-04,2022-04-19,880
2022,2022-04,2022-04-18,3316
2022,2022-04,2022-04-17,1502
2022,2022-04,2022-04-16,717
2022,2022-04,2022-04-15,953
2022,2022-04,2022-04-14,710
2022,2022-04,2022-04-13,701
2022,2022-04,2022-04-12,704
2022,2022-04,2022-04-11,718
2022,2022-04,2022-04-10,693
2022,2022-04,2022-04-09,806
2022,2022-04,2022-04-08,923
2022,2022-04,2022-04-07,2192
2022,2022-04,2022-04-06,12884
2022,2022-04,2022-04-05,4275
2022,2022-04,2022-04-04,1999
2022,2022-04,2022-04-03,887
2022,2022-04,2022-04-02,3199
2022,2022-04,2022-04-01,6331
2022,2022-03,2022-03-31,854
2022,2022-03,2022-03-30,1138
2022,2022-03,2022-03-29,1118
2022,2022-03,2022-03-28,2104
2022,2022-03,2022-03-27,665
2022,2022-03,2022-03-26,818
2022,2022-03,2022-03-25,1085
2022,2022-03,2022-03-24,971
2022,2022-03,2022-03-23,781
2022,2022-03,2022-03-22,726
2022,2022-03,2022-03-21,815
2022,2022-03,2022-03-20,647
2022,2022-03,2022-03-19,613
2022,2022-03,2022-03-18,779
2022,2022-03,2022-03-17,749
2022,2022-03,2022-03-16,556
2022,2022-03,2022-03-15,693
2022,2022-03,2022-03-14,656
2022,2022-03,2022-03-13,624
2022,2022-03,2022-03-12,581
2022,2022-03,2022-03-11,667
2022,2022-03,2022-03-10,569
2022,2022-03,2022-03-09,657
2022,2022-03,2022-03-08,652
2022,2022-03,2022-03-07,564
2022,2022-03,2022-03-06,510
2022,2022-03,2022-03-05,559
2022,2022-03,2022-03-04,612
2022,2022-03,2022-03-03,711
2022,2022-03,2022-03-02,743
2022,2022-03,2022-03-01,1011
2022,2022-02,2022-02-28,633
2022,2022-02,2022-02-27,841
2022,2022-02,2022-02-26,663
2022,2022-02,2022-02-25,681
2022,2022-02,2022-02-24,1216
2022,2022-02,2022-02-23,723
2022,2022-02,2022-02-22,640
2022,2022-02,2022-02-21,774
2022,2022-02,2022-02-20,832
2022,2022-02,2022-02-19,755
