year,month_year,date,day_count
2022,2022-06,2022-06-29,2050
2022,2022-06,2022-06-28,3929
2022,2022-06,2022-06-27,375
2022,2022-06,2022-06-26,256
2022,2022-06,2022-06-25,124
2022,2022-06,2022-06-24,271
2022,2022-06,2022-06-23,135
2022,2022-06,2022-06-22,161
2022,2022-06,2022-06-21,269
2022,2022-06,2022-06-20,268
2022,2022-06,2022-06-19,214
2022,2022-06,2022-06-18,177
2022,2022-06,2022-06-17,219
2022,2022-06,2022-06-16,190
2022,2022-06,2022-06-15,218
2022,2022-06,2022-06-14,219
2022,2022-06,2022-06-13,148
2022,2022-06,2022-06-12,237
2022,2022-06,2022-06-11,120
2022,2022-06,2022-06-10,160
2022,2022-06,2022-06-09,182
2022,2022-06,2022-06-08,135
2022,2022-06,2022-06-07,166
2022,2022-06,2022-06-06,124
2022,2022-06,2022-06-05,209
2022,2022-06,2022-06-04,258
2022,2022-06,2022-06-03,294
2022,2022-06,2022-06-02,127
2022,2022-06,2022-06-01,157
2022,2022-05,2022-05-31,177
2022,2022-05,2022-05-30,211
2022,2022-05,2022-05-29,199
2022,2022-05,2022-05-28,232
2022,2022-05,2022-05-27,266
2022,2022-05,2022-05-26,993
2022,2022-05,2022-05-25,331
2022,2022-05,2022-05-24,315
2022,2022-05,2022-05-23,1925
2022,2022-05,2022-05-22,139
2022,2022-05,2022-05-21,184
2022,2022-05,2022-05-20,251
2022,2022-05,2022-05-19,245
2022,2022-05,2022-05-18,299
2022,2022-05,2022-05-17,187
2022,2022-05,2022-05-16,246
2022,2022-05,2022-05-15,547
2022,2022-05,2022-05-14,238
2022,2022-05,2022-05-13,196
2022,2022-05,2022-05-12,228
2022,2022-05,2022-05-11,218
2022,2022-05,2022-05-10,226
2022,2022-05,2022-05-09,229
2022,2022-05,2022-05-08,188
2022,2022-05,2022-05-07,395
2022,2022-05,2022-05-06,225
2022,2022-05,2022-05-05,189
2022,2022-05,2022-05-04,174
2022,2022-05,2022-05-03,206
2022,2022-05,2022-05-02,251
2022,2022-05,2022-05-01,205
2022,2022-04,2022-04-30,163
2022,2022-04,2022-04-29,301
2022,2022-04,2022-04-28,227
2022,2022-04,2022-04-27,509
2022,2022-04,2022-04-26,700
2022,2022-04,2022-04-25,306
2022,2022-04,2022-04-24,355
2022,2022-04,2022-04-23,179
2022,2022-04,2022-04-22,221
2022,2022-04,2022-04-21,250
2022,2022-04,2022-04-20,270
2022,2022-04,2022-04-19,250
2022,2022-04,2022-04-18,241
2022,2022-04,2022-04-17,584
2022,2022-04,2022-04-16,677
2022,2022-04,2022-04-15,232
2022,2022-04,2022-04-14,260
2022,2022-04,2022-04-13,213
2022,2022-04,2022-04-12,301
2022,2022-04,2022-04-11,279
2022,2022-04,2022-04-10,213
2022,2022-04,2022-04-09,229
2022,2022-04,2022-04-08,257
2022,2022-04,2022-04-07,247
2022,2022-04,2022-04-06,211
2022,2022-04,2022-04-05,269
2022,2022-04,2022-04-04,224
2022,2022-04,2022-04-03,164
2022,2022-04,2022-04-02,202
2022,2022-04,2022-04-01,201
2022,2022-03,2022-03-31,301
2022,2022-03,2022-03-30,245
2022,2022-03,2022-03-29,249
2022,2022-03,2022-03-28,259
2022,2022-03,2022-03-27,297
2022,2022-03,2022-03-26,342
2022,2022-03,2022-03-25,248
2022,2022-03,2022-03-24,156
2022,2022-03,2022-03-23,222
2022,2022-03,2022-03-22,220
2022,2022-03,2022-03-21,137
2022,2022-03,2022-03-20,195
2022,2022-03,2022-03-19,304
2022,2022-03,2022-03-18,196
2022,2022-03,2022-03-17,253
2022,2022-03,2022-03-16,261
2022,2022-03,2022-03-15,441
2022,2022-03,2022-03-14,422
2022,2022-03,2022-03-13,529
2022,2022-03,2022-03-12,270
2022,2022-03,2022-03-11,201
2022,2022-03,2022-03-10,168
2022,2022-03,2022-03-09,166
2022,2022-03,2022-03-08,152
2022,2022-03,2022-03-07,271
2022,2022-03,2022-03-06,192
2022,2022-03,2022-03-05,147
2022,2022-03,2022-03-04,165
2022,2022-03,2022-03-03,287
2022,2022-03,2022-03-02,295
2022,2022-03,2022-03-01,199
2022,2022-02,2022-02-28,182
2022,2022-02,2022-02-27,177
2022,2022-02,2022-02-26,121
2022,2022-02,2022-02-25,175
2022,2022-02,2022-02-24,163
2022,2022-02,2022-02-23,164
2022,2022-02,2022-02-22,216
2022,2022-02,2022-02-21,379
2022,2022-02,2022-02-20,668
2022,2022-02,2022-02-19,348
2022,2022-02,2022-02-18,398
2022,2022-02,2022-02-17,132
2022,2022-02,2022-02-16,148
2022,2022-02,2022-02-15,199
2022,2022-02,2022-02-14,138
2022,2022-02,2022-02-13,146
2022,2022-02,2022-02-12,148
2022,2022-02,2022-02-11,207
2022,2022-02,2022-02-10,164
2022,2022-02,2022-02-09,201
2022,2022-02,2022-02-08,167
2022,2022-02,2022-02-07,154
2022,2022-02,2022-02-06,178
2022,2022-02,2022-02-05,188
2022,2022-02,2022-02-04,259
2022,2022-02,2022-02-03,230
2022,2022-02,2022-02-02,180
2022,2022-02,2022-02-01,170
2022,2022-01,2022-01-31,155
2022,2022-01,2022-01-30,140
2022,2022-01,2022-01-29,168
2022,2022-01,2022-01-28,257
2022,2022-01,2022-01-27,236
2022,2022-01,2022-01-26,293
2022,2022-01,2022-01-25,284
2022,2022-01,2022-01-24,657
2022,2022-01,2022-01-23,196
2022,2022-01,2022-01-22,178
2022,2022-01,2022-01-21,145
2022,2022-01,2022-01-20,201
2022,2022-01,2022-01-19,166
2022,2022-01,2022-01-18,176
2022,2022-01,2022-01-17,269
2022,2022-01,2022-01-16,209
2022,2022-01,2022-01-15,242
2022,2022-01,2022-01-14,224
2022,2022-01,2022-01-13,256
2022,2022-01,2022-01-12,1073
2022,2022-01,2022-01-11,161
2022,2022-01,2022-01-10,136
2022,2022-01,2022-01-09,193
2022,2022-01,2022-01-08,138
2022,2022-01,2022-01-07,136
2022,2022-01,2022-01-06,242
2022,2022-01,2022-01-05,818
2022,2022-01,2022-01-04,218
2022,2022-01,2022-01-03,239
2022,2022-01,2022-01-02,300
