author_id,conversation_id,tweet_id,tweet_text,source,created_date_uct,retweets,likes,quotes,twitter,twitter_id,type,party,gender,created_date_eastern,created_time_eastern,month,weekday,year,hour,mentions_roe,tweet_text_clean
234128524,1521552887045840898,1521552889222922241,"I do believe that Roe v Wade was wrongly decided, and that the American people should be able to decide, through their elected officials, what our laws are when it comes to protecting life and protecting women.",Twitter Web App,2022-05-03 18:10:52+00:00,4,66,5,SenToddYoung,234128524,sen,Republican,M,2022-05-03,14:10:52,May,Friday,2022,14,True,"I do believe that Roe v Wade was wrongly decided , and that the people should be able to decide , through their , what our are when it comes to protecting life and protecting ."
234014087,1521482942131888128,1521482942131888128,"This draft decision from the Supreme Court would limit our freedom to make deeply personal choices about our bodies by overturning #RoeVWade.

As I said back before, it’s a woman’s body, not yours. She alone bears the burden, pain, and joy that it brings. https://t.co/ekwbCmRBgq",Twitter Web App,2022-05-03 13:32:55+00:00,8,24,0,RepWilson,234014087,rep,Democrat,F,2022-05-03,09:32:55,May,Friday,2022,9,True,"This draft decision from the Supreme Court would limit our freedom to make deeply personal about our by . As I said back before , it ’ s a woman ’ s body , not yours . She alone the burden , pain , and joy that it ."
7429102,1521586575733362697,1521586575733362697,"If the Supreme Court overturns Roe, it won’t stop abortions. It will just cause unsafe abortions.",Twitter Web App,2022-05-03 20:24:44+00:00,151,986,11,MarkWarner,7429102,sen,Democrat,M,2022-05-03,16:24:44,May,Friday,2022,16,True,"If the Supreme Court Roe , it won ’ t stop . It will just cause unsafe ."
7429102,1521467172656226304,1521467172656226304,"I’m outraged by the reported leaked SCOTUS decision overturning Roe. 

I believe abortion care is health care, and I’ll keep fighting for that in the Senate.",Twitter for iPhone,2022-05-03 12:30:16+00:00,212,1616,24,MarkWarner,7429102,sen,Democrat,M,2022-05-03,08:30:16,May,Friday,2022,8,True,"I ’ m by the decision Roe . I believe abortion care is health care , and I ’ keep fighting for that in the Senate ."
242555999,1522335075500580864,1522335075500580864,"We need two things right now: 
1. Codify Roe
2. End special-interest control of the Court",Twitter Web App,2022-05-05 21:59:00+00:00,4148,20305,157,SenWhitehouse,242555999,sen,Democrat,M,2022-05-05,17:59:00,May,Friday,2022,17,True,We need two right now : 1 . Codify Roe 2 . End special - interest control of the Court
242555999,1522225573476634624,1522225573476634624,Roe helps women to set their own course through life. We cannot let that freedom fall away. https://t.co/h0cuK9O4RN,Twitter Media Studio,2022-05-05 14:43:52+00:00,810,2716,28,SenWhitehouse,242555999,sen,Democrat,M,2022-05-05,10:43:52,May,Friday,2022,10,True,Roe to set their own course through life . We cannot let that freedom fall away .
242555999,1522204982333825025,1522204982333825025,RT @SenateDems: Senator Mitch McConnell confirmed Trump Justices to the Supreme Court for the explicit purpose of overturning #RoeVWade. ht…,Twitter Web App,2022-05-05 13:22:03+00:00,337,0,0,SenWhitehouse,242555999,sen,Democrat,M,2022-05-05,09:22:03,May,Friday,2022,9,True,: Senator confirmed Trump to the Supreme Court for the explicit purpose of . …
242555999,1521483998492598274,1521484001223098368,"Roe v. Wade has stood firm in the law for decades, guaranteeing women the freedom to decide if and when to have a child – one of the most profoundly personal and life-altering decisions a person can make.",Twitter Web App,2022-05-03 13:37:08+00:00,227,1323,4,SenWhitehouse,242555999,sen,Democrat,M,2022-05-03,09:37:08,May,Friday,2022,9,True,"Roe v . Wade stood firm in the law for , the freedom to decide if and when to have a child – one of the most profoundly personal and life - a person can make ."
1410590874,1521914820630663177,1521914820630663177,"Without Roe, the unthinkable becomes possible: a nationwide ban on abortion. 

Most Americans believe abortion should be legal. But the rules of the Senate don't allow majority rule. That has to change. 

It's time to abolish the filibuster and codify Roe. https://t.co/jpCbrYb4N4",Sprout Social,2022-05-04 18:09:03+00:00,4,10,0,PeterWelch,1410590874,rep,Democrat,M,2022-05-04,14:09:03,May,Friday,2022,14,True,"Without Roe , the unthinkable becomes possible : a nationwide ban on abortion . Most believe abortion should be legal . But the of the Senate don ' t allow majority rule . That to change . It ' s time to abolish the filibuster and codify Roe ."
1410590874,1521552695341027329,1521552695341027329,My statement on the Supreme Court's decision to overturn Roe v. Wade. https://t.co/t6vMgxfQl6,Sprout Social,2022-05-03 18:10:06+00:00,7,20,2,PeterWelch,1410590874,rep,Democrat,M,2022-05-03,14:10:06,May,Friday,2022,14,True,My statement on the Supreme Court ' s decision to overturn Roe v . Wade .
1410590874,1521509387600371713,1521509387600371713,"By repealing Roe v. Wade, SCOTUS will strip millions of Americans of the right to safe and legal abortion. We can't let this happen. 

Today, abortion is legal in America. It should stay legal. The Senate must pass the Women’s Health Protection Act now. https://t.co/oFDrls1Xlz",Sprout Social,2022-05-03 15:18:00+00:00,4,18,2,PeterWelch,1410590874,rep,Democrat,M,2022-05-03,11:18:00,May,Friday,2022,11,True,"By Roe v . Wade , will strip millions of of the right to safe and legal abortion . We can ' t let this happen . Today , abortion is legal in . It should stay legal . The Senate must pass the ’ s Health Protection Act now ."
237862972,1521492128492310528,1521492160645935118,"Despite the leak, Roe was always decided incorrectly, and the decision to protect unborn life should be left up to each state.",Twitter Web App,2022-05-03 14:09:33+00:00,0,7,0,RepWalberg,237862972,rep,Republican,M,2022-05-03,10:09:33,May,Friday,2022,10,True,"Despite the leak , Roe was always decided incorrectly , and the decision to protect unborn life should be left up to each state ."
1140648348,1521551924373372929,1521551924373372929,We knew extremists would target #RoeVWade. But we are not giving up our rights. We will not go back. #BansOffOurBodies https://t.co/wMrFPuY2GO,Twitter Media Studio,2022-05-03 18:07:02+00:00,5,11,0,RepDWStweets,1140648348,rep,Democrat,F,2022-05-03,14:07:02,May,Friday,2022,14,True,We knew would target . But we are not giving up our . We will not go back .
1140648348,1521500601871437825,1521500601871437825,"""As a mother of two young adult daughters who have had the constitutional right to make decisions about their own bodies for their entire lives, I am outraged and will fight until my last breath to prevent Roe from being overturned"" My full statement below
https://t.co/QRRXzYblMF",Twitter Web App,2022-05-03 14:43:06+00:00,2,4,0,RepDWStweets,1140648348,rep,Democrat,F,2022-05-03,10:43:06,May,Friday,2022,10,True,""" As a mother of two young adult who have had the constitutional right to make about their own for their entire , I am and will fight until my last breath to prevent Roe from being "" My full statement below"
250188760,1521866989463117826,1521866989463117826,"If the Supreme Court follows through and overturns Roe, there’s a very real chance a person’s search history, phone records and app data will be weaponized against them if they try to seek out an abortion. The right to an abortion in Roe is based on the right to privacy. https://t.co/hgn6L4HHmr",Twitter for iPhone,2022-05-04 14:58:59+00:00,64,149,3,RonWyden,250188760,sen,Democrat,M,2022-05-04,10:58:59,May,Friday,2022,10,True,"If the Supreme Court through and Roe , there ’ s a very real chance a person ’ s search history , phone and data will be against them if they try to seek out an abortion . The right to an abortion in Roe is based on the right to privacy ."
36686040,1521559992394043392,1521559992394043392,"Today the women of this country have gotten the first view of a leaked document from the SCOTUS that basically describes the destruction of Roe v.Wade. This decision will be devastating. Despite the pending decision, women must fight with every breath of life, to resist &amp; resist!",Twitter for iPhone,2022-05-03 18:39:06+00:00,318,1610,19,RepMaxineWaters,36686040,rep,Democrat,F,2022-05-03,14:39:06,May,Friday,2022,14,True,"Today the of this country have gotten the first view of a document from the that basically the destruction of Roe v . Wade . This decision will be devastating . Despite the pending decision , must fight with every breath of life , to resist & ; resist !"
18137749,1522009457852571649,1522009457852571649,"As the Trump-stacked SCOTUS prepares to strike down the constitutional protections in #RoeVWade, we must not allow the anti-democratic filibuster to stand in the way of a Senate vote to safeguard them. #AbolishTheFilibuster https://t.co/SoENZ1JRns",Twitter Web App,2022-05-05 00:25:06+00:00,30,128,1,ChrisVanHollen,18137749,sen,Democrat,M,2022-05-04,20:25:06,May,Friday,2022,20,True,"As the Trump - to strike down the constitutional in , we must not allow the anti - democratic filibuster to stand in the way of a Senate vote to safeguard them ."
18137749,1521528874349309955,1521528874349309955,We can’t let the filibuster stand in the way of our fight to protect reproductive rights. It’s time to #AbolishtheFilibuster NOW and take action to codify Roe v. Wade. Millions of Americans’ right to choose is at risk.,Twitter for iPhone,2022-05-03 16:35:26+00:00,44,180,4,ChrisVanHollen,18137749,sen,Democrat,M,2022-05-03,12:35:26,May,Friday,2022,12,True,We can ’ t let the filibuster stand in the way of our fight to protect reproductive . It ’ s time to NOW and take action to codify Roe v . Wade . Millions of ’ right to choose is at risk .
