year,month_year,date,day_count
2022,2022-06,2022-06-28,149839
2022,2022-06,2022-06-27,31000
2022,2022-06,2022-06-26,10798
2022,2022-06,2022-06-25,13129
2022,2022-06,2022-06-24,78630
2022,2022-06,2022-06-23,114647
2022,2022-06,2022-06-22,91758
2022,2022-06,2022-06-21,141465
2022,2022-06,2022-06-20,33890
2022,2022-06,2022-06-19,20477
2022,2022-06,2022-06-18,29122
2022,2022-06,2022-06-17,97911
2022,2022-06,2022-06-16,174485
2022,2022-06,2022-06-15,148213
2022,2022-06,2022-06-14,97932
2022,2022-06,2022-06-13,159476
2022,2022-06,2022-06-12,52051
2022,2022-06,2022-06-11,115763
2022,2022-06,2022-06-10,630616
2022,2022-06,2022-06-09,126027
2022,2022-06,2022-06-08,34805
2022,2022-06,2022-06-07,28554
2022,2022-06,2022-06-06,14501
2022,2022-06,2022-06-05,9362
2022,2022-06,2022-06-04,22503
2022,2022-06,2022-06-03,12068
2022,2022-06,2022-06-02,8439
2022,2022-06,2022-06-01,3087
2022,2022-05,2022-05-31,4670
2022,2022-05,2022-05-30,2068
2022,2022-05,2022-05-29,1620
2022,2022-05,2022-05-28,6886
2022,2022-05,2022-05-27,3827
2022,2022-05,2022-05-26,1019
2022,2022-05,2022-05-25,3375
2022,2022-05,2022-05-24,3220
2022,2022-05,2022-05-23,8428
2022,2022-05,2022-05-22,4106
2022,2022-05,2022-05-21,4043
2022,2022-05,2022-05-20,7446
2022,2022-05,2022-05-19,7850
2022,2022-05,2022-05-18,3894
2022,2022-05,2022-05-17,10615
2022,2022-05,2022-05-16,2033
2022,2022-05,2022-05-15,1337
2022,2022-05,2022-05-14,6197
2022,2022-05,2022-05-13,11689
2022,2022-05,2022-05-12,16810
2022,2022-05,2022-05-11,3847
2022,2022-05,2022-05-10,7103
2022,2022-05,2022-05-09,2905
2022,2022-05,2022-05-08,3004
2022,2022-05,2022-05-07,2926
2022,2022-05,2022-05-06,1880
2022,2022-05,2022-05-05,1976
2022,2022-05,2022-05-04,5570
2022,2022-05,2022-05-03,4399
2022,2022-05,2022-05-02,10654
2022,2022-05,2022-05-01,5578
2022,2022-04,2022-04-30,16052
2022,2022-04,2022-04-29,32310
2022,2022-04,2022-04-28,7776
2022,2022-04,2022-04-27,5161
2022,2022-04,2022-04-26,7972
2022,2022-04,2022-04-25,15586
2022,2022-04,2022-04-24,5377
2022,2022-04,2022-04-23,9947
2022,2022-04,2022-04-22,3625
2022,2022-04,2022-04-21,2407
2022,2022-04,2022-04-20,5526
2022,2022-04,2022-04-19,4701
2022,2022-04,2022-04-18,2221
2022,2022-04,2022-04-17,2255
2022,2022-04,2022-04-16,2224
2022,2022-04,2022-04-15,4616
2022,2022-04,2022-04-14,6736
2022,2022-04,2022-04-13,3016
2022,2022-04,2022-04-12,4965
2022,2022-04,2022-04-11,5288
2022,2022-04,2022-04-10,3777
2022,2022-04,2022-04-09,3688
2022,2022-04,2022-04-08,4714
2022,2022-04,2022-04-07,11657
2022,2022-04,2022-04-06,11411
2022,2022-04,2022-04-05,7536
2022,2022-04,2022-04-04,8293
2022,2022-04,2022-04-03,3230
2022,2022-04,2022-04-02,9355
2022,2022-04,2022-04-01,16147
2022,2022-03,2022-03-31,6144
2022,2022-03,2022-03-30,10981
2022,2022-03,2022-03-29,30934
2022,2022-03,2022-03-28,18748
2022,2022-03,2022-03-27,14165
2022,2022-03,2022-03-26,8775
2022,2022-03,2022-03-25,11643
2022,2022-03,2022-03-24,10819
2022,2022-03,2022-03-23,8846
2022,2022-03,2022-03-22,7475
2022,2022-03,2022-03-21,6321
2022,2022-03,2022-03-20,3951
2022,2022-03,2022-03-19,3843
2022,2022-03,2022-03-18,6056
2022,2022-03,2022-03-17,3769
2022,2022-03,2022-03-16,3907
2022,2022-03,2022-03-15,6002
2022,2022-03,2022-03-14,6148
2022,2022-03,2022-03-13,855
2022,2022-03,2022-03-12,716
2022,2022-03,2022-03-11,1616
2022,2022-03,2022-03-10,9857
2022,2022-03,2022-03-09,2102
2022,2022-03,2022-03-08,5828
2022,2022-03,2022-03-07,7211
2022,2022-03,2022-03-06,3373
2022,2022-03,2022-03-05,3627
2022,2022-03,2022-03-04,9340
2022,2022-03,2022-03-03,31421
2022,2022-03,2022-03-02,3153
2022,2022-03,2022-03-01,4720
2022,2022-02,2022-02-28,1894
2022,2022-02,2022-02-27,2121
2022,2022-02,2022-02-26,1937
2022,2022-02,2022-02-25,1617
2022,2022-02,2022-02-24,2168
2022,2022-02,2022-02-23,2935
2022,2022-02,2022-02-22,3130
2022,2022-02,2022-02-21,927
2022,2022-02,2022-02-20,1302
2022,2022-02,2022-02-19,3075
2022,2022-02,2022-02-18,4498
2022,2022-02,2022-02-17,8467
2022,2022-02,2022-02-16,9430
2022,2022-02,2022-02-15,7712
2022,2022-02,2022-02-14,3333
2022,2022-02,2022-02-13,2473
2022,2022-02,2022-02-12,2490
2022,2022-02,2022-02-11,9365
2022,2022-02,2022-02-10,10847
2022,2022-02,2022-02-09,17221
2022,2022-02,2022-02-08,9858
2022,2022-02,2022-02-07,5746
2022,2022-02,2022-02-06,7525
2022,2022-02,2022-02-05,12157
2022,2022-02,2022-02-04,8847
2022,2022-02,2022-02-03,13053
2022,2022-02,2022-02-02,11489
2022,2022-02,2022-02-01,5582
2022,2022-01,2022-01-31,6183
2022,2022-01,2022-01-30,5828
2022,2022-01,2022-01-29,9095
2022,2022-01,2022-01-28,13095
2022,2022-01,2022-01-27,2912
2022,2022-01,2022-01-26,9081
2022,2022-01,2022-01-25,8814
