month_year,day_count
2022-11,2264177
2022-10,6087411
2022-09,780944
2022-08,938013
2022-07,1728838
2022-06,1539432
2022-05,4998064
2022-04,10740202
2022-03,1099043
2022-02,997616
2022-01,884033
2021-12,1360221
2021-11,1057251
2021-10,808953
2021-09,444495
2021-08,512101
2021-07,609647
2021-06,785228
2021-05,1363955
2021-04,615222
2021-03,631289
2021-02,898052
2021-01,1023636
2020-12,384602
2020-11,284785
2020-10,207289
2020-09,298003
2020-08,443245
2020-07,989709
2020-06,220365
2020-05,1394864
2020-04,317125
2020-03,216443
2020-02,130157
2020-01,233135
2019-12,181096
2019-11,310675
2019-10,139244
2019-09,120439
2019-08,116978
2019-07,158751
2019-06,197513
2019-05,133067
2019-04,208748
2019-03,145275
2019-02,157350
2019-01,124481
2018-12,193088
2018-11,163233
2018-10,219108
2018-09,453930
2018-08,394655
2018-07,678015
2018-06,228302
2018-05,378288
2018-04,158215
2018-03,244773
2018-02,469199
2018-01,129580
2017-12,185749
2017-11,194013
2017-10,178449
2017-09,167432
2017-08,194828
2017-07,222694
2017-06,199954
2017-05,153138
2017-04,148374
2017-03,169747
2017-02,156816
2017-01,101268
2016-12,85683
2016-11,121692
2016-10,135949
2016-09,205132
2016-08,84220
2016-07,126271
2016-06,179784
2016-05,80156
2016-04,109608
2016-03,41045
2016-02,65494
2016-01,80158
2015-12,105345
2015-11,50597
2015-10,97330
2015-09,79966
2015-08,55783
2015-07,62825
2015-06,63247
2015-05,119327
2015-04,49474
2015-03,59725
2015-02,41741
2015-01,112703
2014-12,30999
2014-11,39110
2014-10,69559
2014-09,21646
2014-08,31614
2014-07,32378
2014-06,60375
2014-05,30042
2014-04,20322
2014-03,28964
2014-02,21277
2014-01,8921
2013-12,12899
2013-11,20640
2013-10,27138
2013-09,26478
2013-08,83745
2013-07,22561
2013-06,10055
2013-05,28424
2013-04,11392
2013-03,26478
2013-02,22741
2013-01,6208
2012-12,5309
2012-11,16752
2012-10,5674
2012-09,7130
2012-08,6342
2012-07,4847
2012-06,5544
2012-05,11747
2012-04,8068
2012-03,3431
2012-02,2714
2012-01,1187
2011-12,1331
2011-11,1029
2011-10,2499
2011-09,3240
2011-08,2787
2011-07,537
2011-06,349
2011-05,1276
2011-04,3604
2011-03,1035
2011-02,295
2011-01,619
2010-12,1786
2010-11,971
2010-10,790
2010-09,334
2010-08,1615
2010-07,2757
2010-06,3310
2010-05,1742
2010-04,369
2010-03,209
2010-02,885
2010-01,255
2009-12,51
2009-11,118
2009-10,63
2009-09,240
2009-08,181
2009-07,237
2009-06,946
2009-05,468
2009-04,689
2009-03,105
2009-02,40
2009-01,53
2008-12,36
2008-11,127
2008-10,73
2008-09,75
2008-08,60
2008-07,10
2008-06,20
2008-05,23
2008-04,8
2008-03,6
2008-02,15
2008-01,1
2007-12,3
2007-11,0
2007-10,3
2007-09,2
2007-08,2
2007-07,0
2007-06,0
2007-05,4
2007-04,0
2007-03,3
