month_year,day_count
2022-05,2219277
2022-04,309491
2022-03,283537
2022-02,146665
2022-01,356604
2021-12,1022418
2021-11,177743
2021-10,186090
2021-09,1056130
2021-08,101426
2021-07,156638
2021-06,90721
2021-05,240684
2021-04,74120
2021-03,81475
2021-02,86073
2021-01,181915
2020-12,76276
2020-11,90460
2020-10,821459
2020-09,646938
2020-08,96736
2020-07,95353
2020-06,120088
2020-05,147903
2020-04,115716
2020-03,139729
2020-02,107908
2020-01,247737
2019-12,71515
2019-11,66612
2019-10,107598
2019-09,106038
2019-08,91964
2019-07,73436
2019-06,154009
2019-05,727733
2019-04,96228
2019-03,90668
2019-02,180871
2019-01,218366
2018-12,70829
2018-11,101388
2018-10,293322
2018-09,808202
2018-08,221712
2018-07,683594
2018-06,310311
2018-05,64194
2018-04,48652
2018-03,55498
2018-02,43112
2018-01,117606
2017-12,43041
2017-11,42660
2017-10,50519
2017-09,31807
2017-08,42225
2017-07,35879
2017-06,61830
2017-05,37209
2017-04,40876
2017-03,67305
2017-02,91630
2017-01,122520
2016-12,46173
2016-11,102426
2016-10,115267
2016-09,37500
2016-08,37092
2016-07,47321
2016-06,42325
2016-05,47445
2016-04,44038
2016-03,49645
2016-02,50043
2016-01,95645
2015-12,38047
2015-11,41465
2015-10,43848
2015-09,41594
2015-08,40441
2015-07,38597
2015-06,43440
2015-05,54832
2015-04,36290
2015-03,41137
2015-02,35160
2015-01,63517
