month_year,day_count
2022-11,3354594
2022-10,9079954
2022-09,1195448
2022-08,1470313
2022-07,2495845
2022-06,2225201
2022-05,6762516
2022-04,14236633
2022-03,1775758
2022-02,1557379
2022-01,1603234
2021-12,2282319
2021-11,2917344
2021-10,1897878
2021-09,760919
2021-08,855345
2021-07,1153428
2021-06,1437833
2021-05,2792200
2021-04,937451
2021-03,945095
2021-02,1448481
2021-01,1362006
2020-12,511737
2020-11,380552
2020-10,300663
2020-09,405001
2020-08,557226
2020-07,1249428
2020-06,317023
2020-05,1772429
2020-04,430490
2020-03,296538
2020-02,192533
2020-01,318953
2019-12,255860
2019-11,418923
2019-10,215277
2019-09,168946
2019-08,161404
2019-07,209063
2019-06,260301
2019-05,187588
2019-04,283146
2019-03,214529
2019-02,210630
2019-01,183036
2018-12,240897
2018-11,216317
2018-10,312355
2018-09,549559
2018-08,495075
2018-07,776267
2018-06,279824
2018-05,476563
2018-04,224629
2018-03,293327
2018-02,538639
2018-01,155930
2017-12,220599
2017-11,236519
2017-10,203472
2017-09,192232
2017-08,217025
2017-07,248487
2017-06,228579
2017-05,175362
2017-04,175147
2017-03,198640
2017-02,184848
2017-01,121271
2016-12,116578
2016-11,140907
2016-10,157688
2016-09,231357
2016-08,96791
2016-07,141905
2016-06,193786
2016-05,97754
2016-04,132767
2016-03,56926
2016-02,83847
2016-01,97216
2015-12,125802
2015-11,72282
2015-10,115622
2015-09,99304
2015-08,67079
2015-07,72708
2015-06,73950
2015-05,136025
2015-04,65632
2015-03,79784
2015-02,60492
2015-01,133535
2014-12,46182
2014-11,55452
2014-10,87446
2014-09,37945
2014-08,47200
2014-07,43572
2014-06,71522
2014-05,46723
2014-04,37428
2014-03,48922
2014-02,40175
2014-01,28450
2013-12,31555
2013-11,45906
2013-10,47398
2013-09,51689
2013-08,108119
2013-07,36970
2013-06,24552
2013-05,48702
2013-04,30347
2013-03,47442
2013-02,42988
2013-01,22468
2012-12,22973
2012-11,34572
2012-10,23082
2012-09,29245
2012-08,20180
2012-07,15483
2012-06,17878
2012-05,28587
2012-04,21624
2012-03,19320
2012-02,19118
2012-01,13358
2011-12,15732
2011-11,15916
2011-10,14727
2011-09,14885
2011-08,11698
2011-07,7724
2011-06,6872
2011-05,10180
2011-04,11274
2011-03,7068
2011-02,6534
2011-01,6562
2010-12,7644
2010-11,5536
2010-10,5460
2010-09,5114
2010-08,4677
2010-07,4552
2010-06,5559
2010-05,5406
2010-04,4071
2010-03,3076
2010-02,3782
2010-01,2199
2009-12,1982
2009-11,2361
2009-10,1806
2009-09,2132
2009-08,1309
2009-07,1035
2009-06,1636
2009-05,1672
2009-04,1415
2009-03,737
2009-02,326
2009-01,284
2008-12,172
2008-11,304
2008-10,273
2008-09,226
2008-08,121
2008-07,28
2008-06,46
2008-05,63
2008-04,32
2008-03,33
2008-02,42
2008-01,16
2007-12,11
2007-11,23
2007-10,19
2007-09,13
2007-08,4
2007-07,2
2007-06,0
2007-05,5
2007-04,2
2007-03,6
