month_year,day_count
2022-05,126875
2022-04,4750943
2022-03,7165663
2022-02,4540333
2022-01,5169719
2021-12,4511275
2021-11,5085024
2021-10,4423461
2021-09,6878841
2021-08,8795497
2021-07,3753370
2021-06,4228256
2021-05,5060134
2021-04,5274919
2021-03,7394145
2021-02,7989089
2021-01,25438625
2020-12,11935296
2020-11,42539840
2020-10,44112027
2020-09,28265438
2020-08,26554776
2020-07,13680650
2020-06,13053605
2020-05,12718786
2020-04,11722966
2020-03,16581623
2020-02,3814955
2020-01,3401529
2019-12,2968434
2019-11,2634993
2019-10,3662497
2019-09,3122006
2019-08,1956539
2019-07,1009104
2019-06,2043298
2019-05,1905113
2019-04,2455505
2019-03,597474
2019-02,274816
2019-01,243941
2018-12,223745
2018-11,223312
2018-10,363215
2018-09,271069
2018-08,408514
2018-07,166130
2018-06,237906
2018-05,160753
2018-04,106197
2018-03,485394
2018-02,155871
2018-01,277389
2017-12,214324
2017-11,721498
2017-10,270882
2017-09,567987
2017-08,379839
2017-07,291323
2017-06,123128
2017-05,172658
2017-04,109457
2017-03,180473
2017-02,109455
2017-01,666582
2016-12,122327
2016-11,777787
2016-10,265116
2016-09,152846
2016-08,186065
2016-07,319305
2016-06,117609
2016-05,64874
2016-04,64457
2016-03,64840
2016-02,146542
2016-01,113449
2015-12,29195
2015-11,50946
2015-10,283841
2015-09,141585
2015-08,150363
2015-07,53928
2015-06,70072
2015-05,105591
2015-04,36023
2015-03,51486
2015-02,102298
2015-01,94184
