conversation_id,text,edit_history_tweet_ids,id,source,in_reply_to_user_id,geo,retweet_count,reply_count,like_count,quote_count,media_keys,date
1586009275242975232,Back in the day @elonmusk https://t.co/mUcfrzYJnI,['1586009275242975232'],1586009275242975232,Twitter Web App,,,2,1,2,0,['3_1586009077657718784'],2022-10-28
1585726330951196672,RT @Michael_NKLW: Fuck around and find out,['1585726330951196672'],1585726330951196672,Twitter Web App,,,2,0,0,0,,2022-10-27
1585654069762396161,@EileenDSmith https://t.co/lhI2oWD4Z1,['1585660159556059137'],1585660159556059137,Twitter Web App,14607712,,0,0,2,0,['16_1585660125565489153'],2022-10-27
1585658661795500032,@DanielleAlberti Fair!,['1585659944279293952'],1585659944279293952,Twitter Web App,250287517,,0,0,0,0,,2022-10-27
1585658661795500032,"@DanielleAlberti It's a good life lesson that you can and do persevere despite loss, though.",['1585659683167080450'],1585659683167080450,Twitter Web App,250287517,,0,1,0,0,,2022-10-27
1585658661795500032,@DanielleAlberti I'm still not over that scene.,['1585659015438028800'],1585659015438028800,Twitter Web App,250287517,,0,1,0,0,,2022-10-27
1585658786458390529,👀 https://t.co/HjJn762Pp0,['1585658786458390529'],1585658786458390529,Twitter Web App,,,0,0,0,0,,2022-10-27
1585015653760892929,@chbooksdc https://t.co/e9faAHLyKr,['1585016700042629120'],1585016700042629120,Twitter Web App,1553144358,,0,0,1,0,['16_1585016608610668544'],2022-10-25
1584976967824478208,"RT @GavinNewsom: BREAKING: California is poised to now become the 4th largest economy in the WORLD.

Our growth continues to outpace other…",['1584976967824478208'],1584976967824478208,Twitter Web App,,,5738,0,0,0,,2022-10-25
1584944363028652032,@Cchurchili Something geological?,['1584946470821588992'],1584946470821588992,Twitter Web App,822048926081712128,,0,1,0,0,,2022-10-25
1584945944008609804,"North Korean leader Kim Jong Un has steered his country on a particularly destabilizing path this year, firing off a record number of missile tests after a period of relative quiet. 

My latest, using data from @jamesmartincns and @beyondcsiskorea. 

 https://t.co/elYNkG9CUG https://t.co/6sEgAHJEVO https://t.co/9m32guXoBa","['1584945253684891653', '1584945944008609804']",1584945944008609804,Twitter Web App,,,2,0,1,0,['3_1584945833123794949'],2022-10-25
1584945253684891653,"North Korean leader Kim Jong Un has steered his country on a particularly destabilizing path this year, firing off a record number of missile tests after a period of relative quiet. 

My latest, using data from @jamesmartincns and @beyondcsiskorea. 

 https://t.co/elYNkG9CUG https://t.co/ldA34duywm https://t.co/c79YVYfYon","['1584945253684891653', '1584945944008609804']",1584945253684891653,Twitter Web App,,,0,0,0,0,['3_1584944514149404679'],2022-10-25
1584940169395720200,"RT @JustinRood: NEW from @stiles: North Korea has fired off a record number of missile tests this year, raising fears it may attempt anothe…",['1584940169395720200'],1584940169395720200,Twitter Web App,,,2,0,0,0,,2022-10-25
1584937481446662144,"RT @RexChapman: Wanna see a dead body?? 

Jon Stewart is a national treasure. 

“There are people who believe in ANGELS but you don’t launc…",['1584937481446662144'],1584937481446662144,Twitter Web App,,,3121,0,0,0,,2022-10-25
1584915724128366593,RT @SueMiTerry: South Koreans are increasingly debating how to strengthen deterrence--looking at options from NATO-style sharing of nuclear…,['1584915724128366593'],1584915724128366593,Twitter Web App,,,3,0,0,0,,2022-10-25
1584897117877043200,@HannityMay22 @JenGriffinFNC I like your hat.,['1584915070458658816'],1584915070458658816,Twitter Web App,1531531007924482048,,0,2,0,0,,2022-10-25
1584914972710428674,"RT @lexfridman: Here's my conversation with Ye aka Kanye West (@kanyewest). Given my family history in the 20th century, this was difficult…",['1584914972710428674'],1584914972710428674,Twitter Web App,,,3296,0,0,0,,2022-10-25
1584897117877043200,@HannityMay22 @JenGriffinFNC https://t.co/eWv2n69Y5g,['1584913862251663366'],1584913862251663366,Twitter Web App,1531531007924482048,,0,1,22,0,['16_1584913828491689987'],2022-10-25
1584764690944897024,RT @JChengWSJ: Xi Jinping has consolidated control of China’s ruling Communist Party to a degree unseen since Mao Zedong. His challenge wil…,['1584764690944897024'],1584764690944897024,Twitter Web App,,,6,0,0,0,,2022-10-25
1584763600484597760,"Bring it back, @stoolpresidente. But it's gotta be @EddieBarstool hosting it. If not, meh.",['1584763600484597760'],1584763600484597760,Twitter Web App,,,0,0,0,0,,2022-10-25
1584086685796962304,@DanielleAlberti THE CHEESE THO,['1584361612462301185'],1584361612462301185,Twitter Web App,250287517,,0,0,1,0,,2022-10-24
1584178394224205826,"Yeah, keep on waiting https://t.co/JANbWuaCLb",['1584178394224205826'],1584178394224205826,Twitter for Android,,{'place_id': '3b77caf94bfc81fe'},0,0,4,0,['3_1584178392848470017'],2022-10-23
1583880298139246592,Inflation remains the dominant economic concern for Americans going into the midterm elections. And those who are most concerned about the economy favor the GOP: https://t.co/9Lso1rZFeX via @pewresearch,['1583880298139246592'],1583880298139246592,Twitter Web App,,,0,0,1,0,,2022-10-22
