month_year,day_count
2022-11,13418
2022-10,90274
2022-09,45097
2022-08,67547
2022-07,46113
2022-06,42924
2022-05,35025
2022-04,60163
2022-03,24328
2022-02,49260
2022-01,26520
2021-12,36153
2021-11,35222
2021-10,27754
2021-09,30207
2021-08,34340
2021-07,42275
2021-06,32423
2021-05,38172
2021-04,41032
2021-03,48658
2021-02,43420
2021-01,53913
2020-12,49328
2020-11,45380
2020-10,81560
2020-09,60529
2020-08,80500
2020-07,128462
2020-06,390840
2020-05,133476
2020-04,111858
2020-03,110955
2020-02,229833
2020-01,124951
2019-12,115469
2019-11,98058
2019-10,175065
2019-09,109264
2019-08,247207
2019-07,139778
2019-06,97712
2019-05,88028
2019-04,102300
2019-03,93623
2019-02,73626
2019-01,86046
2018-12,145989
2018-11,65836
2018-10,124098
2018-09,70215
2018-08,137586
2018-07,82730
2018-06,78621
2018-05,118744
2018-04,86017
2018-03,50908
2018-02,45623
2018-01,54987
2017-12,124501
2017-11,54392
2017-10,109555
2017-09,159210
2017-08,142810
2017-07,45977
2017-06,51776
2017-05,101435
2017-04,45395
2017-03,40650
2017-02,53735
2017-01,121678
2016-12,46764
2016-11,53506
2016-10,38173
2016-09,45721
2016-08,42703
2016-07,50897
2016-06,50739
2016-05,44095
2016-04,51943
2016-03,43090
2016-02,40618
2016-01,52621
2015-12,49437
2015-11,45133
2015-10,33970
2015-09,33619
2015-08,42720
2015-07,53827
2015-06,79451
2015-05,50830
2015-04,50524
2015-03,72957
2015-02,49926
2015-01,59109
2014-12,62611
2014-11,75830
2014-10,61058
2014-09,65518
2014-08,81273
2014-07,90318
2014-06,88817
2014-05,84843
2014-04,83004
2014-03,93092
2014-02,88589
2014-01,109308
2013-12,105941
2013-11,106709
2013-10,115357
2013-09,120459
2013-08,154729
2013-07,182325
2013-06,165917
2013-05,146248
2013-04,153541
2013-03,155160
2013-02,152107
2013-01,184919
2012-12,179184
2012-11,210381
2012-10,167341
2012-09,146042
2012-08,162312
2012-07,170867
2012-06,152266
2012-05,140368
2012-04,141130
2012-03,143231
2012-02,121640
2012-01,128825
2011-12,109281
2011-11,96871
2011-10,90955
2011-09,85166
2011-08,87954
2011-07,82874
2011-06,74726
2011-05,68899
2011-04,55279
2011-03,53099
2011-02,47638
2011-01,57212
2010-12,44741
2010-11,35749
2010-10,33022
2010-09,28269
2010-08,29442
2010-07,25220
2010-06,22820
2010-05,22979
2010-04,18404
2010-03,18610
2010-02,17739
2010-01,12995
2009-12,10853
2009-11,9009
2009-10,7838
2009-09,10559
2009-08,5427
2009-07,5698
2009-06,2864
2009-05,1950
2009-04,1158
2009-03,770
2009-02,1262
2009-01,4029
2008-12,158
2008-11,158
2008-10,213
2008-09,139
2008-08,102
2008-07,85
2008-06,81
2008-05,71
2008-04,56
2008-03,40
2008-02,38
2008-01,31
2007-12,9
2007-11,22
2007-10,7
2007-09,10
2007-08,8
2007-07,10
2007-06,6
2007-05,6
2007-04,24
2007-03,1
